voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,1.9162321390673678e-05,119.61498995426766,-50,536286635378.47394,45950.03489095017,536286589428.43903,11671082.223358557,2.3998949994022345e+20,7.6050758082146785e-06,1.2183331431117172e-12,-2.3196731248731339e-05,-213330.96549227505,1.0698071824690929e-05,1.576856851364869e-05,-50,1.916232260900682e-05,1.9162321390673678e-05,1.9162321466171886e-05,1.9162321438456233e-05,119.61499755934346,119.61498995426766,119.61499042554237,119.61499025253579
-40,2.3380200249671723e-05,145.94382178321925,-40,582247663932.95874,52897.422206738687,582247611035.5365,11007108.468487624,3.6404500287688638e+20,2.872134791687131e-05,4.601159934287079e-12,-1.6858773619787826e-05,-207335.44266300258,2.496857143318523e-05,4.0775624102524707e-05,-40,2.3380203473038538e-05,2.3380200249671723e-05,2.3380198889982466e-05,2.3380198871878604e-05,145.94384190411074,145.94382178321925,145.9438132957707,145.94381318276282
-30,2.848181014764854e-05,177.7890770764578,-30,632158519452.68701,60895.215482612446,632158458557.47156,10381086.829936396,7.2704179785116279e+19,1.176601134034172e-05,1.884915017987118e-12,-5.9774714316063182e-06,-201653.20698430622,8.8101092906567506e-06,1.4266395642184571e-05,-30,2.848181126177773e-05,2.848181014764854e-05,2.8481809376862712e-05,2.8481809381166473e-05,177.78908403107198,177.7890770764578,177.78907226506064,177.78907229192555
-20,3.465127456258927e-05,216.30009090255476,-20,686358403427.39758,70102.230202843537,686358333325.16736,9790821.2255358044,1.0663913299287237e+20,2.4518975578757818e-06,3.9279398554277825e-13,8.8975134815427737e-06,-196270.63607786971,1.8410190666458882e-06,3.0714592430293453e-06,-20,3.4651274345830874e-05,3.465127456258927e-05,3.465127473862486e-05,3.465127473462189e-05,216.30008954950608,216.30009090255476,216.30009200140364,216.3000919764163
-10,4.2109007745254016e-05,262.85273249222234,-10,745215652488.30127,80701.293861348866,745215571787.00745,9234246.649981102,4.97228333048489e+19,1.3853734515123506e-05,2.2193682709756996e-12,-2.7725643576559378e-06,-191175.18435998305,9.7737098855045287e-06,1.4675410432048175e-05,-10,4.2109008867713224e-05,4.2109007745254016e-05,4.210900664834495e-05,4.210900666885357e-05,262.8527394988341,262.85273249222234,262.8527256450996,262.85272577311844
0,5.111861545474289e-05,319.09248099090445,0,809130240803.1488,92902.876442747045,809130147900.27234,8709420.7605271395,2.0710843153160857e+20,8.897877677327415e-05,1.4254400035275307e-11,-0.00012122136331527145,-186355.3993630702,0.00012962461784659832,0.00018848914188190902,0,5.111861460379518e-05,5.111861545474289e-05,5.1118601214049906e-05,5.111860120034285e-05,319.092475679121,319.09248099090445,319.0923920976898,319.0923920121277
10,6.19949317530248e-05,386.98459271551064,10,878536497402.76379,87038.853257124749,878536410363.91052,10093612.961644223,1.1045711589298352e+19,2.411380410194397e-05,3.863031408971561e-12,2.023364061187749e-06,-181800.95104697521,1.9311042355100667e-05,3.3030646834145139e-05,10,6.199492912068945e-05,6.19949317530248e-05,6.199493295799584e-05,6.199493298372086e-05,386.9845762839541,386.98459271551064,386.9846002371776,386.9846003977582
20,7.511347234364189e-05,468.8731107593127,20,953906056899.5105,81544.966812561368,953905975354.5437,11697914.588550286,3.2425036059234402e+20,3.79516277462244e-05,6.0798507612973285e-12,1.721179984315313e-05,-177502.67214496492,2.6959023117031778e-05,4.1086905508608274e-05,20,7.511346955429308e-05,7.511347234364189e-05,7.511347562276946e-05,7.511347563414384e-05,468.8730933476472,468.8731107593127,468.87313122827385,468.873131299275
30,9.092123098624273e-05,567.5482583410907,30,1035751063643.7314,76397.854103361809,1035750987245.8773,13557331.888437875,3.0609854175372607e+19,1.9603309056037688e-06,3.140450139521578e-13,-1.3031197767077174e-05,-173452.61905897903,1.9247169481429385e-06,3.688384415861945e-06,30,9.092123096167193e-05,9.092123098624273e-05,9.092123127571694e-05,9.092123127422283e-05,567.548258187715,567.5482583410907,567.5482601480459,567.5482601387193
40,0.00010994918623471735,686.324508331569,40,1124627651085.9556,71575.626795147196,1124627579510.3289,15712438.737067476,1.8093427406406802e+20,3.3969945775425e-05,5.441985322660395e-12,1.7502851278550224e-05,-169644.14402122385,3.2700517818768287e-05,5.6121686687005123e-05,40,0.00010994918375190174,0.00010994918623471735,0.00010994918919388707,0.00010994918917634489,686.3244928333443,686.324508331569,686.32452680329,686.3245266937884
