voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,33861.258062012276522305367416294620036180947208725324562526608386176408890853789,-50,229546770552.48005233410538015711439698758617915227699714513119384637004456679129,34314.040283439520972770413364397538998144343324993158584176538133881439442021248,229546736238.43976889458440738670103259004718100793367215197260966983191068535185,6689587.3717110142726079832977807747825165899210788610090655785918090008377190562,459093541104.96010466821076031422879397517235830455399429026238769274008913358259,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.6238805429854923583698223301240690339002992251891744703392310398809246000208549e-82,717717242.53619789051922127472053386428572318352314766155048826063996118020786046,-4.2087616848759217868566812184885296884480478826829792692175453325139244452838571e-77,1.7566803871355725179923938102870183812623661398737274071507937109513658388218715e-76,3.4291296042688865766058030037913328195106789625490542858131028827782782891452382e-76,-50,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,0.01084914708306873284943904670463279406111259609449415958282874213612331563111297,33861.258062012276522305367416294620036180947208725324562526608386176408890853789,33861.258062012276522305367416294620036180947208725324562526608386176408890853789,33861.258062012276522305367416294620036180947208725324562526608386176408890853789,33861.25806201227652230536741629462003618094720872532456252660838617640889085379
-40,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,41417.153787029013202678587338705976461563805849536780128519949686186187550861955,-40,230942398503.1473349577079455418613650181036941128369216142318600350091918044403,41877.74784308414885726511617881902357564547591701262388197132578768462204099015,230942356625.39949187355908827674518619908011846736100460160797806368340411981826,5514680.4782455856026890050237293772988989309272652624463409605891890579413937411,461884797006.2946699154158910837227300362073882256738432284637200700183836088806,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.4824965857667923284240182259598464229592133193955713742296854254058327909176224e-82,869751742.99155775350870638292183392834479121786011927871437950752411971883259689,6.4537359146342907456357404984240443236636437965100809126410425659144851572262311e-77,1.6853001268088499763328723098351101658126296449218543301068944178499835602008193e-76,3.5514752922438632229267997660083505640451572292557327660651410122090080498574175e-76,-40,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,0.013270056073364095159479738209006853388783298441451699038931502729071082430492609,41417.153787029013202678587338705976461563805849536780128519949686186187550861955,41417.153787029013202678587338705976461563805849536780128519949686186187550861955,41417.153787029013202678587338705976461563805849536780128519949686186187550861955,41417.153787029013202678587338705976461563805849536780128519949686186187550861955
-30,0.016206615494390989064205035812807362015249678566344469750776772780694365093183476,50582.445363267758686875728453820657269919635679809305034113880189351714573754834,-30,232379185369.78660475591245019748962971594338280759151821680831809292053493373493,51108.693407209279496587105936806727547025953706965204222692286626542786639369558,232379134261.09319754663295361038369290921583578163781125160409540063390839094829,4546764.3541246881048598323366678110376499374832614382205342143161522676890813639,464758370739.57320951182490039497925943188676561518303643361663618584106986746986,4.8362543908528889902163570431682237598249602040843175756132739432944114097709592e-76,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-82,1055592510.1622215469074737960536492775620538144488049657278696966874236471540374,-4.1856281492642453074562513163047740404880043361745443754623434412757027611553604e-76,4.7256954681181570675890735587388434362834660249613144289781062805764877214952484e-76,9.3466154108497793433077355850268518593557587032366476284555209752849707175083531e-76,-30,0.016206615494390989064205035812807362015249678566344469750776772780694365093183477,0.016206615494390989064205035812807362015249678566344469750776772780694365093183476,0.016206615494390989064205035812807362015249678566344469750776772780694365093183476,0.016206615494390989064205035812807362015249678566344469750776772780694365093183476,50582.445363267758686875728453820657269919635679809305034113880189351714573754834,50582.445363267758686875728453820657269919635679809305034113880189351714573754834,50582.445363267758686875728453820657269919635679809305034113880189351714573754834,50582.445363267758686875728453820657269919635679809305034113880189351714573754833
-20,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,61705.169602521369729254157908816019947456423591220910845079645375553717069111085,-20,233864558879.73121638895728801810262940309144776210816552954494075864970126186038,62374.379624702984009891276522241865335282074917863618060065948251723182475244218,233864496505.35159168597327812682610716122611248003324766592688069270144953867791,3749368.8961214231700492306757263117143697220997598814459022059695069082640903558,467729117759.46243277791457603620525880618289552421633105908988151729940252372076,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,1282656973.7485290844433960484153355909214059800154617000973687594645317823934509,2.5697556284439291106439840621635285633003724766047650318994054372373361442224976e-76,2.6308402795586929155116645527601389620993042130013285083999771427359655325267713e-76,5.8948431627449550639451026263452042348357389555641708938104803931144345206129474e-76,-20,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,0.019770336340647845862075359603870931901753587654995288755637207500421744824941259,61705.169602521369729254157908816019947456423591220910845079645375553717069111085,61705.169602521369729254157908816019947456423591220910845079645375553717069111085,61705.169602521369729254157908816019947456423591220910845079645375553717069111085,61705.169602521369729254157908816019947456423591220910845079645375553717069111085
-10,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,75208.387464877034294147001409385965254620872925945147936055566470838953209895956,-10,235407577025.75392007707506652779104241690615126410799137678674471729682700338919,76123.316293148838373888102476055365953854754886625779673091705312696217618172831,235407500902.43762692823669263968856636154019740935310475100707162559151430717158,3092450.3619785255904269923146715368390812040423394896603659513606783549287590796,470815154051.50784015415013305558208483381230252821598275357348943459365400677839,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,1559997244.378693641561971688818591180071907277964880501220903452068455364834704,-1.2609918292320899973264242494250992360834673933002810699681140270445292941839841e-76,3.5810353513646273920308779200341920880506883924372651554209630825879459872811304e-76,7.7284899060666499336146504057226213698813429610049467567189512385858615201496166e-76,-10,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,0.024096767343746600570012513869473879413608057802842066747593588866926330724768656,75208.387464877034294147001409385965254620872925945147936055566470838953209895956,75208.387464877034294147001409385965254620872925945147936055566470838953209895956,75208.387464877034294147001409385965254620872925945147936055566470838953209895956,75208.387464877034294147001409385965254620872925945147936055566470838953209895956
0,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,91606.094521803296748208423286867391818715692123215920866627652614987802078978252,0,237019287345.94213381781478172781523015508697848185321957216854144305991613064409,92902.876442747033460433438324456334359266544372428101542758556697575101967615413,237019194443.06569107078132129437690569875261921530884714406699868450321855554212,2551258.8675551856824984779221833907962408629385154730424628386044956731213170704,474038574691.88426763562956345563046031017395696370643914433708288611983226128817,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1898659878.6552895755794598045070094516679387403379576117693687090075063820546524,-3.4443627253091913936440026368920175152275101477895123395227318522078705649620763e-76,3.1019526122465958811471328402779930216039243818079398353751362608499379571606273e-76,5.4463718186002889553213057308776454228711805549264034757021750079825442893273957e-76,0,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,0.029350592684785774794769480346707431872060589671286029111859637189191284185417952,91606.094521803296748208423286867391818715692123215920866627652614987802078978252,91606.094521803296748208423286867391818715692123215920866627652614987802078978252,91606.094521803296748208423286867391818715692123215920866627652614987802078978251,91606.094521803296748208423286867391818715692123215920866627652614987802078978252
10,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,111522.07151398881425008724035317720332251707823022143831289403824835469889008804,10,238713165398.30749601652107797206862704065704609432753246546693498204077984988222,86518.183708236371552771202364155737733055827131335978672944863928637958461925125,238713078880.12378778014952520086626288491931303850040112948826203717685121192376,2759109.7635997002887687207588163282577450276538236260889643986127668631358866964,477426330796.61499203304215594413725408131409218865506493093386996408155969976444,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-82,2312124889.9615723856176442542536306845677787852397365437148647545951097375651855,2.0844929860180565113656070242965439533659790991936514451155509663100957084370141e-76,3.133321345767650075280925743679092640071849357406135758094900844888445582607508e-76,6.5556269671711196628589624999238808211622273203909655376423507373884897377070041e-76,10,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,0.03573167171308201427987660133782980851905469349278428868597090387553674563939485,111522.07151398881425008724035317720332251707823022143831289403824835469889008804,111522.07151398881425008724035317720332251707823022143831289403824835469889008804,111522.07151398881425008724035317720332251707823022143831289403824835469889008804,111522.07151398881425008724035317720332251707823022143831289403824835469889008804
20,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,135712.33662239272096076689406923470584447069413102251189907967077691155701011023,20,240505649886.70319060929876364258703152451026553153224785456142665941035670703404,80572.275033756777925390664754620761384072773600870540702889342607853502043483636,240505569314.428156852520838251922276903748881458758646984020723770067748853532,2984967.8414310666301985082521472101708533538350255130418042205078749936392356099,481011299773.40638121859752728517406304902053106306449570912285331882071341406809,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,2816841442.2002470353716284038454291817754319805297370452040866570541129025868269,-6.0556493425504771505303079065305243184087560172601181069156686368826202436188493e-76,6.4692756148382399664211991534990352820685807261273827811477381028701006993267506e-76,1.0702737398046762932516454843984895317029312884151968005000374848173476910115988e-75,20,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,0.043482232653814625598270942312500230224613063796984419007583945570890878519069832,135712.33662239272096076689406923470584447069413102251189907967077691155701011023,135712.33662239272096076689406923470584447069413102251189907967077691155701011023,135712.33662239272096076689406923470584447069413102251189907967077691155701011023,135712.33662239272096076689406923470584447069413102251189907967077691155701011023
30,0.052895624556455117028517874512452959721348743227983009999894643290808267607477016,165092.46116246916261492593550839432926180577006783263343125076015396787314699565,30,242416795742.5057409668984528687399482706563330840951696304907470360971557997244,75034.99525611666151023136240814028227016622743366839270404407807388325319679528,242416720707.5104848502369426373775401303740629178677359620980429920190819164712,3230716.4798913549851111218202517040427213311621034013790866388436413829314121271,484833591485.0114819337969057374798965413126661681903392609814940721943115994488,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,3432881502.9051915240821876687297441343233099608508837942817826373689115415224691,-2.2104880647365761096814090070702975855366247026550286631003053511046756949305392e-77,3.1428720221531703419277523449825694269416742551959078707528195625637694047087948e-76,6.5681374840926161178945758551412261926993244903990617008277343329127265126693724e-76,30,0.052895624556455117028517874512452959721348743227983009999894643290808267607477016,0.052895624556455117028517874512452959721348743227983009999894643290808267607477016,0.052895624556455117028517874512452959721348743227983009999894643290808267607477016,0.052895624556455117028517874512452959721348743227983009999894643290808267607477015,165092.46116246916261492593550839432926180577006783263343125076015396787314699565,165092.46116246916261492593550839432926180577006783263343125076015396787314699565,165092.46116246916261492593550839432926180577006783263343125076015396787314699565,165092.46116246916261492593550839432926180577006783263343125076015396787314699565
40,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,200771.6859691539454370094996445916678989759143287559555341281475701014582108273,40,244471071162.57478414931881516160985168586399234119455527094916749732647966821909,69878.261607067500897122885551836204976229571656360551395590505832032939572767686,244471001284.31317708181791803872429984965901611162289891039777190682064763527951,3498528.2338198426607422548251799613186771608617111310729259763815555622765763269,488942142325.14956829863763032321970337172798468238911054189833499465295933643817,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,4184737415.4305982810014459934822002846492551257212170898382399356457961821203322,-2.4237145603363566724170832658312849899865663815748140968081781860505130213596935e-76,4.0324325802651798940233961706515457742338357382298726927174194233438522233918664e-76,9.8130987060638613258483283303391182335120463165849449794115930050955046556566982e-76,40,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,0.06432724818451692086696793650857148560157556324999365839489572766774888015088795,200771.6859691539454370094996445916678989759143287559555341281475701014582108273,200771.6859691539454370094996445916678989759143287559555341281475701014582108273,200771.6859691539454370094996445916678989759143287559555341281475701014582108273,200771.6859691539454370094996445916678989759143287559555341281475701014582108273
