voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-50,-0.021172079261791297,-66080.14750871192,-50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,1.5028784905993748e+18,1.8801074475049973e-08,6.022959908591474e-15,29826162.403402057,-1.862645149230957e-08,2.5049741812385491e-08,5.7158102279020184e-08,-50,-0.021172079261789503,-0.021172079261791297,-0.021172079261792206,-0.021172079261792636,-0.021172079261788167,-0.021172079261786613,-66080.14750870632,-66080.14750871192,-66080.14750871476,-66080.1475087161,-66080.14750870215,-66080.1475086973
-40,-0.01680562416959747,-52452.010516846036,-40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,1.0536957553982686e+17,4.802132025361061e-08,1.538699723191428e-14,28795228.371953215,2.9802322387695313e-08,4.2775518665589276e-08,1.1546015610264249e-07,-40,-0.016805624169608638,-0.01680562416959747,-0.01680562416960514,-0.016805624169600852,-0.01680562416959325,-0.016805624169593924,-52452.010516880895,-52452.010516846036,-52452.01051686998,-52452.01051685659,-52452.010516832874,-52452.01051683497
-30,-0.012514649976137585,-39059.456854362004,-30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,1.7146615616320797e+17,1.6232661437243223e-08,5.200700980978468e-15,31595027.08559214,0.0,3.0739808555598299e-08,7.4051925119666961e-08,-30,-0.012514649976133671,-0.012514649976137585,-0.012514649976135677,-0.012514649976133252,-0.012514649976138452,-0.012514649976137337,-39059.45685434979,-39059.456854362004,-39059.456854356045,-39059.45685434848,-39059.45685436471,-39059.456854361226
-20,-0.00829465314762776,-25888.430548151562,-20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,93328888570416880.0,1.0873191058635712e-07,3.483671684456624e-14,40397686.534600303,6.7055225372314453e-08,6.6838307165728449e-08,1.4340597406792277e-07,-20,-0.008294653147633136,-0.00829465314762776,-0.00829465314761872,-0.008294653147607987,-0.008294653147598299,-0.008294653147599874,-25888.43054816834,-25888.430548151562,-25888.430548123346,-25888.430548089847,-25888.43054805961,-25888.430548064527
-10,-0.004131386079629782,-12894.463419568609,-10,232781806.64256138,86864.949512323205,232694941.69304904,2679.8128353201596,1.5084373864091014e+17,8.732604328542948e-08,2.7978487582291933e-14,62124135.582051203,7.4505805969238281e-08,6.4146431760074188e-08,1.2696641957243848e-07,-10,-0.0041313860796386775,-0.004131386079629782,-0.004131386079621697,-0.004131386079620168,-0.004131386079610699,-0.004131386079611459,-12894.463419596374,-12894.463419568609,-12894.463419543375,-12894.463419538602,-12894.463419509048,-12894.46341951142
0,-6.238336209207773e-15,-1.9470462575554848e-08,0,232257191.10686761,92902.876442747045,232164288.23042485,2500.0,1.0601414436769728e+17,1.0064104571938515e-07,3.2245391048491e-14,89856713.182455987,8.9406967163085938e-08,8.3840222712707286e-08,1.6118452261792982e-07,0,-1.9060028716921806e-14,-6.238336209207773e-15,-5.128677003085613e-16,8.95187258720398e-16,1.1492898920550942e-14,1.3185362331569195e-14,-5.948822945356369e-08,-1.9470462575554848e-08,-1.6007106751203537e-09,2.7939677238464355e-09,3.587047103792429e-08,4.115281626582146e-08
10,0.004131386079629731,12894.463419568448,10,232781806.64256144,86864.949512323205,232694941.6930491,2679.8128353201605,75160893994086672.0,8.95961420610547e-08,2.870707144220219e-14,68083406.295652792,-7.4505805969238281e-08,6.2653140597422903e-08,1.2793475345773686e-07,10,0.004131386079640916,0.004131386079629731,0.00413138607962456,0.004131386079618574,0.004131386079612209,0.004131386079612335,12894.463419603358,12894.463419568448,12894.46341955231,12894.463419533626,12894.463419513762,12894.463419514155
20,0.008294653147622138,25888.430548134012,20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,81735382123656128.0,6.056507118046284e-08,1.940635152575254e-14,50718946.225640014,-4.4703483581542969e-08,5.9590123003427806e-08,1.349541374068286e-07,20,0.008294653147626367,0.008294653147622138,0.008294653147624557,0.00829465314760696,0.008294653147609852,0.008294653147609209,25888.43054814721,25888.430548134012,25888.430548141565,25888.430548086646,25888.43054809567,25888.43054809366
30,0.01251464997613721,39059.45685436083,30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,6.6000861697743014e+17,1.525040715932846e-08,4.8867160318266656e-15,45299297.968613259,-7.4505805969238281e-09,2.7305198899080785e-08,7.6101220297664085e-08,30,0.012514649976138268,0.01251464997613721,0.01251464997613589,0.012514649976136398,0.012514649976133812,0.012514649976133382,39059.456854364136,39059.45685436083,39059.456854356715,39059.4568543583,39059.456854350225,39059.456854348886
40,0.01680562416959475,52452.010516837545,40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,4.4122651139509658e+17,6.105983629822731e-08,1.956421136206643e-14,46739804.051952846,8.1956386566162109e-08,7.0792283551140222e-08,1.7151578314555938e-07,40,0.016805624169587377,0.01680562416959475,0.01680562416959437,0.016805624169600023,0.016805624169606695,0.01680562416960694,52452.01051681454,52452.010516837545,52452.010516836366,52452.010516854,52452.01051687483,52452.0105168756
