voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50,-0.0053130035037751254559649795856801408509459789272941783795314298435382210167395576,-16582.407939373051574532183976614092752776072361255777538923373798484230540427974,-50,341176235547.57364402059108767897672017600847360968856946596170726719296254299139,9141.0297057329122240739693353517178472562543499932882423831073450984463642043785,341176226406.54393828767886360500738482429062635343421947267346488408561744454502,37323610.854650287276212062391638906917206819113416265676946198269790689096258204,27687457304658.704827046652750195754753015966798542359655008301021621760952813062,6.8329365607907245876056815938476761406669794883419858318307541855973898346621123e-74,2.1891532916489633383061335803340398845697716683074603959458354781826130879216891e-80,1933088311319.9113441536112096551267268899978056469605447206904411334622322018191,-6.3826818167628553160193278397757059336522488880917586428087449454581470179494237e-74,6.7932220155114424010215409178180538550598001715425343697466482704061011056483665e-74,1.1587270932323183656244155061359460037304322447541938834726372919792727205827207e-73,-50,-0.005313003503775125455964979585680140850945978927294178379531429843538221016739564,-0.0053130035037751254559649795856801408509459789272941783795314298435382210167395576,-0.0053130035037751254559649795856801408509459789272941783795314298435382210167395795,-16582.407939373051574532183976614092752776072361255777538923373798484230540427994,-16582.407939373051574532183976614092752776072361255777538923373798484230540427974,-16582.407939373051574532183976614092752776072361255777538923373798484230540428043
-40,-0.001898769451407142104648042785144480776910683560106633233917209333756195068797568,-5926.2467272382715374856371151727367178890809409199279968404584208554161315244337,-40,314875666121.30895593979154760992774461356563515604341516049876313528142890195853,9683.0122757437885297719959545509418513894251987622715999140159496582992463408725,314875656438.29668019600301783793179006262378376661821639822716322126547924365928,32518358.663045500864988471423267099094951526447501811695635485830509784373808016,31821629128512.154151772802644823856112458259218608570969299511135924639608118805,5.9926373603800351255555895575971972623973926528823356530679478379499858522144081e-74,1.9200389808715747864658291607049399852909255838005143145405300822096376076815041e-80,2997663701750.0684339436658012566103814893020397108334118668917567354575442377196,7.2407796208050597350395520605684250104129326055524892202384985819761015825664579e-74,5.9515931027631795938068295191136838517215277846050572539694370866146013879499862e-74,7.8741330817649890951942665666697659041602607214714293475749573561397193035105879e-74,-40,-0.0018987694514071421046480427851444807769106835601066332339172093337561950687975673,-0.001898769451407142104648042785144480776910683560106633233917209333756195068797568,-0.0018987694514071421046480427851444807769106835601066332339172093337561950687975488,-5926.2467272382715374856371151727367178890809409199279968404584208554161315244315,-5926.2467272382715374856371151727367178890809409199279968404584208554161315244337,-5926.2467272382715374856371151727367178890809409199279968404584208554161315243738
-30,0.00036482648425421652742487356504887660586383317208282356439406904378261494320327205,1138.6594389956821031926496708446722790266161727294190775299571394792923950343456,-30,290643802030.57828998570589832526260204499701173421980878520047274798640540960417,10257.129639716811778360070434820745312199382231752707038062858900012981257375489,290643791773.44865026889411996519216722425169953483757703249343468512750539662292,28335783.229761601223879688223497921214962993426730069049012452735081860165191414,36573534750140.126912829120911897931417310330353211200737330862775372649583741837,2.1555876713515733784964334249549797329505536909632958337019163861540805140693418e-74,6.9064780177892543994670321311469650891818628841424934472360032474548814429658821e-81,4884960744957.6341009885151695261427413463342645660742991872723319128872044065098,-1.4086130673893732586794226535218876725463391344418352206560224341311858767945616e-74,2.9431876318790037981738653947946297849542702334856351916160360109775805876055093e-74,4.9974580029676649519288351377785205376416998619390742833321651496264390836418506e-74,-30,0.00036482648425421652742487356504887660586383317208282356439406904378261494320327895,0.00036482648425421652742487356504887660586383317208282356439406904378261494320327205,0.00036482648425421652742487356504887660586383317208282356439406904378261494320327511,1138.6594389956821031926496708446722790266161727294190775299571394792923950343672,1138.6594389956821031926496708446722790266161727294190775299571394792923950343456,1138.6594389956821031926496708446722790266161727294190775299571394792923950343552
-20,0.0018087858337639345049922510376170179653868682208574489044639681790884099934605965,5645.3989817850642834173008550540945881388247638900221794761148135899300567774003,-20,268324129920.50759914206366728900840272020359757253986326816268553313281165297838,10865.287107970299157007804473715009010604860127486743761141143654832597934385282,268324119055.22049117176451028120392900519458696767973578141892439198915682038044,24695539.773051810044398745679143278691945024205204109302047817989538611918909683,42035361707389.247301228892362961999216018278294587054770916775570835446423084134,6.390764730769889022785900378472295682625840269682848224917540567924757934340196e-76,2.0590230357872115672555808693886755874433518324938491308745630908414344318300312e-82,8069309809199.6081738448744562026144310774372792235615451924519830166612038768971,2.40193437938564241143557911184136113071663760135884076020971752764063959525455e-76,2.3633827120806156349740765280467390690724392320552656756455195920955760964318103e-74,3.3650594014647357224937894192831154297103038058791212495511383293714216700444147e-74,-20,0.0018087858337639345049922510376170179653868682208574489044639681790884099934605967,0.0018087858337639345049922510376170179653868682208574489044639681790884099934605965,0.0018087858337639345049922510376170179653868682208574489044639681790884099934605967,5645.3989817850642834173008550540945881388247638900221794761148135899300567774008,5645.3989817850642834173008550540945881388247638900221794761148135899300567774003,5645.3989817850642834173008550540945881388247638900221794761148135899300567774009
-10,0.0027334785894965520672386177460068220133777625958793781467438549092251750370500896,8531.4562718369294799829410263714176803041188236049259103466860614403670179844005,-10,247772892174.52070809720285206345709248955533429908346829208344802260549209005797,11509.502958947191679053885509420251997273774193848761844426694731526694426653242,247772880665.01774915001117300957158306930333702530927444332160359591076056336355,21527679.610343940371308176819466999420758563325634155875843194218950462174910945,48313085449885.955334616668088607074410701946818843784964134722875820407447939547,2.5718509957071256094400555847419589922783449085291245964600588934162066389817708e-74,8.2402101892204206921568346392934797009482940336403842217600014895474205961837847e-81,12972901503692.238729055950853403176293556463926373733796352239229762232586776707,-2.8070786367265105449240163436049848755966169684554578106846420166849236582204074e-74,3.198119841249225645182477052612578384087330265420087624649110551778934132624237e-74,5.270138720345947582179851574193251870307683948779456048393516198989538745487087e-74,-10,0.0027334785894965520672386177460068220133777625958793781467438549092251750370500962,0.0027334785894965520672386177460068220133777625958793781467438549092251750370500896,0.0027334785894965520672386177460068220133777625958793781467438549092251750370500879,8531.4562718369294799829410263714176803041188236049259103466860614403670179844209,8531.4562718369294799829410263714176803041188236049259103466860614403670179844005,8531.4562718369294799829410263714176803041188236049259103466860614403670179843952
0,0.0033562351241431670631663116155555135251653248724691752075549063560464208848932473,10475.140836901271013694965578288361131859907297091629910008856107965470633691142,0,228858187430.50533771500694473787792180498303182697910820200106014545288725765546,12191.91513723010132774574990220182118819859158133757598326141322584868903936458,228858175238.59020048490561699212801960316184362838752686442507688403966140896642,18771307.448790195343656831061370736489543034031297506218542863783303567055315643,55528523525754.430941467712270695569377511529616595504599721577791973772953031721,1.6685077648442467016246431798930371971396112704090895635865795104365719363709809e-74,5.3452238009036012285954879369330018250029413571540323437503657838243637850307609e-81,19484951714211.422820614408745595919797937320650017351452784376992256591602873522,1.7667441821584460092384129323323917422610557745545522643412241374097396681319535e-74,2.4421145528479150975780035139555732695243770222557183005321597113030523972527874e-74,4.2028537163336103273939354200478308753374279092356344831159151041950692839957039e-74,0,0.0033562351241431670631663116155555135251653248724691752075549063560464208848932446,0.0033562351241431670631663116155555135251653248724691752075549063560464208848932473,0.00335623512414316706316631161555551352516532487246917520755490635604642088489325,10475.140836901271013694965578288361131859907297091629910008856107965470633691134,10475.140836901271013694965578288361131859907297091629910008856107965470633691142,10475.140836901271013694965578288361131859907297091629910008856107965470633691151
10,0.0038143630407932072336033214138976179187011682676841916161746699837415431544442554,11905.003248418250394439173434780747401686050871529675938480789971038252810749476,10,211459154454.04816436571555214221515550614331390264488678400678542795917541721857,11893.05490274082658756273420995110588030900967237725136709020047542550432679884,211459142560.99326162488896457948094555503743359363521440675541833775869999171424,17780053.668575608823817940385031686742378596071494517954311636137867522265723175,63821697910138.633171893950175158188237351811890319142209875853896016878376268871,1.3541512294388089172605799720871026527509888571436089211717167041224351947358686e-74,4.3404205594394419837747644726713281383305856628970339678835789954937437822977057e-81,26725207848544.192924007999615260623337381334696775171646730042341263839410703666,1.0855663873753716894110644291540102260892812458096405700974795262001919896575171e-74,1.1669152128892066571558616526328484695521423539271013065925255352370376909344054e-74,1.7953356055099322873446770035292654943221790317937081725562347416088221351681377e-74,10,0.0038143630407932072336033214138976179187011682676841916161746699837415431544442511,0.0038143630407932072336033214138976179187011682676841916161746699837415431544442554,0.0038143630407932072336033214138976179187011682676841916161746699837415431544442544,11905.003248418250394439173434780747401686050871529675938480789971038252810749463,11905.003248418250394439173434780747401686050871529675938480789971038252810749476,11905.003248418250394439173434780747401686050871529675938480789971038252810749473
20,0.004187988470609398790953072213631071916454247333493822801486945213738031210553488,13071.125064323966924503137747980649608412089938059670154354218996145280181874846,20,195465234920.28318184832753483908176098334988231685280946674454646232119611982434,8761.3903501573953806849539410345007084607823404681639896803762510613073433444557,195465226158.892831690932154154127819948849173856070468998580556781944945058517,22309842.057975617507396102520338320911177573592465133952609544514676080396819225,73353551144637.092781292561998199639447890804895906533590755965738420268664102545,2.5044888809773889413620420402121158756236401056865216016568740063488916229171038e-75,7.9890093788543808809516537732280612792802051100761346277933047924647655955005209e-82,33835906233768.904924818308400064322998813923248065245397457770578579594482690568,2.81107286468324172556325753134153006039825811862400959082521547953987663192937e-75,3.8250567573212839628212978607941018607825092044521414330078993107007295504225232e-75,6.5626960614182631760968837709843266178144158375327459663376870887831657221377709e-75,20,0.0041879884706093987909530722136310719164542473334938228014869452137380312105534872,0.004187988470609398790953072213631071916454247333493822801486945213738031210553488,0.004187988470609398790953072213631071916454247333493822801486945213738031210553488,13071.125064323966924503137747980649608412089938059670154354218996145280181874844,13071.125064323966924503137747980649608412089938059670154354218996145280181874846,13071.125064323966924503137747980649608412089938059670154354218996145280181874846
30,0.0045219994226642654800938877677814294325048020089568411174120010308099023294056428,14113.60618809071694329675049114139454808314609205537185415744224709964572739164,30,180775511303.16990500836192002125610437089513548028607319411173083381714035814124,6454.3518461468516025488700093845763632808079972942276172182752699878245090607747,180775504848.81805886151031747238609498631877219947807589988411361554187037031674,28008313.710243437394305507778933711475421546459129862674751031004759369618702044,84309068870594.988769971287238586455561334320173996573649405697245415936007559622,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-74,3.5415196215540038956795990953485220104025651518894205051042485162472672227476536e-81,40719542623793.198021819022495914795228633248876699508117221020663711756088411684,-7.9711835763521723892316027693647688041400683363746877183768783029656102343189202e-75,1.2589084131214989987556938304722407479876638223391703009297106940489303086816213e-74,2.1862265024488462679576693629697153094075827509591374491013365719492529057616303e-74,30,0.0045219994226642654800938877677814294325048020089568411174120010308099023294056463,0.0045219994226642654800938877677814294325048020089568411174120010308099023294056428,0.0045219994226642654800938877677814294325048020089568411174120010308099023294056439,14113.606188090716943296750491141394548083146092055371854157442247099645727391651,14113.60618809071694329675049114139454808314609205537185415744224709964572739164,14113.606188090716943296750491141394548083146092055371854157442247099645727391643
40,0.0048412484644237512221884462871490434397746460807656473535642524671440593038255053,15110.013933906839784211734373701070276418953797152458671864792281555702650646826,40,167298116713.14889736883472768980093341617072453663627011439385435793753582813226,4754.7998763815947606394035291444663985423563435975821179505646741551309801936302,167298111958.34902098723996705039740427170432599427992651681173640737286167300128,35185101.594741113126864310793768986104392799550291027685876213999379806123107483,96900869261160.769710404172472902658368732253794737800698150700698179121217243107,1.0017955523909555765448168160848463502494560422746086406627496025395566491668415e-74,3.2120759358280500449187061562463339164116288586904046441643184217126377136548486e-81,47754407149483.61761231639183389431616367854767746819614023897232550785644946979,6.2007690225578112410274006374906868920612882616652500344470190915810489146706226e-75,6.471025878904520171341840918579134383953895651054009222311582706101763385872801e-75,9.0839823616522642177859153239573690628452564861889155431130855150548830496819828e-75,40,0.0048412484644237512221884462871490434397746460807656473535642524671440593038255065,0.0048412484644237512221884462871490434397746460807656473535642524671440593038255053,0.0048412484644237512221884462871490434397746460807656473535642524671440593038255085,15110.013933906839784211734373701070276418953797152458671864792281555702650646829,15110.013933906839784211734373701070276418953797152458671864792281555702650646826,15110.013933906839784211734373701070276418953797152458671864792281555702650646836
