voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-1.5580566742569652e-10,-0.003962440777817099,-2.2899848682333854e-09,0.005457378602073511,-50,27304109698959.934,0.00014559378436813911,27304109698959.934,1.8753623183473626e+17,9.7281307390711071e+18,8.97917667064263e-06,7.850069352998831e-07,9.684052201919258e-06,3.1799516582857504e-12,47.269787024598813,-1.0809693051783142e-06,1.1417553649827121e-05,2.0203116222039513e-05,-50,-1.5638441312791217e-10,-1.5580566742569652e-10,-1.5320446146962642e-10,-1.5464292851154993e-10,-0.003964585171047556,-0.003962440777817099,-0.003956997493332892,-0.003965976670003535,7.993840097517572e-08,-2.2899848682333854e-09,-1.8382924511620608e-10,-7.050685343247074e-07,0.005458706641116949,0.005457378602073511,0.005457330189528875,0.005467014241730794
-40,1.6812972373867965e-09,-0.0029954264737031885,-2.108276527625953e-08,0.009740655292030411,-40,26695007130435.812,0.00019629535634083835,26695007130435.812,1.3599408375246438e+17,6.9773565309481452e+18,8.572881212356477e-05,5.707244315069081e-07,1.3255888684639977e-05,4.1242201355702115e-11,42.084566889609356,-9.8967152837303729e-05,0.00011352078147233573,0.00017441454948106228,-40,1.6810610783234245e-09,1.6812972373867965e-09,1.6400550360310944e-09,1.642066735533741e-09,-0.002995590762608434,-0.0029954264737031885,-0.0030811552858267532,-0.003068597874507084,1.1355121581131253e-08,-2.108276527625953e-08,-6.768234515733215e-11,5.496416662306486e-07,0.009740132211773044,0.009740655292030411,0.009740506517118774,0.009727399403345771
-30,4.5109734941575916e-09,-0.0021116735163579743,-3.541510658197015e-08,0.017246738867413805,-30,26099670941505.07,0.00026465324112702167,26099670941505.07,98618368814831184.0,3.0659490078932239e+18,5.461829750654391e-05,1.8198042095126144e-06,3.062558977984589e-05,2.645105751226032e-11,32.687552834694038,-3.2675983639762762e-05,6.7522662846193632e-05,0.00011442103342522611,-30,4.5111223745158085e-09,4.5109734941575916e-09,4.484671317003548e-09,4.489142709217929e-09,-0.002111850569539858,-0.0021116735163579743,-0.002166291813864518,-0.0021383805146109047,-5.6249544435404294e-08,-3.541510658197015e-08,-1.0930398027014971e-10,1.7635546650772101e-06,0.017247489951906062,0.017246738867413805,0.017246539318875875,0.017216864362126216
-20,9.134500997719766e-09,-0.0012933211574195358,2.1915975015459818e-08,0.0304496383398789,-20,25517791042851.227,0.00035681607219184986,25517791042851.227,71515251222010640.0,5.745388713024382e+18,1.236771790491531e-05,7.302971388296474e-07,1.1743315307514296e-05,2.9483199063166642e-12,24.443056612388183,-1.451247332084904e-06,1.4135694605372646e-05,2.6226700744078458e-05,-20,9.134483659197435e-09,9.134500997719766e-09,9.137431979103752e-09,9.13545067202137e-09,-0.0012946139140923314,-0.0012933211574195358,-0.001287278519157553,-0.0012996462370624684,2.402879413995965e-08,2.1915975015459818e-08,-4.9848363205380215e-11,7.30247290466442e-07,0.03045152124683073,0.0304496383398789,0.030449744230281794,0.030461381655186415
-10,1.7020722597705882e-08,-0.0004627436098035634,-2.3868548809590427e-08,0.05381749320867826,-10,24949064347328.906,0.00048107368280183888,24949064347328.906,51861212199391464.0,9.6765956220986061e+18,2.6315823872156974e-05,6.320517666360748e-08,4.988011549050819e-06,1.2684576420134914e-11,-18.675375037672723,-2.5418526597320579e-05,3.2851135419268187e-05,5.4708099592787256e-05,-10,1.701947782957394e-08,1.7020722597705882e-08,1.7008038021285747e-08,1.7008823496370912e-08,-0.00046493393298921437,-0.0004627436098035634,-0.0004890594336757204,-0.00048415640499444024,8.272127484487381e-09,-2.3868548809590427e-08,7.635928881546185e-10,-5.49330491791201e-08,0.05381686150867325,0.05381749320867826,0.05381735249829944,0.05381250519712921
0,3.089422483267783e-08,0.0005607322189516159,2.5554290287390032e-08,0.09558279881602708,0,24393194615955.043,0.00064860275733344755,24393194615955.043,37608835824628584.0,3.0796999876293837e+19,4.358301296150755e-05,4.79821283564542e-07,1.5647361578885466e-05,1.6076213978392242e-11,-14.856242833365377,-5.9474771886058875e-05,5.3133467964394016e-05,9.1254439060117952e-05,0,3.0893829996931654e-08,3.089422483267783e-08,3.088059045442517e-08,3.0878148618699435e-08,0.0005574562167819236,0.0005607322189516159,0.0005323916320776334,0.0005171492059901084,7.466423148430194e-08,2.5554290287390032e-08,-2.2447423654693538e-10,-4.0515705208024013e-07,0.09558643138803524,0.09558279881602708,0.09558278123586206,0.09559842859744094
10,5.592424576413839e-08,0.002113961235005098,-1.2865610895516153e-08,0.17137415766771746,10,23849892308704.859,0.00087447214815497911,23849892308704.859,27273472756136356.0,3.8168824059912105e+18,2.7028575718901493e-05,7.574701549038443e-07,3.541606266410646e-05,1.2070468137331707e-11,-12.307801178119171,-1.6632127410431963e-05,4.1626174029108891e-05,8.3875169150437789e-05,10,5.5927608416223127e-08,5.592424576413839e-08,5.5936316232275724e-08,5.5931986236663444e-08,0.0021270189995727107,0.002113961235005098,0.00213910024103825,0.0021120716653193483,7.605646380896066e-08,-1.2865610895516153e-08,-2.8276947934006e-10,7.446045440083281e-07,0.17136497726759514,0.17137415766771746,0.17137410969735356,0.17140039333025925
20,1.0235914537731983e-07,0.00489210399036163,-7.480671653703828e-09,0.31213483956416743,20,23318874440468.598,0.001178998284007679,23318874440468.598,19778548244533932.0,1.6382013733495669e+19,7.056972093584524e-05,7.898218848239359e-07,1.5948129938769817e-05,2.8552968117480923e-11,-10.554828784787199,-9.6590249508921033e-05,9.1723618237056414e-05,0.00014836758403265248,20,1.0235931418301785e-07,1.0235914537731983e-07,1.0233177552816538e-07,1.0233076121490037e-07,0.004899315501197224,0.00489210399036163,0.004835077414099942,0.004828745780261379,-2.7887065212644406e-08,-7.480671653703828e-09,-2.8968438639025504e-10,7.619348196112915e-07,0.31212456956353984,0.31213483956416743,0.31213494823896326,0.3121405176934786
30,1.9152335560525e-07,0.010121575092718021,8.868223190803977e-10,0.5825809186378024,30,22799864442678.531,0.0015895725857316852,22799864442678.531,14343393090277588.0,2.0576908048322898e+18,2.7458667954366467e-05,7.629419530498879e-07,2.067902823910117e-05,8.860076097259975e-12,-9.3039882120495854,-2.9442025897274959e-05,3.4885705406595917e-05,7.354430754565882e-05,30,1.9152539070510154e-07,1.9152335560525e-07,1.915197263120073e-07,1.9151653062900428e-07,0.010116680742173367,0.010121575092718021,0.010114064531080658,0.010094116424763655,3.127660724107275e-08,8.868223190803977e-10,-7.547501114123898e-10,-7.316653458088151e-07,0.5825945815211863,0.5825809186378024,0.582580858739675,0.5826015377679141
40,3.708350453564604e-07,0.020160577721342988,-4.927083017218312e-09,1.1271718891455067,40,22292592031322.309,0.0021431252611503033,22292592031322.305,10401908108421512.0,4.1476605596419625e+18,5.699924697261105e-05,8.276495842653636e-07,1.873813885033826e-05,2.1655317334161436e-11,-8.381325949325781,8.3213762886558129e-05,6.6886197476544567e-05,0.00012199072550197988,40,3.7082631304355217e-07,3.708350453564604e-07,3.7084643540721146e-07,3.7084796836088633e-07,0.020136931371717848,0.020160577721342988,0.02018436165235471,0.02019393061869046,-7.067837682196536e-09,-4.927083017218312e-09,1.1900399237894403e-10,8.20581746583167e-07,1.127180106400873,1.1271718891455067,1.1271717576746596,1.1271613682620227
