voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-0.021882470043088693,-29061.906718641803,-20347.067526745144,-29061.90671863698,-50,140324778.4623175,56348.442938020635,140268430.01937947,2490.3044546708234,35389488528012576.0,2.0889274310320616e-08,1.2601958587765694e-08,8.425558917224407e-09,6.702971511174383e-15,74818.686778468968,1.0746686399586481e-07,2.8185960921740607e-08,1.4218920796338352e-07,-50,-0.02188247004308745,-0.021882470043088693,-0.0218824700430895,-0.021882470043082795,-29061.90671863813,-29061.906718641803,-29061.906718642356,-29061.906718621467,-20347.067526747924,-20347.067526745144,-20347.067526739516,-20347.06752673532,-29061.906718635393,-29061.90671863698,-29061.906718641745,-29061.90671864382
-40,-0.017192883607300945,-22646.319148601197,-16736.094237687044,-22646.319148600673,-40,134148307.09297147,62274.660413945508,134086032.43255752,2154.1395200114316,3.591308155003111e+17,2.5538611225783825e-08,1.146690919995308e-08,7.843482308089733e-09,3.83026943495679e-15,69229.556005212959,1.0239908186115536e-07,2.2912860275297126e-08,1.22034776950386e-07,-40,-0.01719288360730302,-0.017192883607300945,-0.017192883607300032,-0.01719288360729919,-22646.319148612587,-22646.319148601197,-22646.31914859674,-22646.31914858705,-16736.094237681056,-16736.094237687044,-16736.094237689947,-16736.094237692523,-22646.319148598763,-22646.319148600673,-22646.31914860084,-22646.319148606606
-30,-0.012677295715432486,-16554.514322611998,-12916.12320538536,-16554.514322611943,-30,129295672.16125861,68824.143622529344,129226848.01763608,1878.6382998150975,6.6274106009101658e+17,7.930793799459934e-09,8.49468051455915e-09,3.2887328416109085e-09,2.607289384393141e-15,64411.458405546844,9.8499812951873347e-08,2.6003190490518513e-08,1.3239235840956098e-07,-30,-0.012677295715433228,-0.012677295715432486,-0.012677295715435093,-0.01267729571543324,-16554.51432261082,-16554.514322611998,-16554.51432261875,-16554.514322615985,-12916.123205391981,-12916.12320538536,-12916.123205383486,-12916.123205384036,-16554.51432261213,-16554.514322611943,-16554.514322614268,-16554.51432261098
-20,-0.008328965230046339,-10789.337517623186,-8833.693812449808,-10789.337517619886,-20,125719222.04114491,76062.441993080982,125643159.59915182,1652.8423062275722,65021938348788736.0,1.1459633242338896e-08,5.817128112539649e-09,1.0404619388282299e-08,5.497338695370502e-15,60680.639147601112,9.5790427426748447e-08,1.7158699053630151e-08,8.1767126403065049e-08,-20,-0.008328965230045336,-0.008328965230046339,-0.00832896523004707,-0.008328965230041573,-10789.337517616703,-10789.337517623186,-10789.337517625427,-10789.337517613967,-8833.693812443991,-8833.693812449808,-8833.693812448488,-8833.693812446785,-10789.337517626147,-10789.337517619886,-10789.337517620588,-10789.337517615742
-10,-0.004122407500801402,-5308.991043945844,-4496.916603241363,-5308.991043950959,-10,123384032.95950088,84061.998848568997,123299970.96065231,1467.7741982053913,32818538146848524.0,8.469214662909508e-09,3.0595401767641306e-09,2.7939677238464355e-09,2.9472951856845953e-15,58313.219783729168,9.3734846684603496e-08,1.7999786622881457e-08,1.0562058605501079e-07,-10,-0.004122407500800385,-0.004122407500801402,-0.004122407500802293,-0.004122407500799345,-5308.991043940128,-5308.991043945844,-5308.9910439485975,-5308.991043940274,-4496.91660324439,-4496.916603241363,-4496.916603244423,-4496.916603243197,-5308.991043951988,-5308.991043950959,-5308.991043949456,-5308.991043949194
0,2.3312168195843636e-17,1.8553691916167736e-09,-1.979060471057892e-09,-7.930793799459934e-10,0,122267561.64404978,92902.876442747045,122174658.76760703,1316.0793973844202,63727342974024072.0,1.1263182386755943e-08,1.798616722226143e-08,1.871376298367977e-08,7.352075044764206e-15,57501.049797309708,8.477608324455317e-08,2.9853032727234523e-08,1.294669118578895e-07,0,4.378025187179446e-15,2.3312168195843636e-17,-2.974049857584759e-15,-2.345204120501876e-15,1.1350493878126144e-08,1.8553691916167736e-09,3.055902197957039e-10,8.731149137020111e-11,-1.021544449031353e-08,-1.979060471057892e-09,1.5315890777856112e-09,7.770722731947899e-09,7.4214767664670944e-09,-7.930793799459934e-10,-1.0353687684983015e-08,-1.1292286217212677e-08
10,0.004122407500800512,5308.991043952428,4496.916603240166,5308.991043942195,10,123384032.95950088,84061.998848568997,123299970.96065231,1467.7741982053913,44054794596779552.0,1.1630618246272206e-08,7.585185812786222e-09,9.211362339556217e-09,1.6158949178723958e-15,58313.219783729648,9.36298218682314e-08,1.8381783462675974e-08,9.6824265938266763e-08,10,0.004122407500799985,0.004122407500800512,0.0041224075008016005,0.004122407500801232,5308.991043940798,5308.991043952428,5308.991043947084,5308.991043948001,4496.916603241712,4496.916603240166,4496.916603244423,4496.9166032477515,5308.991043951406,5308.991043942195,5308.9910439488085,5308.991043945076
20,0.008328965230046,10789.33751762054,8833.69381245015,10789.337517621305,20,125719222.04114491,76062.441993080982,125643159.59915182,1652.8423062275722,35567192578293024.0,1.437729224562645e-08,8.949427865445614e-09,1.9819708541035652e-08,2.0886070650760757e-15,60680.639147592126,9.5758535205382366e-08,2.005753756709256e-08,1.1101820973635768e-07,20,0.008328965230043912,0.008328965230046,0.008328965230044928,0.008328965230044222,10789.33751762865,10789.33751762054,10789.337517621378,10789.337517614273,8833.693812452504,8833.69381245015,8833.693812448775,8833.693812443555,10789.337517605498,10789.337517621305,10789.337517617809,10789.337517625318
30,0.01267729571543116,16554.514322609506,12916.123205387223,16554.514322609368,30,129295672.16125861,68824.143622529344,129226848.01763608,1878.6382998150975,1.8030653624441056e+17,2.1354935597628355e-09,6.300979293882847e-09,6.122718332335353e-09,1.745131816832668e-15,64411.458405553523,9.8502972881842054e-08,1.954753366945039e-08,1.0359588031860767e-07,30,0.012677295715432906,0.01267729571543116,0.012677295715431755,0.012677295715432885,16554.5143226106,16554.514322609506,16554.514322608582,16554.514322610717,12916.123205389624,12916.123205387223,12916.12320538699,12916.123205383323,16554.514322612522,16554.514322609368,16554.514322612267,16554.51432261549
40,0.017192883607300327,22646.31914860515,16736.094237685265,22646.319148595692,40,134148307.09297147,62274.660413945508,134086032.43255752,2154.1395200114316,79733607575097936.0,2.837623469531536e-09,5.642505129799247e-09,5.4424162954092026e-09,2.751271432899216e-15,69229.556005214559,1.0239916079222937e-07,2.4076647595001888e-08,1.154464825958712e-07,40,0.01719288360730308,0.017192883607300327,0.017192883607301333,0.01719288360730089,22646.31914860547,22646.31914860515,22646.319148605005,22646.319148602634,16736.094237690908,16736.094237685265,16736.09423768652,16736.09423768823,22646.319148601135,22646.319148595692,22646.319148598344,22646.319148598486
