voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4","current, barrier 5",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_2 transport over barrier 5,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4,solute_1 transport over barrier 5
-50,-0.010515958403849874,-20080.97182345143,-22780.857421139062,-50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,1.1005955319037448e+17,7.4214767664670944e-09,1.068110577762127e-08,2.732189474663471e-15,13271.986673224492,1.3987775478172939e-07,8.5540356174802584e-09,9.575780342903524e-08,-50,-0.010515958403847142,-0.010515958403849874,-0.010515958403849581,-0.010515958403848143,-0.010515958403847985,-0.010515958403848757,-20080.971823454718,-20080.97182345143,-20080.971823448577,-20080.971823448795,-20080.97182345241,-20080.971823456,-22780.857421128894,-22780.857421139062,-22780.857421139575,-22780.857421134977,-22780.857421132678,-22780.85742113329
-40,-0.008131844533439266,-16457.637583193966,-17151.47001439324,-40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,5.295922805312873e+17,6.3300831243395805e-09,1.1103111319243908e-08,2.5916768731093498e-15,11718.621759101883,1.3681021502797361e-07,9.0565144141871438e-09,9.8928552757712729e-08,-40,-0.008131844533437457,-0.008131844533439266,-0.008131844533437505,-0.008131844533437654,-0.00813184453343959,-0.008131844533440048,-16457.637583192787,-16457.637583193966,-16457.637583194984,-16457.63758319131,-16457.637583189076,-16457.637583188654,-17151.47001438818,-17151.47001439324,-17151.470014387232,-17151.47001438953,-17151.470014396695,-17151.470014398335
-30,-0.005887839451934886,-12620.355772346771,-12066.349741588434,-30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,2.9869553226240269e+17,1.6047124518081546e-08,5.369656719267368e-09,2.9559688030644793e-15,10463.720373416045,1.3443567665717736e-07,9.0671162142246098e-09,9.835566479234753e-08,-30,-0.005887839451936194,-0.005887839451934886,-0.00588783945193559,-0.005887839451936661,-0.005887839451937842,-0.00588783945193584,-12620.355772349169,-12620.355772346771,-12620.355772353927,-12620.355772362818,-12620.355772362542,-12620.355772356794,-12066.349741591315,-12066.349741588434,-12066.349741587052,-12066.349741585946,-12066.349741589773,-12066.349741586397
-20,-0.0037974563665756408,-8568.421837205984,-7568.024932132466,-20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,1.3322449642951749e+17,5.4424162954092026e-09,7.70887709222734e-09,2.422107653332617e-15,9539.8570196620822,1.3274535018672581e-07,8.9499509466936491e-09,9.6437288071415245e-08,-20,-0.003797456366575904,-0.0037974563665756408,-0.003797456366575657,-0.0037974563665744074,-0.003797456366573482,-0.0037974563665742816,-8568.421837206843,-8568.421837205984,-8568.42183720239,-8568.421837206173,-8568.42183720423,-8568.421837207832,-7568.024932132859,-7568.024932132466,-7568.024932134314,-7568.024932128523,-7568.024932126606,-7568.0249321273
-10,-0.0018521290587950297,-4336.53028557634,-3612.4123191189137,-10,232781806.64256138,86864.949512323205,232694941.69304904,2679.8128353201596,3.8220003301424134e+17,9.120412869378924e-09,8.26184987090528e-09,3.714910323804332e-15,8974.9054844617713,1.3173371787106418e-07,8.7770759514811744e-09,9.6961835649098105e-08,-10,-0.0018521290587948554,-0.0018521290587950297,-0.0018521290587944312,-0.0018521290587926009,-0.0018521290587913148,-0.001852129058791778,-4336.530285576009,-4336.53028557634,-4336.530285576038,-4336.530285568864,-4336.5302855696755,-4336.53028556722,-3612.4123191185354,-3612.4123191189137,-3612.4123191171966,-3612.412319115072,-3612.412319110652,-3612.412319113326
0,2.9315051506273446e-16,2.193701220676303e-09,-1.8189894035458565e-10,0,232257191.10686761,92902.876442747045,232164288.23042485,2500.0,68328656695038632.0,6.682967068627477e-09,8.491042535752058e-09,1.9069353584200144e-15,8785.0734617675844,1.3139571647118553e-07,8.3394606464141421e-09,9.7889436532355711e-08,0,-1.2122327461838722e-15,2.9315051506273446e-16,6.43415842205286e-16,-5.012116162106394e-16,4.3768595787696537e-16,6.9470261223614215e-16,4.773028194904327e-09,2.193701220676303e-09,9.89530235528946e-10,3.9726728573441505e-09,-1.9099388737231493e-09,2.2992026060819626e-09,-6.170012056827545e-09,-1.8189894035458565e-10,1.5133991837501526e-09,-3.550667315721512e-09,2.321030478924513e-09,1.0186340659856796e-09
10,0.0018521290587926891,4336.5302855684895,3612.412319115534,10,232781806.64256144,86864.949512323205,232694941.6930491,2679.8128353201605,2.3252455996127856e+17,1.4471879694610834e-08,9.81162884272635e-09,1.953732314818879e-15,8974.905484459121,1.3173371787106424e-07,8.8398317552022681e-09,9.3058054801906098e-08,10,0.0018521290587944451,0.0018521290587926891,0.0018521290587936246,0.0018521290587935777,0.0018521290587927993,0.0018521290587924914,4336.530285572226,4336.5302855684895,4336.5302855637565,4336.5302855724585,4336.530285578228,4336.530285574991,3612.4123191191466,3612.412319115534,3612.41231912082,3612.4123191163235,3612.4123191110084,3612.412319111667
20,0.0037974563665758637,8568.421837202211,7568.024932135049,20,234358023.2211298,81219.438436101744,234276803.78269371,2885.4917952370197,56797291883422344.0,5.387846613302827e-09,6.51925802230835e-09,1.998835125194276e-15,9539.8570196616838,1.3274535018672578e-07,9.0539788820463569e-09,9.7775666824291563e-08,20,0.003797456366576109,0.0037974563665758637,0.0037974563665761256,0.0037974563665763425,0.003797456366576172,0.0037974563665778625,8568.421837204922,8568.421837202211,8568.421837205547,8568.4218372076,8568.421837205533,8568.421837204049,7568.02493213446,7568.024932135049,7568.024932134198,7568.024932133849,7568.024932134351,7568.024932140368
30,0.005887839451935918,12620.355772355833,12066.34974158712,30,236992961.46347415,75940.839393913266,236917020.62408024,3120.7577287125614,2.1746323419109187e+17,1.3780663721263409e-08,1.4642864698544145e-08,4.28129753871076e-15,10463.720373412083,1.3443567665717704e-07,8.5332799560701277e-09,9.6980477664980469e-08,30,0.005887839451935947,0.005887839451935918,0.005887839451935984,0.005887839451936789,0.005887839451937665,0.005887839451940199,12620.355772345298,12620.355772355833,12620.355772353883,12620.355772359078,12620.355772353421,12620.355772353272,12066.34974159248,12066.34974158712,12066.349741588303,12066.349741588216,12066.349741593782,12066.349741601764
40,0.0081318445334357,16457.637583198346,17151.470014379916,40,240698524.80759722,71005.306105252675,240627519.50149196,3389.8667298300875,1.5696349519268705e+18,7.159542292356491e-09,1.155422069132328e-08,3.1086244689504383e-15,11718.621759104693,1.3681021502797393e-07,1.0325089177452139e-08,1.1189824125450165e-07,40,0.008131844533435094,0.0081318445334357,0.008131844533437373,0.008131844533436818,0.00813184453343733,0.008131844533438203,16457.63758319596,16457.637583198346,16457.6375831927,16457.6375831959,16457.637583191186,16457.637583192263,17151.470014379214,17151.470014379916,17151.47001438796,17151.470014384628,17151.470014388586,17151.47001439077
50,0.01051595840384816,20080.971823443168,22780.857421137847,50,245491453.28285667,66390.542102761305,245425062.74075392,3697.6871329485084,51155804290279832.0,1.2609234545379877e-08,1.900480128824711e-08,4.773959005888173e-15,13271.986673222964,1.3987775478172939e-07,1.0992670110369634e-08,1.1965963610032979e-07,50,0.010515958403847945,0.01051595840384816,0.010515958403847558,0.010515958403849657,0.010515958403852076,0.010515958403852332,20080.971823446045,20080.971823443168,20080.971823455737,20080.971823454165,20080.971823455777,20080.97182344753,22780.857421135734,22780.857421137847,22780.85742112968,22780.857421137014,22780.857421143763,22780.857421148685
60,0.013021455781934681,23514.901722879615,28883.796897407516,60,251393399.13371146,62075.700007051411,251331323.43370441,4049.7875836302246,78796914990113216.0,9.073119144886732e-09,1.7706042854115367e-08,4.735795089416683e-15,15092.981588715222,1.4364843662001238e-07,1.0975103671459285e-08,1.1649758115085326e-07,60,0.013021455781932822,0.013021455781934681,0.013021455781932876,0.013021455781932693,0.013021455781931274,0.013021455781929946,23514.901722880488,23514.901722879615,23514.90172287639,23514.901722878218,23514.901722885043,23514.901722885465,28883.796897401277,28883.796897407516,28883.79689740349,28883.796897402004,28883.796897394168,28883.79689738981
70,0.015631458756550736,26796.331383447137,35389.15876692417,70,258431024.63459456,58041.287347843077,258372983.34724671,4452.537778595608,1.1842576269235506e+17,6.28642737865448e-09,3.0850060284137726e-09,1.169203622808368e-15,17154.19145348102,1.4813509252902341e-07,9.6887788050328652e-09,1.0866571730741743e-07,70,0.015631458756550393,0.015631458756550736,0.015631458756550438,0.01563145875655132,0.015631458756550677,0.01563145875655015,26796.33138344728,26796.331383447137,26796.331383444616,26796.33138344706,26796.33138344289,26796.331383440993,35389.158766923036,35389.15876692417,35389.158766924505,35389.15876692603,35389.15876692612,35389.15876692542
80,0.018332903750632658,29965.498734440727,42236.05135260692,80,266636122.53779566,54269.078505956684,266581853.4592897,4913.2236971469702,9.0271570019747494e+17,1.076841726899147e-08,2.1762389224022627e-08,6.987466161234579e-15,19430.295974206587,1.5335398262900307e-07,1.2868836025899334e-08,1.4351104781254974e-07,80,0.01833290375063348,0.018332903750632658,0.018332903750634153,0.018332903750633792,0.018332903750636557,0.018332903750639645,29965.498734437715,29965.498734440727,29965.498734448483,29965.498734442386,29965.4987344469,29965.4987344408,42236.051352610986,42236.05135260692,42236.0513526077,42236.05135260962,42236.05135261599,42236.05135262868
90,0.021116896722527204,33060.04783258631,49377.893444902875,90,276045759.69847977,50742.032378355507,275995017.6661014,5440.1794086637665,1.004449310983181e+17,2.7124769985675812e-08,6.810296326875687e-09,3.649858193455202e-15,21896.167739215576,1.593223443137157e-07,1.3875971465491392e-08,1.529364254267921e-07,90,0.021116896722526972,0.021116896722527204,0.02111689672252698,0.02111689672252964,0.021116896722529886,0.02111689672253062,33060.04783257123,33060.04783258631,33060.04783258076,33060.047832593336,33060.04783259281,33060.04783259836,49377.893444909685,49377.893444902875,49377.89344490494,49377.89344490695,49377.89344490798,49377.8934449075
100,0.023978608608828944,36112.03518686913,56783.5848061564,100,286702444.52567577,47444.215394286985,286655000.31028152,6042.9378406413516,1.3661509134990432e+17,7.872586138546467e-09,1.1292286217212677e-08,3.1086244689504383e-15,24525.590534729465,1.6606494773083773e-07,1.2787935595369042e-08,1.3814245853737556e-07,100,0.023978608608829038,0.023978608608828944,0.02397860860882812,0.023978608608830703,0.023978608608831227,0.02397860860883084,36112.035186868015,36112.03518686913,36112.03518687419,36112.03518686774,36112.03518687561,36112.03518687379,56783.58480615725,56783.5848061564,56783.584806151295,56783.58480616259,56783.58480616029,56783.58480615998
