"{'distance': [0.048, 0.147, 0.265, 0.456, 0.563], 'solute_4': [7.35, -4.98, 6.46, -6.45, 6.19], 'solute_3': [6.5, -0.25, 5.81, -2.55, 6.72], 'solute_2': [7.09, -4.73, 4.77, -1.81, 7.44], 'solute_1': [7.74, -7.8, 0.71, -5.2, 6.46]}","{'solute_4i': '91.0 uM', 'solute_3i': '14.0 uM', 'solute_1e': '91.0 mM', 'solute_2i': '118.0 uM', 'solute_3e': '47.0 mM', 'solute_1i': '19.0 uM', 'solute_2e': '83.0 mM', 'solute_4e': '76.0 mM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
-50,60785631710451.286938059823272632261215156079176841740557038116802669334437662046,7486.499859111741827627355018752507292505376337473965371572585305674773507460181,60785631702964.787078948081445004906196403571884336364219564151431096749131987272,8119365905.8805325428059288196166412521779680401050332539688412145319102802262647,121571263420902.57387611964654526452243031215835368348111407623360533866887532409,1.5564448416733411881656298781213392123048100496801643763345119342076642891331453e-72,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-74,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,9.1971740644333797482514492798079135272556957481100622237948432475907435266958583e-73,4.0482040102005209181498524356876872989606251708295068992298610016415274077323877e-79,368618394.69539980534984148939305692042493097103949371774076348689020593908036513,1.6947762133504322052756704076768335515407686771980151287932106825549216445865964e-72,9.6579230118739568287547348864204022796859113007332802678937128449095127925533748e-73,1.7683125094111990818461961769505329116620908525964424572420293190867006350912093e-72
-40,65150806664729.274537337703922130646051604274688260419795025899363841953987794509,12648.028835822183411224080761388864836367417740390481488797962674677240941999509,65150806652081.245701515520510906565290215409851893002054635417875043991313117268,5151064051.9894225180772451034315725031698677881085438613924178892762261003831282,130301613329458.54907467540784426129210320854937652083959005179872768390797558902,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-73,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-74,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,313301966.15487367911206788098468776321918559475283313642419939506558668883451087,3.2107671697227324057237116411073449133690952956705461078092761037229342450624035e-73,7.3974989588635870786423936561763194698685098454829941422867584110283526386523878e-73,1.5319585494134456864920755669568284087243070389934588703853856153659753251583491e-72
-30,70464584479234.791564762211817375205102702353494641112946481405862642418226364206,21368.147524518877557221518904177048542457516670526434520761461318759137653635217,70464584457866.644040243334260153686198525304952183596275954971341880956907605068,3297645918.9258317807637981958952690064704388232934071664256939352559702999383346,140929168958469.58312952442363475041020540470698928222589296281172528483645272841,6.3672743523000321334048495014054785957924047486915815395502760944858993646355942e-73,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-74,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,7.7822242083667059408281493906066960615240502484008218816725596710383214456657263e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,272972323.21622848312497950677383183687812498218366767384947258293045072850774425,-6.5637677922308372427104502344037335367162734905861672934058497320649450674611578e-73,3.6519088123260748370759117938779601798450794997540909943708400472569115947991469e-73,7.5629431103536336776892267129123479686644784240580830515146505380911659915534498e-73
-20,76798672847861.302585278819240773433784587928701170449606256201458226282763249135,36100.307372514071257542310509913230426898398525819348343037266809490911138180207,76798672811760.995212764747983231123274674698274272051080436853115189015953758224,2127368946.0698058722311826854650549451278413248151336112600330286981955456136277,153597345695722.60517055763848154686756917585740234089921251240291645256552649827,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-72,1.061212392050005355567474916900913099298734124781930256591712682414316560772599e-73,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-73,6.3672743523000321334048495014054785957924047486915815395502760944858993646355942e-73,4.0482040102005209181498524356876872989606251708295068992298610016415274077323877e-79,246827585.879362360771813001279162801085180960694565295019136774092040765792952,-1.4968198689363293936202132925804415678342147376380111260013991206899237332023612e-72,7.9486605747257415569396505852394547974476988827405218532870055506307405030866419e-73,1.1273202951228850006007176361192362716821959220275074888697275050085295950315997e-72
-10,84239603331828.220124091637546658560565365848455124980194938870179008555701988033,60989.47935915363628050123293683270903602351637290821027723446250683700975233429,84239603270838.740764938001266157327628533139419101463822030659901774093195151023,1381215321.3468131934041060021807692646401499031580559590067958442670100781124503,168479206663656.44024818327509331712113073169691024996038987774035801711140397607,2.4761622481166791629907748061021305650303796244911705987139962589667386418027311e-73,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-74,2.1224247841000107111349498338018261985974682495638605131834253648286331215451981e-73,1.3442023632633401170521348947411565924450632247237783250161693977248009769786254e-72,4.0482040102005209181498524356876872989606251708295068992298610016415274077323877e-79,233345353.42685283095649195819042558050923904880209923062814279199271702984473658,-2.4879348790222975224592070747346875034087625480072185398217972090432523776892509e-73,6.8337631761004573350754161859867373025374179009936390031606862202569382068666885e-73,1.202725960546945058218399863754030251520515817664102430618108479290782363914079e-72
0,92889905032138.010114866303320791366762778917746312135428039375067602015136880937,103038.36347201665547394135608627820296916212321249897194801464523066753006008993,92889904929099.646642849647846850010676500714777150012215540403119587369906213407,901507961.71530051523508953555310041686411066356355440602231681415079848371124993,185779810064276.02022973260664158273352555783549262427085607875013520403027376187,1.7686873200833422592791248615015218321645568746365504276528544706905276012876651e-73,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-74,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,1.0965861384516722007530574141309435359420252622746612651447697718281271127983523e-72,3.0361530076503906886123893267657654742204688781221301744223957512311455557992908e-79,230890428.36958914036397594549373247256727719424887494276426739774782641624912401,-2.0949328688005329679655017132081634753684323424869092809092045457157092801086597e-73,2.235586271988687622926819907297811825715032927308625193273197240461958137377777e-73,5.2847746746663115732021869817170982775515135082008912352755279720945691275513951e-73
10,102869510215165.7043602834250355837085698353142659761892077803414830427614774702,174077.6353323300314734963636911581970940033073449050348238845510457147804458715,102869510041088.06902795339356208734487867711717197288186287530665915821043175542,590940415.85973096060650183567717779654126624957009575974642250173110773248811475,205739020430331.4087205668500711674171396706285319523784155606829660855229549404,2.1224247841000107111349498338018261985974682495638605131834253648286331215451981e-72,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,2.1224247841000107111349498338018261985974682495638605131834253648286331215451981e-73,9.5509115284500482001072742521082178936886071230373723093254141417288490469533913e-73,6.4096563494841581204039330231721715566876565204800525904472799192657517289096138e-79,238644578.59759736001928798859171290384001222541171212171992505006243993409941965,1.7438713440161255959989740922808766010824435325960970776308519486224812273214895e-72,1.0596062681240161899560372157567716484574893255847838896139010151238712779419693e-72,1.5551953769390560739619064895156401360911512828804710486217199125437867569394574e-72
20,114317411041134.26011412068925658157015005169199733537256141324993246707358088399,294094.5692632766494019866833434431659969092395709079490001178638105122835698682,114317410747039.69085084403985459488680660852600042613299050530093234920977037171,388709697.45380124098253560117858325291775948085584057774639197922622231440571081,228634822082268.52022824137851316314030010338399467074512282649986493414716176798,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-74,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,5.3060619602500267778373745845045654964936706239096512829585634120715828038629952e-74,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,1.0120510025501302295374631089219218247401562927073767248074652504103818519330969e-79,257931790.34476255664653687134918145266109577452871852382168444638914611031096387,7.7527903429515408325445982592433951813306861255626776151383951375625655156801714e-74,1.0656565410353540947208835204293708900327302317801828309523274904074613468621391e-72,1.6856725673524553955791420476305584158381890045858264280473543661947750836999749e-72
30,127393590179095.88202778995271273475395524280588286308558787768458601517749562928,496856.56348118389564853608815568080884599246847377921631030687352634330890856148,127393589682239.31854660605706419866579956199703687061711409846827570830396928597,256399129.12999148656134104377286965234488822652375984875309933985849763181645965,254787180358191.76405557990542546950791048561176572617117575536917203035499125855,1.5033842220708409203872561322762935573398733434410678635049263000869484610945153e-72,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-74,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-74,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-73,4.6385670950214302187133725825588083633923830082421433220342157310475834880266942e-79,293695716.76259957754655439829400915122107442906076241406881821001522177833160112,-1.0824221846795629061371041150524708935523083868116329408572463237482897355469177e-72,8.1401523183617182784467259232077834012730107839591548537706915642796902463214335e-73,1.33644961053138250388635957083696879763999746969089585792854535558986947993892e-72
40,142281252037504.40024889668889520989907548660039504333626772771886686760328783553,734274.56786467053278238493928627069641247126693691549250754483450044141770756614,142281251303229.83238422615611282495978921590398257206933081222635932276878739411,193771183.51146182047207923087833816462063503171817248498158897368276963855094437,284562504075008.80049779337779041979815097320079008667253545543773373520657567106,1.5918185880750080333512123753513696489481011871728953848875690236214748411588986e-73,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-74,4.8638901302291912130175933691291850384525314052505136760453497943989509035410789e-74,1.061212392050005355567474916900913099298734124781930256591712682414316560772599e-72,3.7108536760171441749706980660470466907139064065937146576273725848380667904213554e-79,356396376.53602988474646780262546371198680820648816760449820823432196801942178901,1.1443135629011220933298346537620486881736468242225410280977196788926302254445875e-73,2.5361517133663116898992233076259951890365088981835311164129781168499484211902225e-73,5.0338023877487445067375834275480644377135010591838441249881990337728432340313325e-73
