"{'distance': [0.201, 0.409, 0.741, 0.754, 0.796], 'solute_4': [7.25, -5.98, 1.78, -6.11, 7.21], 'solute_3': [8.26, -8.42, 10.77, -5.76, 11.26], 'solute_2': [6.13, -1.63, 10.47, -6.52, 7.89], 'solute_1': [7.47, -6.2, 11.05, -9.01, 8.01]}","{'solute_4i': '117.0 uM', 'solute_3i': '111.0 uM', 'solute_1e': '102.0 mM', 'solute_2i': '84.0 mM', 'solute_3e': '55.0 mM', 'solute_1i': '21.0 uM', 'solute_2e': '58.0 uM', 'solute_4e': '27.0 mM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
-50,20146591194482.317580432233708284752954626959774680199332611280489775149758351077,3855.7835870144646529364493646153850037348209770778241105996307944056539936037125,20146591190626.533993417769055348303590011574770945378355533456379175518963945423,5225031628.4171524773247624538795930878833008737556397840947491705552110996604994,40293182388964.635160864467416569505909253919549360398665222560979550299516702155,2.1003161925989689328939607730330571756954112886309036328377646839450015265291023e-73,1.0377220135801484661864240398340960124652986037906635712244482089754579910679972e-73,2.8096478968716511422000687832841679944690239785638776043966865684672988142818482e-73,2.487216543867200052111269336486515076481408104957649038886826599408554439310779e-75,5.7982088687767877733917157281985104542404787603026791525427696638094793600333678e-80,31018145.020010645617945601080501389117942673785096984111265372805363994101693039,-1.1254699676870867965935582005672451487235737731952007229085533325714118856206544e-73,1.1465550590951118724142836764845359322739142039870612154060973994933674957113561e-73,2.0347016489644959470577157900353245871423299302371251880818402423781374058979802e-73
-40,23749382377016.19729620314588442782747084065627459353298822758694070379490184031,4539.3065199385376898646660555752229180387090029785613089307288483697137552216506,23749382372476.890776264608194563161415265433356554823985249025631773066053470596,5231940665.9803542978246148580233072116061452663938651513901643008352435510327807,47498764754032.39459240629176885565494168131254918706597645517388140758980368062,1.4591670390687573639052780107387555115357594215751541028136049383196852710623237e-73,6.273312838420604575880645993138210248458662664726514798081218200730465085817187e-74,8.1214529092108157257133252917774957566774867427158790144762907433465437316939464e-74,2.373219118939953383056169491897549802142676900147090124604513713602329027509035e-74,3.1626593829691569673045722153810057023129884147105522650233289075324432872909279e-81,36794454.646537464754820675620740828836355501006060098439206268836408644062727772,-9.2125764951614068811540649171144778532325577529991473926904648669011117381381036e-74,9.5663732271876715666302107394924403465776755195438761465167982210194675077203054e-74,1.9695232382292893002935762699084642928645191653573997195874512878171202808109021e-73
-30,28005917968795.706334997396091158521219268719425828423958068678615107336287641981,5343.9990126394044081443182270020334655401557621537651772975296563266065510523875,28005917963451.707322357991683014202992266685960288268195914913437809806631315374,5240629330.6861159351401252774878711812797396857667820598416770574967631544837898,56011835937591.412669994792182317042438537438851656847916137357230214672575283962,6.1904056202916979074769370152553264125759490612279264967849906474168466045068277e-74,1.070884900831711133547907630987249546818384045190098891742939230300905383592141e-74,8.5394434672773868455820247219370350959195011603545950335114379913027035749670079e-74,3.8655490452602734143229310937894588480315217631216795479366096732474616910955024e-74,1.7921736503491889481392575887159032313106934350026462835132197142683845294648591e-80,43538243.710202471692526882161192993384542094789899720011806275489646223654715662,2.5067824185008601731779617627202044438057909055193291702283586586775275333649816e-74,1.2702143796395815271329270432499132838532956844666703710622253859257919021264518e-73,2.4869126542707818670984044985750480538638423251036053185636441831525599537567876e-73
-20,33034506649800.426785072657376557920209005940952668414348944096339519395571506639,6291.3410499270729936661014790808756898392055975285049838739465792488907555394204,33034506643509.085735145584382891818729925065262829208751415591355645448992257749,5250789360.7489854860184325258924978877457904655161602645612968070464062765151788,66069013299600.853570145314753115840418011881905336828697888192679038791143013279,2.6972481631270969454006654137898207940509492338207394021706030678030545919636892e-73,1.3099340464367253607786018505495646069468749352776951604803953423551720047036769e-73,1.9372653302787858183666664498633856317927412017503466402885171624282185132853956e-73,2.2004957478380644905484424546415418107203568928583644969040396441989571914457864e-74,1.2018105655282796475757374418447821668789355975900098607088649848623284491705526e-79,51025852.185082611743509511650135054449398302255169301600914084689267226241401176,1.7729407562263038133323793616776870183961316339284748793671566709484584650685016e-73,1.7284357149706066044180102245906966837527870803741712902111227700118702955519603e-73,3.75865213887289178724546771551857035922297871706393221323526457218472361903466e-73
-10,38974877956250.862744484291564903887611066837077665868381878808386429127694997835,7406.6204190686067656761140651321813495898489291948416220171610752305125121000929,38974877948844.242325415684799227773545934655728076019452683966764411966619767322,5262167594.805946602048893150095085063447818094062446517995907641848450307843804,77949755912501.725488968583129807775222133674155331736763757616772858255389995669,3.3605059081583502926303372368528914811126580618094458125404234943120024424465636e-73,7.8209142434935290527498802469520418516026499300334964222774658625846767369438939e-74,2.6568308942892549445538572870719149240581263521151776052886921355626655823248891e-73,2.252312759168631158300760565818344208147052895044982185214181865019968742264761e-74,1.6445828791439616229983775519981229652027539756494871778121310319168705093912825e-79,58438425.811484746082281559312254098078875153743109843859422604591365150336199657,-2.5580379932199874132816285631937606486914599300388222685043504943911535467130782e-73,2.0745755901083075113840640960608170068862464112514206279477670919506846680440344e-73,3.9182469495909836095806873421166330827702913564874293538049897320799080428923787e-73
0,45992060375411.055688646495858501981658859774228333064320003852507279289298061538,8719.6077270043910577725835020177485127939717009683662437711805203816153039695378,45992060366691.447961642104800729398156842025715539092619035486263508108777679923,5274556128.594509972726104836838143293174741480550626405794301793552653456429445,91984120750822.111377292991717003963317719548456666128640007705014558578596123076,1.5476014050729244768692342538138316031439872653069816241962476618542116511267069e-73,1.9794098328276467081385518469538515816997872835287956934474328353626412412848283e-74,7.1852922378385779283214447498499324431685123032109861123397212871802683802311393e-75,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,4.0060352184275988252524581394826072229297853253000328690295499495410948305685086e-80,64140692.379065652400293931780577421707698916722939465735818755583254438522052388,1.031129771386303762724570613611973165487765844100819367368225461534531307933068e-73,1.6107408861896914961662463691192348589462699075625150428549196323600239762142628e-73,3.8782462050684470433100732757941531495335501598759477478153392933537419357196742e-73
10,54280961553473.330488340802912342011492453444429239847011247957104607938617911011,10265.351079297750980842675595534322945751561737381084313867334986475914608111572,54280961543207.979409043051931499335896919121483488285273866872790740603631435097,5287784230.0924667232558796667070147054607471499294629911213062054164297454089976,108561923106946.66097668160582468402298490688885847969402249591420921587723582202,1.9455560520916764852070373476516740153810125621002054704181399177595803614164316e-73,2.9760236840855456179081368519210176922065737255847425652791682158200967353697724e-74,3.2886529857799645133471227893543921566809729387773359514170262814401997586442522e-74,9.824505348275440205839513879121734552101562014582713703602965067663790035277577e-74,5.0602550127506511476873155446096091237007814635368836240373262520519092596654846e-80,66829895.585584007023943425944698954076063518235886091270893780584748133956311946,-2.0894543357769222023741727553238692426822900157541804133968327676890965257600893e-73,2.4458481230890612406463555916990225547825487301989458186874801751300946670393116e-73,5.1907114362608278331586422601338411375992145654709956527707194132645571382537981e-73
20,64071777730828.708395249686830275735710064556801764215383160041990713500978927591,11964.627735938466494920948395212623937092133361591043989926462638332444537254562,64071777718864.080659311220335354787314851932864672082021568998000787038340595147,5355099978.4451819794564624283708231904188282788012947019925180278936744933372033,128143555461657.41679049937366055147142012911360352843076632008398142700195785518,4.6649128067198152088486918222102638323340187568539017529344036664462665483962166e-73,8.5757153752087835130086473997607967741181883618852274153285375458774116605402901e-75,1.4674577608816480307456489085270438951240307819250129329432276936510471191933596e-73,1.949355966255918040842207342471306191192303602260557434227550347286454541809823e-73,2.2560303598513319700105948469717840676499317358268606157166412873731428782675286e-79,68234953.20538190342492828352089142286907277373867666157407372486296619840938653,-3.7203186417833553951127399701093843070025568934581597034667702303287181637091016e-73,2.6866911692391495357609003049221616795175566496715899806854912560700203978652686e-73,5.7116028541388651208862489173374660552990289634182178883737840028806517196422691e-73
30,75636382532491.604460764709894473755104970115921954483656355232599907431477083191,12027.005842684281844663144863236580635048871916757091947381744010936531720168346,75636382520464.598618080428049810610241733535286905611739598140652525687466146659,6288878838.3269365047350359648215599126169183878595298386948036367648604466146756,151272765064983.20892152941978894751020994023184390896731271046519981486295416638,4.2006323851979378657879215460661143513908225772618072656755293678900030530582045e-74,4.7801192952447751001513457560600211626127062017154817466106198707383155630504034e-74,3.7722784248652534123687584936712145326634689591857677089783536757696408996213481e-73,1.3717690132912015842963681298872154678760654978870589351971650592015791220143199e-73,1.1912683675850491243513888677935121478712256362076413531587872218372203048795828e-79,73231452.213792389233204385508313834182793091964576463204355702595689166173565872,4.2048603435663810389056620645161643655795074770022949515989638829491255103649832e-74,7.94480760228603764541154088998731471996575127877407204140992816886027579143243e-74,1.9754336200322682213264516637456566555708088191667992171094043869811114787312397e-73
40,89295872421395.020621112731908927113212292044504134566383165689875936282260369126,9768.4187760038216995679795672888489521536984127911997807118271369062547625952044,89295872411626.601845108910209359133645003195551980867970374490095224455123462872,9141282173.6052980809449159943986883694259188177697455665973018916277388900478793,178591744842790.04124222546381785422642458408900826913276633137975187256452073825,7.7380070253646223843461712690691580157199363265349081209812383092710582556335346e-74,6.4745355657543051356521479915414595584656654732178801543522704915853932748308716e-74,2.2937663682330844925026150547597861260884096967942763358622956416767779829199406e-74,1.273834861876430582244486899763058936739610053754351504290996261849867290966458e-73,2.2138615680784098771132005507667039916190918902973865855163302352727103011036495e-80,86448966.229506581252130196469243003370572358074583378774166040298141623965387731,4.1013051687215755317233400139252557667913259108554627279385273256511904724488797e-74,4.2041802764579395225790494954474362919336740098775628551988723258397215699349476e-74,8.9425981470817248764103456257183860661587740853926853531387260428367762764576251e-74
