voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.04178803051130456,-47336.7111015817,-106756.20909123337,-50,10930251.503678007,209519.39143840355,10720732.112239603,52.168209484759714,2.5488302945198422e+17,4.3655745685100555e-11,0.0,0.0,171197.04078158137,7.2759576141834259e-11,6.5078143306885316e-11,8.7311491370201111e-11,-50,-0.04178803051130456,-0.04178803051130456,-47336.71110158174,-47336.7111015817,-106756.20909123337,-106756.20909123337
-40,-0.0318262245917302,-37313.06725630046,-80676.25223867313,-40,9898089.6106588524,200869.46597315092,9697220.1446857005,49.276228035483868,1.4980321833129165e+18,4.3655745685100555e-11,1.4551915228366852e-11,1.3877787807814457e-17,157091.13296379082,4.3655745685100555e-11,7.4200499709590578e-11,1.1641532182693481e-10,-40,-0.031826224591730214,-0.0318262245917302,-37313.06725630051,-37313.06725630046,-80676.25223867314,-80676.25223867313
-30,-0.02296164197224214,-27662.865129475307,-57834.11666198564,-30,9129885.645230595,194229.90963791663,8935655.7355926782,47.005559865885367,4.6172305217158779e+18,5.093170329928398e-11,2.1827872842550278e-11,3.469446951953614e-18,145968.00676896464,7.2759576141834259e-11,6.1738547623379937e-11,8.7311491370201111e-11,-30,-0.022961641972242142,-0.02296164197224214,-27662.865129475358,-27662.865129475307,-57834.116661985616,-57834.11666198564
-20,-0.014885088214117773,-18289.52225467604,-37313.06725630048,-20,8599214.5700854678,189534.27152126568,8409680.2985642012,45.370235689119887,2.7553534536600291e+17,5.093170329928398e-11,1.4551915228366852e-11,1.0408340855860843e-17,137912.14651089892,-5.8207660913467407e-11,5.4448281105927036e-11,8.7311491370201111e-11,-20,-0.014885088214117763,-0.014885088214117773,-18289.52225467599,-18289.52225467604,-37313.06725630046,-37313.06725630048
-10,-0.007317659106358936,-9099.22706592222,-18289.52225467602,-10,8287894.4876882927,186735.5560986682,8101158.9315896248,44.383055165504189,1.7603229330500258e+19,0.0,0.0,0.0,133024.10962460045,1.4551915228366852e-11,4.8263242793551766e-11,7.2759576141834259e-11,-10,-0.007317659106358936,-0.007317659106358936,-9099.22706592222,-9099.22706592222,-18289.52225467602,-18289.52225467602
0,-2.3312168195843695e-18,0.0,-7.275957614183426e-12,0,8185288.1208212888,185805.75288549409,7999482.3679357944,44.052931589613429,inf,0.0,1.4551915228366852e-11,4.662433639168739e-18,131384.50784880479,2.9103830456733704e-11,2.0579515874459978e-11,2.9103830456733704e-11,0,2.3312168195843695e-18,-2.3312168195843695e-18,0.0,0.0,7.275957614183426e-12,-7.275957614183426e-12
10,0.007317659106358936,9099.22706592222,18289.52225467602,10,8287894.4876882927,186735.5560986682,8101158.9315896248,44.383055165504189,1.7603229330500258e+19,0.0,0.0,0.0,133024.10962460045,1.4551915228366852e-11,4.8263242793551766e-11,7.2759576141834259e-11,10,0.007317659106358936,0.007317659106358936,9099.22706592222,9099.22706592222,18289.52225467602,18289.52225467602
20,0.014885088214117772,18289.522254676027,37313.06725630048,20,8599214.5700854659,189534.27152126568,8409680.2985641994,45.37023568911988,1.8736403484888223e+18,2.9103830456733704e-11,2.1827872842550278e-11,1.734723475976807e-18,137912.14651089892,1.4551915228366852e-11,3.2539071653442658e-11,4.3655745685100555e-11,20,0.014885088214117773,0.014885088214117772,18289.522254675998,18289.522254676027,37313.0672563005,37313.06725630048
30,0.022961641972242142,27662.865129475358,57834.116661985616,30,9129885.645230595,194229.90963791663,8935655.7355926782,47.005559865885367,4.6172305217158779e+18,5.093170329928398e-11,2.1827872842550278e-11,3.469446951953614e-18,145968.00676896464,7.2759576141834259e-11,6.1738547623379937e-11,8.7311491370201111e-11,30,0.02296164197224214,0.022961641972242142,27662.865129475307,27662.865129475358,57834.11666198564,57834.116661985616
40,0.031826224591730214,37313.06725630051,80676.25223867314,40,9898089.6106588524,200869.46597315092,9697220.1446857005,49.276228035483868,1.4980321833129165e+18,4.3655745685100555e-11,1.4551915228366852e-11,1.3877787807814457e-17,157091.13296379082,4.3655745685100555e-11,7.4200499709590578e-11,1.1641532182693481e-10,40,0.0318262245917302,0.031826224591730214,37313.06725630046,37313.06725630051,80676.25223867313,80676.25223867314
50,0.04178803051130456,47336.71110158174,106756.20909123337,50,10930251.503678007,209519.39143840355,10720732.112239603,52.168209484759714,2.5488302945198422e+17,4.3655745685100555e-11,0.0,0.0,171197.04078158137,7.2759576141834259e-11,6.5078143306885316e-11,8.7311491370201111e-11,50,0.04178803051130456,0.04178803051130456,47336.7111015817,47336.71110158174,106756.20909123337,106756.20909123337
60,0.05319848734378625,57834.11666198564,137120.66746109913,60,12262055.937322192,220266.25739507109,12041789.67992712,55.669243588812073,9.8363647517210266e+17,5.093170329928398e-11,2.9103830456733704e-11,1.3877787807814457e-17,188247.73673036566,1.4551915228366852e-10,9.7617214960327962e-11,1.6007106751203537e-10,60,0.05319848734378624,0.05319848734378625,57834.11666198559,57834.11666198564,137120.6674610991,137120.66746109913
70,0.06646487575051692,68910.3455006606,172988.2596794978,70,13939821.804644622,233217.62208979434,13706604.182554828,59.771734570200955,6.1067181238774042e+17,7.275957614183426e-11,5.820766091346741e-11,0.0,208270.40590666712,8.7311491370201111e-11,8.9704030003762106e-11,1.4551915228366852e-10,70,0.06646487575051692,0.06646487575051692,68910.34550066052,68910.3455006606,172988.25967949786,172988.2596794978
80,0.08206616801167994,80676.25223867316,215798.4781618118,80,16022289.848135363,248503.10713354201,15773786.741001822,64.475209316096056,9.0696479157842688e+17,4.3655745685100555e-11,0.0,1.3877787807814457e-17,231364.36657693313,2.9103830456733704e-11,1.0186340659856796e-10,1.6007106751203537e-10,80,0.08206616801167993,0.08206616801167994,80676.25223867311,80676.25223867316,215798.4781618118,215798.4781618118
90,0.10057171587540736,93249.5940253151,267269.4472926089,90,18582894.121402547,266275.69479826093,18316618.426604286,69.788172500992061,9.4030836826750182e+17,2.9103830456733704e-11,0.0,0.0,257699.83327463278,-2.9103830456733704e-11,2.9103830456733704e-11,2.9103830456733704e-11,90,0.10057171587540736,0.10057171587540736,93249.59402531513,93249.5940253151,267269.4472926089,267269.4472926089
100,0.12266353234031188,106756.20909123334,329466.87778993853,100,21712607.644027237,286713.25911487255,21425894.384912364,75.729346145544014,3.3643146640208934e+17,4.3655745685100555e-11,5.820766091346741e-11,1.3877787807814457e-17,287512.70292121131,-8.7311491370201111e-11,8.2318063497839911e-11,1.1641532182693481e-10,100,0.12266353234031187,0.12266353234031188,106756.20909123338,106756.20909123334,329466.8777899385,329466.87778993853
