voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.00008884562300844749973990914352992031652953988307905618505869947460168283251997792,-0.0000015952309563155204106292292698020399276026008526385798314871762255902931891616994,-554.59190232766232851655796372055676183193720008636655447441822377093836998677535,-50,21070410390.181240940795698235314711906112835355101910829366660560288858865725201,166483.29737060598018053092630233124389401195902930065752683257200405681825208509,21070243906.883870334815517704388409574868941343142881528709133727716854808906949,126561.70752839376594586330475273900045925896693305512100230080372580750635848406,42140820780.362481881591396470629423812225670710203821658733321120577717731450402,5.3577971426302838172070334994427678692201455472505768027572950866812757499953602e-77,1.1334971228561458570819586819925524437089750478322619317843610804596276741650686e-76,9.6516704802525542215105353252594168161407117148149178009745144883192238992032711e-84,3.4547795821101360396790890982949482467327580469855155630082171746969882033602073,-5.3635693885662923936446081838237980463654305627128295499808214150128437442050529e-77,5.5034021530685596354895088263047329007477602791635891262351626154870106737028157e-77,7.1362479402202883486608588429656229967981387447348522770445564668620971118199397e-77,-50,-0.000088845623008447499739909143529920316529539883079056185058699474601682832519977929,-0.00008884562300844749973990914352992031652953988307905618505869947460168283251997792,-0.000001595230956315520410629229269802039927602600852638579831487176225590293135583728,-0.0000015952309563155204106292292698020399276026008526385798314871762255902931891616994,-554.59190232766232851655796372055676183193720008636655447441822377093836998677547,-554.59190232766232851655796372055676183193720008636655447441822377093836998677535
-40,-0.000081036432009727244823712373274699852289425825430695523730411483223343666767379764,-0.0000014278925245933335591169015709192194598803158694527078002680379752929469643999841,-505.84539189125384818589020471690560517226682887518244525921665240362188355146444,-40,17459251936.738041366767815362687432327797101619546505907527346766286183620158509,168773.82966598961853875627412261813648757720256364905328495929514262269278159753,17459083162.908375377149276606413309709660614042343942258474061806991040997465727,103447.62556665700033913331937665728550419262796066623628385445418279207813617137,34918503873.476082733535630725374864655594203239093011815054693532572367240317017,6.2893045959001340290355361990375646332688069001288413164438948357599070922784832e-77,1.0741234640398715502824275129357996966575525453267624972623231191022186055183269e-76,2.7282055224180553266136446519399951533624411780543500984087960953649006221747913e-83,3.5033287473084597309939721615700439236750240567404629225585640812951695254668584,-6.296090022771176373906839689819009264234838809132739435142934308896572123737875e-77,6.3664708056862261731758244024212018317176505147976085628743303847698839890247199e-77,7.6868690770918668004466107296824124592941179656073219250183318883136480011993705e-77,-40,-0.000081036432009727244823712373274699852289425825430695523730411483223343666767379737,-0.000081036432009727244823712373274699852289425825430695523730411483223343666767379764,-0.0000014278925245933335591169015709192194598803158694527078002680379752929469015069381,-0.0000014278925245933335591169015709192194598803158694527078002680379752929469643999841,-505.84539189125384818589020471690560517226682887518244525921665240362188355146434,-505.84539189125384818589020471690560517226682887518244525921665240362188355146444
-30,-0.000073913607466807648220612245743577936387794803946766292486702717417940394929418138,-0.0000012657225495027269391380385337410044096589674611577252364304687166891011669477914,-461.38331625492446645326192871699617098556215097880800393326794184092994288691828,-30,14466992932.068010651461973353149919083105679351976222282501699954890966238430341,171101.63203874266938995440527667335506850097606491083545274582810288559197408258,14466821830.435971908792583398744642409750610851000157371666247209062863352838367,84552.045235852798392039059787869567818110773661606793422278311797971778518761611,28933985864.136021302923946706299838166211358703952444565003399909781932476860682,3.2517056853693730206382690723961165758755236551869878092321794314141310105057372e-77,3.0712374424054618699030213812083920974781276296026525675490545465787054599996381e-76,5.4564110448361106532272893038799903067248823561087001968175921907298012443495826e-83,3.5525762597789804122772820244946017307461285461400139556004853623107439570110473,3.2552194007837073186216239871935144925049734003569598630218461805489875564448749e-77,7.3682945020445248034542132853649221455289506888584234143064597633731519841537745e-77,1.2602446154876249845039849236112058684854516203734858506644946974412239540176232e-76,-30,-0.000073913607466807648220612245743577936387794803946766292486702717417940394929418193,-0.000073913607466807648220612245743577936387794803946766292486702717417940394929418138,-0.0000012657225495027269391380385337410044096589674611577252364304687166891011994648483,-0.0000012657225495027269391380385337410044096589674611577252364304687166891011669477914,-461.38331625492446645326192871699617098556215097880800393326794184092994288691859,-461.38331625492446645326192871699617098556215097880800393326794184092994288691828
-20,-0.000067416820159028109989905421834293370017581990539149776090325914394456898196321439,-0.0000011047850847378598784266333281955212388820259710519269957570879790902605769413695,-420.82908852710076667974269839116273796561526117233659598664946017207609056546274,-20,11987563112.949693223416217941129438366850450825515882767545172991040445453716204,173466.79247789725810250390390661148560779365151068600439884918335643631263849626,11987389646.157215326158115437225531755364843031864372081540774141857089017403566,69105.809484989013641215898585533594436668599677840681544783801885512573422480911,23975126225.899386446832435882258876733700901651031765535090345982080890907432409,1.5945542308957648944168102990201768181080650003969306028034841262295409718625845e-76,1.1119067014684097455184928023355514447811850469211712283218018217842061946571625e-76,4.3496861631004844358274145865835771784740807461432562889725145294025302372409408e-83,3.6025307452651428694487199476454043299918603595534308107798643200139090960753364,1.5962812969372938145908945757736264689975263446715692538853499035616973659942163e-76,1.8033099651444990413248836890987885602074502056714905227347383503987299720721418e-76,2.785624049358810327640199258007123875527192947052302790357956197024398450218512e-76,-20,-0.000067416820159028109989905421834293370017581990539149776090325914394456898196321482,-0.000067416820159028109989905421834293370017581990539149776090325914394456898196321439,-0.0000011047850847378598784266333281955212388820259710519269957570879790902607363967926,-0.0000011047850847378598784266333281955212388820259710519269957570879790902605769413695,-420.82908852710076667974269839116273796561526117233659598664946017207609056546285,-420.82908852710076667974269839116273796561526117233659598664946017207609056546274
-10,-0.000061491043117967257984770128604382519092805214807273607632137311872666170979342463,-0.00000094024233980600819017688925976586735615614443597015374167195621369488359406748291,-383.83921952147589422944999751178565084475921866864706440075859736140186610548721,-10,9933071099.2777624807572093374093515716616017534552169339614959828495623845274137,175869.4386636192264290691236087235064489170898183386428242474919474651634389636,9932895229.8390988615307802682857428481551528363653985953186717353576149193639748,56479.802146161858273831516255597605015145378422195487998339452810308348860093695,19866142198.555524961514418674818703143323203506910433867922991965699124769054827,4.7846861090345264817090513878618049173028307890122054481809141268972659229257875e-77,1.3008228886111007216988192493343101853993475548932148836191953351941441403513406e-76,2.8440255681810859772717710758431081551561297186321291120204902692247313089652306e-83,3.6532010583422477829560480865616606109276698160766372687455463521163726385690796,4.7898828712982685312648484199447931753372369597006390612406235306110918395158732e-77,1.0665637287404805935863789645431007573388747476878580548303393775271333517718314e-76,1.8265234819930076619935188108184383857453462481856248149393352927814912822015162e-76,-10,-0.000061491043117967257984770128604382519092805214807273607632137311872666170979342491,-0.000061491043117967257984770128604382519092805214807273607632137311872666170979342463,-0.000000940242339806008190176889259765867356156144435970153741671956213694883641914344,-0.00000094024233980600819017688925976586735615614443597015374167195621369488359406748291,-383.83921952147589422944999751178565084475921866864706440075859736140186610548734,-383.83921952147589422944999751178565084475921866864706440075859736140186610548721
0,-0.000056086085585455167637413540550999726653915199624619406202227584977417080506723391,-0.00000076598261423822240929974454587153495891220196276340611611734553034846186097852075,-350.10040863136551604867768554771276020858331263000511025958781826168848983183712,0,8230688800.8579728472523206484880697743457375675085808943132860986909813524091377,178309.73514718010846527709173888252675404116093992876037681423209641713733272228,8230510491.122825667143855371396330891818983526347640965552909284458884935271805,46159.503260235410874832837015163529859104119687516273318871954829233260231878218,16461377601.715945694504641296976139548691475135017161788626572197381962704818275,4.671392294720220628010381205311570423686404523698899329426086289451112739238467e-77,1.0093521998766632155920298739647966998741825425934903868746453430759541669946087e-76,8.6221589623589484378827448905650790224190357985679932355372329428985066832882555e-84,3.7045962762198044526279118695803812293206035205026632467547443930001855259802795,4.6764840340859454501562124315187219372106213230064311995045476855737972027116775e-77,1.0504618527265462929083584663041339849987184237061266374335200501267794506179948e-76,1.7977413899747876648648789912206658704351174290411576381809789346877524643330867e-76,0,-0.000056086085585455167637413540550999726653915199624619406202227584977417080506723382,-0.000056086085585455167637413540550999726653915199624619406202227584977417080506723391,-0.00000076598261423822240929974454587153495891220196276340611611734553034846190769244369,-0.00000076598261423822240929974454587153495891220196276340611611734553034846186097852075,-350.10040863136551604867768554771276020858331263000511025958781826168848983183702,-350.10040863136551604867768554771276020858331263000511025958781826168848983183712
10,-0.000051156167926243537613119992546822744748286832182491747466777075507743900505590065,-0.00000057411842322594074260566820088552731163797740953566096713764421944711965742069098,-319.32689035124699624043616450696750709594715984407758390539902333944117827115226,10,6820069791.055714577708457558186413586797753062693761554321463436965530389741515,180787.88078822153500749809354714010722658005704743749621630177610687871649839803,6819889003.1749263561734500600928664466905264826367141168252471351894235110250166,37724.153639728085140128254579048460112834955917269280434720491012829951509453795,13640139582.11142915541691511637282717359550612538752310864292687393106077948303,2.0328078485699037347762942504087421613618791937498475045072949020110796046203244e-77,1.0255450159174652992646292837075474490700250432768084144715647870825202766255382e-77,4.9545241798629778337087414669665006322855653469383244711669174373372016015910125e-84,3.7567256932849760064176808536616125876394779378259246195107068597626352172676224,2.0350333229332762988895677953981381172794960168504899021829699749650944398287249e-77,1.9317597299500124199313941983096444220171640727501418904718422979753965605775312e-76,2.9200335157263590175222406974507471904114891868966323460863918872114095822901289e-76,10,-0.00005115616792624353761311999254682274474828683218249174746677707550774390050559007,-0.000051156167926243537613119992546822744748286832182491747466777075507743900505590065,-0.00000057411842322594074260566820088552731163797740953566096713764421944711967774876947,-0.00000057411842322594074260566820088552731163797740953566096713764421944711965742069098,-319.32689035124699624043616450696750709594715984407758390539902333944117827115227,-319.32689035124699624043616450696750709594715984407758390539902333944117827115226
20,-0.000046659533896037960821756077491295631165107131352891397719368347459010204366602878,-0.00000035430758050648962385560902424412396341402455281467375964976368610621547535331124,-291.25801397801428703341812834424765472147203898403497865958927905578941219600439,20,5651210133.2326228027616150761491310396509301050591503098003508959495484975541742,183304.1064268302854909585528147338043896273721027259325118818415743799638378038,5651026829.1261959724761241175963163058465404776870475838678390141079741175903364,30829.697399542017133621837224612569940216727528753939340730790733411240010455241,11302420266.465245605523230152298262079301860210118300619600701791899096995108348,2.522151282926294026530754136844366946417794998864450982018040189709376834025112e-76,1.8783666607330417060215315301590869067177300792648912012426555047616687171878279e-76,7.0457194505843645817026907874393742757827195518148899947113955764730334464183879e-83,3.8095988163248062558028958698219801780032279941717186018842701055173685313977169,-2.5249265789894558005973289891018804262627102469756495907854454026757098550627815e-76,2.5418221863466560622012562779931493470276862637127603725353679130740403913140914e-76,2.9684987157586475311416785855036765699150337275576941823997693003398203902613569e-76,20,-0.000046659533896037960821756077491295631165107131352891397719368347459010204366602807,-0.000046659533896037960821756077491295631165107131352891397719368347459010204366602878,-0.00000035430758050648962385560902424412396341402455281467375964976368610621522313818294,-0.00000035430758050648962385560902424412396341402455281467375964976368610621547535331124,-291.2580139780142870334181283442476547214720389840349786595892790557894121960042,-291.25801397801428703341812834424765472147203898403497865958927905578941219600439
30,-0.000042558096981745028707933746690314353726038872399564108347288584211059882841119914,-0.000000092833021356528778110631363656042087070625478263317721541606473293599262584644772,-265.65603599795993032129523822649196278883933206525219834706884571457333372900008,30,4682675830.0706289684655842949716619742753334437086112295075042938635537011596559,185858.67276992011343649943058509837277244597711821576674437600673929253232355884,4682489971.3978590483521477955410768759025609977314930137407599178568144086273324,25194.8201301719738739518101151158333654609541206843857479955065502641892712494,9365351660.1412579369311685899433239485506668874172224590150085877271074023193119,3.1646876324579237669570720283677210653548649032288027363567048801317149232372906e-76,4.1777465385269375875306477136296932925273651762960511200052165536940562847798241e-76,1.6214806406824291092137699346435820251116395680889061905637184340376296150661495e-83,3.863225360370455446981921725350223471047835864707654263347744304035602323764752,3.1681927353928007461927813914868167691494812283993574089239257720423255424834198e-76,3.7238466651963257073154995637139442302868615099463999834558185166809214408364554e-76,5.9402185984850994029171193181500042941248038183471757837925237198533873935742301e-76,30,-0.000042558096981745028707933746690314353726038872399564108347288584211059882841119898,-0.000042558096981745028707933746690314353726038872399564108347288584211059882841119914,-0.000000092833021356528778110631363656042087070625478263317721541606473293599579053408018,-0.000000092833021356528778110631363656042087070625478263317721541606473293599262584644772,-265.65603599795993032129523822649196278883933206525219834706884571457333372899966,-265.65603599795993032129523822649196278883933206525219834706884571457333372900008
40,-0.000038817117819164423041447718311434393584012833914399501278805804680681635799677937,0.00000022864595987894207729863899650956802998350167162235296820185594747206983933526241,-242.30410646562738936230758506012648043047300159215092498710211811078284749362252,40,3880134062.0125562789524534955309710300987640931153257697652123261926212895829636,188451.86847322055632936970913168464606949741269315136188388711783025738990556596,3879945610.144083058396124125821839345452694595702632618403328439074791032193058,20589.522902841009760188377159224008497985508735563477116679627906418229421447025,7760268124.0251125579049069910619420601975281862306515395304246523852425791659272,1.995079181274054127387677878365373650464637558550131440839509128150722416101448e-76,1.1631839522642830104817242665209288172346862990850116490453800611383322084884394e-76,5.0639097786391734482191942006527740228684934130395602062446286015381528057819829e-83,3.9176152451117321142673989063083656524226759677718442600049281937806210902465995,-1.9973063565352852726069986838699310431074677056438280716136325642335102753194135e-76,2.2817675125800965552193000583148037613503672661510179451306636013611310160402977e-76,3.5610435022914450713312459876079676952030844756032219987561271610551689673030309e-76,40,-0.000038817117819164423041447718311434393584012833914399501278805804680681635799677886,-0.000038817117819164423041447718311434393584012833914399501278805804680681635799677937,0.00000022864595987894207729863899650956802998350167162235296820185594747207003884318054,0.00000022864595987894207729863899650956802998350167162235296820185594747206983933526241,-242.30410646562738936230758506012648043047300159215092498710211811078284749362241,-242.30410646562738936230758506012648043047300159215092498710211811078284749362252
