voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-30,-0.018966175644239046,-59195.30475730039,-30,123700262.64094689,73079.990983088384,123627182.64996381,1692.6693747071297,2.0842089007312806e+17,7.799826562404633e-09,2.4980018054066022e-15,-2.8422321448537222e-09,-288847.39417028939,1.5142224343194149e-08,3.1143759571250484e-08,-30,-0.018966175644240843,-0.018966175644239046,-0.018966175644238904,-0.018966175644238345,-0.018966175644238643,-59195.304757306,-59195.30475730039,-59195.30475729995,-59195.3047572982,-59195.304757299135
-20,-0.013022014672135917,-40642.99211028688,-20,121763357.12485696,79166.60913778223,121684190.51571918,1538.0645761010048,36577010385442224.0,5.078618414700031e-09,1.627170620466245e-15,9.5023449302051986e-09,-277081.90327988553,5.9538509406953137e-09,1.6292332816192356e-08,-20,-0.013022014672136165,-0.013022014672135917,-0.013022014672137544,-0.013022014672137202,-0.013022014672135977,-40642.992110287654,-40642.99211028688,-40642.99211029196,-40642.99211029089,-40642.99211028707
-10,-0.006649829611205718,-20754.77406743358,-10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,28750079576937948.0,2.9976945370435715e-09,9.610368056911511e-16,6.2927094885186137e-09,-269481.85036046524,4.0949374562013726e-09,1.2383395642245887e-08,-10,-0.006649829611206045,-0.006649829611205718,-0.006649829611206679,-0.0066498296112064625,-0.006649829611205784,-20754.7740674346,-20754.77406743358,-20754.774067436578,-20754.7740674359,-20754.774067433784
0,-2.797460183501243e-16,-8.731149137020111e-10,0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,17682032545690676.0,3.259629011154175e-09,1.0443851351737976e-15,-8.606229675397755e-10,-266841.30207885901,4.4244432514037332e-09,1.2065342502864951e-08,0,-2.983957529067993e-16,-2.797460183501243e-16,-5.594920367002486e-16,2.8207723516970873e-16,4.848930984735488e-16,-9.313225746154785e-10,-8.731149137020111e-10,-1.7462298274040222e-09,8.803908713161945e-10,1.5133991837501526e-09
10,0.00664982961120583,20754.77406743393,10,120606152.80196725,85760.163870637698,120520392.63809662,1406.3190572244232,65062383876720104.0,2.408341970294714e-09,7.710845850716908e-16,-5.9303688611440329e-09,-269481.85036047304,6.2646569221356237e-09,1.6406495717546932e-08,10,0.006649829611206045,0.00664982961120583,0.006649829611206008,0.006649829611206182,0.006649829611205411,20754.7740674346,20754.77406743393,20754.774067434482,20754.774067435028,20754.77406743262
20,0.013022014672134898,40642.9921102837,20,121763357.12485696,79166.609137782245,121684190.51571918,1538.0645761010046,62883526894294408.0,7.086782716214657e-09,2.2707530300536405e-15,-3.8830064168412594e-09,-277081.90327989013,9.488669050690859e-09,2.3127093129460263e-08,20,0.01302201467213706,0.013022014672134898,0.01302201467213538,0.013022014672137169,0.013022014672136165,40642.99211029045,40642.9921102837,40642.99211028521,40642.99211029079,40642.992110287654
30,0.018966175644239806,59195.30475730277,30,123700262.64094689,73079.990983088399,123627182.64996381,1692.6693747071295,28094976577728660.0,5.384208634495735e-09,1.7243151351209463e-15,4.2192031773216481e-09,-288847.39417030808,5.4430418856495765e-09,1.6403678415599643e-08,30,0.01896617564423976,0.018966175644239806,0.0189661756442398,0.018966175644238494,0.01896617564423808,59195.30475730263,59195.30475730277,59195.30475730274,59195.304757298676,59195.30475729739
40,0.02449025683466815,76436.5069746197,40,126429272.15825483,67461.334270276857,126361810.82398455,1874.099786578917,17522242639041390.0,6.51925802230835e-09,2.0886070650760757e-15,1.1227610799975155e-08,-303879.2419821014,5.3630684413569661e-09,1.378380076744179e-08,40,0.024490256834668708,0.02449025683466815,0.02449025683466662,0.024490256834667674,0.02449025683466748,76436.50697462144,76436.5069746197,76436.50697461492,76436.50697461821,76436.5069746176
50,0.02970655551982862,92717.08963741767,50,129967860.65469803,62274.660413945508,129905585.99428408,2087.010347238981,1.2341056864821189e+17,7.0140231400728226e-09,2.248201624865942e-15,1.8450636189268073e-08,-321473.5781202935,5.3200603544497181e-09,1.3354792827158235e-08,50,0.029706555519827323,0.02970655551982862,0.029706555519828405,0.029706555519828506,0.02970655551982957,92717.08963741362,92717.08963741767,92717.089637417,92717.08963741732,92717.08963742063
60,0.0347622403071928,108496.38048437204,60,134338687.17761287,57486.756993789844,134281200.42061907,2336.8632047225269,82575359558233120.0,7.9016899690032e-09,2.525757381022231e-15,-2.0837264836867488e-09,-341229.68312359171,9.5990978285695017e-09,2.5650056301174118e-08,60,0.03476224030719175,0.0347622403071928,0.03476224030719183,0.03476224030719288,0.034762240307190356,108496.38048436877,108496.38048437204,108496.380484369,108496.3804843723,108496.3804843644
