voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150.0,0.000000000000002534351831244403080534146447897878826824901230258538368253798565693210433102785423075379702928972254,0.00000000000009092359668478277949086602660132688078969965772985537081157353594146665971120377973903722327806149193
-140.0,0.000000000000002326068219802702194235056912023162016261076045828024597804633293373139966719844184062613293347073718,0.00000000000005640088591526843279995559236890861260763611303045976968411389447394912812273106374855857549089287921
-130.0,0.0000000000000006556639528067711272073462206918211355242915816911387373909114565630404320115818861002718632185735681,0.0000000000001221657616307559789412881514689988257929488619165666675833956869350157309071503874763785956598746275
-120.0,0.00000000000000009662301758224143400833336145637990792888709828060797058081390697142994865572551732635063481324921107,0.0000000000000994866099619953713464633375159945970618408625504353614730595283361250429413192782998452851686685823
-110.0,0.00000000000000005454800092829250501558969120367986632623683914074852361781172624977314610556287841543570097279466046,0.00000000000006503308112457151606310395325042819178889635249451724348715992470532831092518791562184256242313528946
-100.0,0.00000000000000004905177665873114527698221290730056010707311875858189509454198473814134468965161179612568064361217824,0.000000000000006887900306581531059116602984009355605018971588610160519537312476466194070609787480008257972313050217
-90.0,0.00000000000000001075702792313291934941576038952198782567629863163027942745976366158297459673927285580227804102789748,0.0000000000000228359225484948634687131400566439361400517462904016213025060061991609042844838727286749439925293158
-80.0,0.000000000000000003194444071370960280751672239687112260294643716528310838675693426628053637800299682329499614857544298,0.000000000000001543913487443943886340399841075182219229470014744816807340898425138226774979890817700255597147050869
-70.0,0.0000000000000000006817390938441228499239931545270151187959062935325313683862506218770783813082785685533652805301186636,0.000000000000002681283032678542704036368145816412856822490181872475399397893243813546004627632350757020163849685428
-60.0,0.0000000000000000003624773584674128579006442597966271277275983019150846084241253437382327945608624241838743880204179243,0.000000000000001693435282024253396310353013642834955776898019600758012453957629368237935141771068379279983596423559
-50.0,0.0000000000000000002032944506812502769427663035989306657547218531853520885980799148003913221381866567286625885522450953,0.0000000000000002456921457664875665697006619759154030820470569243035413885962718249724895299651036021075214542142579
-40.0,0.00000000000000000108979288787786267658652113150003664130147244691366924729291074826643323614908280595202506184947923,0.00000000000000008254976152684750153949613142440540144219112181079673873511538474509392253874279828544279696841318228
-30.0,0.0000000000000000003266837327875295472671570112755413182051783861303907908122779288720345834768799160558464884964707971,0.0000000000000005872804887709447336021081086954269876936077294227917325654711118888968983077729177217554584051298134
-20.0,0.0000000000000000009171097034640462207830282499910018398830796304048721836447016783376016292894966158810122532289986789,0.000000000000000214986329615174957651219911112742309339895414005260380372573528693178519914871261729535941041633421
-10.0,0.0000000000000000000183427824285435959656251961936894787475347006894998598078790443409993533235289629998473723801329847,0.0000000000000001376793750560361503565415557687004299949796553311275552733373312259822340172698805125331583533725617
0.0,0.000000000000000000758775204629817287760409035554493390084973662303113076007939250631175694635509844062950377544138867,0.000000000000000007450368921777975775943660218769303062717859219328514081679596888495885186618513763901832225775400376
10.0,0.0000000000000000008260793696703833271418312249879541187157660974014022769862156808018176615920865015057526343584132711,0.00000000000000004274553176280174908790284404796142705385311612048954186766301459671053684766801177266000718489207
20.0,0.0000000000000000008113359615371196147920077442623195387985932103472976334461341390827892766363537697809786417768626389,0.00000000000000002796465884119366590242854450856410780576180966497498746272029213802528571083425894509313575202662282
30.0,0.0000000000000000001808655236108604460243760533368602813789609172791725932899924602012767488900089919994157597713879732,0.000000000000000001082079726605723102237788447328339172898397987587231584815782330453085621306249769291024825569004066
40.0,0.000000000000000001026588248281672457182435243754353567900395594812526583804055097723613788230044726304354312413083384,0.000000000000000007972787124472881972624339997412950566425869571577749563385816446322606824309467983243976505181920687
50.0,0.0000000000000000007481951770816123052826147592709302349087164470858129995238279411861854653587171776703978490548488834,0.000000000000000003040640573568138339503878742724668127923360267513399534793496430776901645230059099096968980161023075
60.0,0.000000000000000002048510833128216708830005679340107559476769335018223463270835052703004469750381039762736470032244626,0.00000000000000000331145608334480025709217018000530701375412823988462764137660984335736683994663987808311827760182575
70.0,0.0000000000000000009667704981888537837877752946901308161520329966265522343023047999741105536077377728702452533607690881,0.000000000000000002229715748405437332049939795355330270429391901492956412408079590628472923803996573814050141911480213
80.0,0.000000000000000001210297283149345167056955348296058839652277761170938347520960729481565280879940558544906092873488754,0.000000000000000001210297283149345167056955348296058839652277761170938347520960729481565280879940600363416540712907316
90.0,0.000000000000000001744690227543005427058964630966248048648767942186762718914920507368130968042496360389850229411770029,0.000000000000000003938563398431620540120775622027149495599347129712056082561066050576499697840668033256074490024625763
100.0,0.000000000000000005098579499187876029884484384492706499856018190130196865016775785994798649007070215314827318487392928,0.000000000000000006992997374512751352277731135490505681272056547429803132175437971976342204301458542792121611472590711
-150.0,0.00000000000000003284118413685043830648641474126678463623460818069916301347263187523570692775477989158869102005146113,0.0000000000000002354671225565320762415583404395569313220476463383007458652016673138796389522334770418899932137167842
-140.0,0.000000000000000003805963229571670360593692813728357235522306821335103543620916406576564844416263814885793943954605573,0.00000000000000009750700598026914860694227003541671610738421225746568788224360131274540116782308472086145029707725327
-130.0,0.0000000000000001708779912475766287379809318013284408206435877085259149979079827941876190203997251275863937630160003,0.00000000000000008240443177702541868085897532153424253662270998847606356675331150411729601019864589738020280008082022
-120.0,0.0000000000000001780709041541640062031123687241571586519439623219749368426366173566100252180569807402115152829878572,0.0000000000000001780709041541640062031123687241571586519439623219749368426366173566100252180569810871517466241288869
-110.0,0.00000000000000002672533711102712705932485489940029599149258586320089758881760118032851628783533040030482107437597208,0.0000000000000000267253371110271270593248548994002959914925858632008975888176011803285162878353304523744990715318857
-100.0,0.00000000000000006763919850385003977137370101816448139075593475432078062347539416009459226076862351558152960021111521,0.0000000000000002362997091256724171312341875292707386379636224820815936541181589978713057759494219821046531339120258
