voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-50.0,0.000000000000008832667431437800861903721955285575620513603969028090179254362417888648620036896887874241369507117628,0.000000000000004305948875536035943068255777069774937408063182409867980108017101570705737389977441972262744272240888,0.00000000000002010831183432037893245751952647766095843104192842257092985525893310111660845355528173590909780813416,0.00000000000000993263858211860643799602874713628902945118329186199457357048725706348788623316255777946956663684365,0.00000000000005747431591394585662611754943393172477897496042159844144644509118060175917182181215957702138918222556
-40.0,0.00000000000002959644727108691617120034421078525436827687675397095193414292172177747206181780627361926156843118769,0.00000000000003757993272422275611896471183418403011848119414127945290354647618874449272193552609747253132088478801,0.000000000000003752999515575021907303319120607774104728880263096010651743786643123549551434284113052359477836839313,0.00000000000001830446544772812351538586152960740013294902756988005388227840508007403428313471393576371777298597966,0.00000000000002581046447887816732999249977082294834240678809607207518576597836630467259125454839909194584875546199
-30.0,0.00000000000007565952717425915129968342263320855396743776724016185740197750278215027024170910169287961920800878476,0.00000000000006644651389155879977052232106328965438619908225392945985340576673000919858165004185316513923167661242,0.000000000000004746423396714412134799101557740665448097150117429852914986755063137078344342557827378895644794780953,0.000000000000001508678607804390298500815343066622768557778969533508669288194828521864221788495471029233122377545149,0.000000000000008614710162666829429076681746397804213660066789630879157893631969815808238178929699441681294247155988
-20.0,0.0000000000000409416830627136551594588030539311628896417503272226754747925008797414118806096285291841515580728126,0.00000000000002731214501076215933111056307006686119650943115878671918063550480005579458133063474856451286755274453,0.000000000000023740152550286948467884031576711120293840695338073431118036388677726644608651840979074930830415657,0.000000000000057493869534713814711945152385088793782980554778148119983008026362526683161911968693985873297544168,0.00000000000004526349903640468258578242012903664866462631185284870509585990065332542226352718421941738941201813483
-10.0,0.0000000000000406205925332989023314907844786339286799433287687022137939099633640303619700496090499880735680632976,0.00000000000004919666659738915514135724949263550015593600785898619112392903939968831207510811863493439956459401885,0.00000000000001667013617389138248819768160843760142933037660677671088569929996310460879757334874433492421551439086,0.00000000000004718128665644660340330331222901363802436559688883086697062314906245621357770872172011519093065163062,0.00000000000004445595770975385224454047036781313434962911423518238023900486685021848929720236796498444253217429762
0.0,0.0000000000001849218613063917962776507569684442204713820253022660022728623915931635633200366735798926568755007231,0.0000000000001213250294710977230535799784402334068020183773574049325379196198621526987839031570092036923538797548,0.00000000000002682804205481331823435327363015086931503792616949511711337911097322573482057272565951719358709909725,0.0000000000001274930837828070357748386498335648945507199985746051152716412810421198401974295859745285765152718899,0.00000000000008527484795994232384696866956111510188776980268227044197585344785550595897209282098779375377980027263
10.0,0.0000000000001673073963609557078686007619238465679044226767523512888817216087007269061748692023645055719210120042,0.00000000000005867438141668771666185654722153683478385898067494417105166231446401111009931127602170071967407929584,0.0000000000001423939835087472671243917507939206975994036368230906368875107227507082278448462374147917734696943198,0.00000000000005708615765378196258072678331774541359410362144102909300468922530710533904220088045083999948542337816,0.00000000000004923435855863599215787399289225837022740782887660403122653356452205957666194577648681187951929599458
20.0,0.0000000000001161303357763298429022995133057911229611812279829238537529494495010054985483478137878954069841600112,0.000000000000004444985758144440844863358532138840688811812969725155733403203015682571546764629985550391281532363868,0.0000000000001209039662534626131803441867300914218633652528124485244356855954709494630981884419320972550926619174,0.000000000000001266910019666149798176302427282551445870451222844019186974185438008999828389502149130005281067154419,0.000000000000001728954624603381893562078825209360278948488497754222413915395825878637181377491358234938501035919407
30.0,0.0000000000004262379973310715076171421279123557169993989404600851858755549476029081017772361468083230892504925084,0.0000000000000737794601711857241913057577016039925388322520125601905005675079186316571524514851075809882679603445,0.000000000000132091825568574823191213535651892988611200900145633107375025428948033362041452962868776606517165019,0.00000000000008317421775799001581268031505944204205539077126163889556801577423108589042675184375265910491383152649,0.00000000000006289451862755010897629742658103525499507794853758926011584014721393640373488211426671795591246062588
40.0,0.00000000000002964766680940265569225007858410733529378172559217790117966698713918790956249770417944305209515066352,0.0000000000001592399529323164441027934646705338023012585672312551887665305128784471030414227056744823360922268532,0.0000000000001519148992691299517795869830366936884685968739583638837533664268211192953701155322493580590735459059,0.00000000000004619076553188001475926696407176871597204015646690994958018363093155523344827057686070918168341568685,0.0000000000000005578915545236665843429411868962801734861556567109633128186261534132469708583430179575940697922888787
