voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1
50.0,76369.9033139948749895902661097800457171508866971911461427967976967695024295369812468,76369.90331399498498959026610978004571715088669719114614279679769676950242953698124696
60.0,73203.88105500443201953310048825602782083361117775201530370121050297821954576437542154,73203.88105500443201953310048825602782083361117775201530370121050297821954576437542164
70.0,69767.844671129148689672139582623413098777551160844999111574570623222870711832597162,69767.8446711292886896721395826234130987775511608449991115745706232228707118325971619
80.0,65393.0911937782262016884021243191635446261208221249733097416886346844510545954960385,65393.0911937782802016884021243191635446261208221249733097416886346844510545954960385
90.0,58166.6425827102104324297232667408404185995416057579032942683121936565938764062498073,58166.6425827102554324297232667408404185995416057579032942683121936565938764062498071
100.0,42869.182918136496970559856003455760212855386651156182696933474417269583548341301895,42869.182918136540970559856003455760212855386651156182696933474417269583548341301895
-150.0,94594.665626615606753964940272512878866821724536086333532848535045498605246145596,94594.665626615606753964940272512878866821724536086333532848535045498605246145595
-140.0,106068.731477470313194330077663312540885084431262229864195610243542003138613305975,106068.731477470353194330077663312540885084431262229864195610243542003138613305976
-130.0,109932.65239856033839282826250739719950694645696970136045578794368200205500114931,109932.652398560328392828262507397199506946456969701360455787943682002055001149308
-120.0,109075.4103475774768702407353245509965347887373368594171749755203792414301082640172,109075.4103475774968702407353245509965347887373368594171749755203792414301082640171
-110.0,105245.9243866437045643637240590952665203861345284012314490136003496907390664822966,105245.924386643684564363724059095266520386134528401231449013600349690739066482297
-100.0,99492.926068682222902758423089009281944555653664919921375577919393122680914199599,99492.9260686821929027584230890092819445556536649199213755779193931226809141995976
-90.0,92447.8655381326874327627045871866232152338126835418017056103767360000952515154204,92447.8655381327274327627045871866232152338126835418017056103767360000952515154204
-80.0,84497.3878110986319949247543705407649026183813192760612321774886661299578742622804,84497.38781109864199492475437054076490261838131927606123217748866612995787426228049
-70.0,75876.69124108616470610626254378864094794494766599253270808150503073214159174382588,75876.69124108620470610626254378864094794494766599253270808150503073214159174382633
-60.0,66700.515144874073236910901565345452378041885032286441918424514761885229155603150411,66700.515144874123236910901565345452378041885032286441918424514761885229155603150281
-50.0,56936.61752362217659553212861882151546845155913577231359350634095705249618508726656,56936.61752362219659553212861882151546845155913577231359350634095705249618508726621
-40.0,46316.86907431384549993506083534106283609798447079291721268528005708554380252754827,46316.86907431385549993506083534106283609798447079291721268528005708554380252754833
-30.0,34171.2363359776948935677881506095256542396168586878570855008992596094294409421454,34171.2363359777168935677881506095256542396168586878570855008992596094294409421454
-20.0,19156.3437457115450486182486742450455501032724796054791333294261418609696849689844,19156.3437457115590486182486742450455501032724796054791333294261418609696849689842
-10.0,1171.1494042587033746612199913719050803730179633659467212768768612775183091522716,1171.1494042586818746612199913719050803730179633659467212768768612775183091522716
0.0,31018.883875760271163423579387653146452388423210117117624839591716026615964212275,31018.883875760271163423579387653146452388423210117117624839591716026615964212275
10.0,77388.984463022182889371973219872655659572245285457585621057145567454109064266245,77388.984463022232889371973219872655659572245285457585621057145567454109064266245
20.0,151658.838261563972530706258364777989539866863206351942438266264795178259140813075,151658.838261563932530706258364777989539866863206351942438266264795178259140813075
30.0,271955.592717403361697643682309230599928047647194498838068285782875689979996300184,271955.592717403461697643682309230599928047647194498838068285782875689979996300184
40.0,466600.35731443856222688386420352178031372658788221776991241403122231431993693112,466600.35731443866222688386420352178031372658788221776991241403122231431993693112
50.0,778836.58331791792416092963049627779143880956513763081504051820792188318721854646,778836.58331791772416092963049627779143880956513763081504051820792188318721854646
60.0,1272746.71641887808481376348113773027129169664756126768506820315595167508221229981,1272746.71641887788481376348113773027129169664756126768506820315595167508221229981
70.0,2039392.3872290305527652387932620634110337557763514326983715708797678241200476176,2039392.3872290291527652387932620634110337557763514326983715708797678241200476176
80.0,3200253.8128782120298805437053613114660914479528054937314623078153815732566871279,3200253.8128782120298805437053613114660914479528054937314623078153815732566871279
90.0,4901345.1276197806114473510651010263320372512650301639583207701407784516943159615,4901345.1276197796114473510651010263320372512650301639583207701407784516943159615
100.0,7286155.6068762410494918448464619549050707258786138720187440346007566644545263605,7286155.6068762410494918448464619549050707258786138720187440346007566644545263605
-150.0,0.0000000000401339936281447662634371794214901875657676513202235443051041126799999999999999999999998703716065659,0.000000001439866006371855233736562820578509812434232348679776455694895887300000000000000000000000384993828425
-140.0,0.00000000006683561451937529025084621257116043917736720370700688687022223161000000000000000000000009628673428486,0.000000004623164385480624709749153787428839560822632796292993113129777768420000000000000000000000447294454398
-130.0,0.00000000001538309384661497815278057860537263838652372539212325795518212630500000000000000000000006997438412801,0.000000003794616906153385021847219421394627361613476274607876742044817873702000000000000000000000068991093463
-120.0,0.000000000003469877968729500014858132831706858274030109615627243081380475804000000000000000000000147554134504661,0.000000000287530122031270499985141867168293141725969890384372756918619524195999999999999999999999867755629007
-110.0,0.0000000000001361778997317892879612718707574505244953651369519558215760577836999999999999999999999819443863080969,0.00000000102986382210026821071203872812924254947550463486304804417842394221489999999999999999999999738318677
-100.0,0.0000000000004767838970108833244292382354994927646066319202367383231441960211999999999999999999999924697473765757,0.0000000005746767838970108833244292382354994927646066319202367383231441960264999999999999999999999887891629755
-90.0,0.0000000000001703482858229711468524852867624685666248641868895927311317360565099999999999999999999948057928062017,0.0000000001287296517141770288531475147132375314333751358131104072688682639416699999999999999999999985809198358
-80.0,0.0000000000001705872138293111655847190481945145801547113659452288684626856113400000000000000000000006933991344413,0.0000000004900994127861706888344152809518054854198452886340547711315373143888699999999999999999999998704194929
-70.0,0.00000000000001079601975979894356607633386866802100462785713742753232587818620299999999999999999999991735610730272,0.00000000004246079601975979894356607633386866802100462785713742753232587818664299999999999999999999975982483559
-60.0,0.000000000000002200191166723202124099077291772744017492627825972589502386921662279999999999999999999999368142078032,0.000000000002286600191166723202124099077291772744017492627825972589502386921651689999999999999999999999422416356
-50.0,0.000000000000003219370762847987904357878964660989245304652792999814032075667350000000000000000000000087720672831078,0.000000000003890780629237152012095642121035339010754695347207000185967924332640000000000000000000000008721587872
-40.0,0.000000000000007257959324697142227997141801626743401911415854961453271951094948000000000000000000000139683732913604,0.000000000008583257959324697142227997141801626743401911415854961453271951094942000000000000000000000142981478367
-30.0,0.000000000000005173363338299998006314786925692285639564306396965582512452730000999999999999999999999698286861842999,0.00000000002021017336333829999800631478692569228563956430639696558251245273005499999999999999999999976137283748
-20.0,0.00000000000001452334855064810295926370105170124899542393197696378861752902274100000000000000000000020435497104483,0.000000000003404523348550648102959263701051701248995423931976963788617529022724000000000000000000000143892239726
-10.0,0.0000000000000002904762882697880483045562553837261586492184541196135885042482410000000000000000000001807951263125164,0.000000000004000290476288269788048304556255383726158649218454119613588504248246000000000000000000000080565280269
0.0,0.00000000000001201596355027574293794653793827102590155573575529110567528608402999999999999999999999944508466555694,0.000000000001027984036449724257062053462061728974098444264244708894324713915968000000000000000000000235039001654
10.0,0.00000000000001308179225550305174235484039716088903163893433337319461844068071299999999999999999999955657523609148,0.0000000000002330817922555030517423548403971608890316389343333731946184406807139999999999999999999998303562908888
20.0,0.00000000000001284831565577340625171236173295750284543826242974385765043364123800000000000000000000003263746947095,0.0000000000004428483156557734062517123617329575028454382624297438576504336412360000000000000000000001873222151496
30.0,0.000000000000002864186291208485316884273597967705440603828994283622140965560489999999999999999999999941522975616559,0.0000000000001028641862912084853168842735979677054406038289942836221409655604900000000000000000000002534660404361
40.0,0.00000000000001625705070121799770694810517786637185757314380893762223234523510999999999999999999999960324158120011,0.00000000000001625705070121799770694810517786637185757314380893762223234523510999999999999999999999960324158120011
50.0,0.00000000000001184841824225244415104384189842048123054487306084635777141178343000000000000000000000011673168379357,0.0000000000001581515817577475558489561581015795187694551269391536422285882165699999999999999999999993163036307687
60.0,0.00000000000003244021595990666824045826896441046551478765696306992187555532416999999999999999999999953734264541171,0.000000000000002440215959906668240458268964410465514787656963069921875555324170000000000000000000000175271656386496
70.0,0.00000000000001530977685727962465586209311341357499794142190153752719087629124000000000000000000000128595093953069,0.00000000000009530977685727962465586209311341357499794142190153752719087629124000000000000000000000080399346096568
80.0,0.00000000000001916626683447742905972253498714328121541268040269117377071480049999999999999999999999993695921825932,0.0000000000001591662668344774290597225349871432812154126804026911737707148005000000000000000000000000079235437964
90.0,0.00000000000002762891308619763248671599924302874559231762194863138298517974067000000000000000000000008765814031596,0.00000000000000237108691380236751328400075697125440768237805136861701482025933000000000000000000000110319267476089
100.0,0.00000000000008074110098301595136938387058291457293011373391403854130630918001999999999999999999999818119662302061,0.0000000000001807411009830159513693838705829145729301137339140385413063091800199999999999999999999984931396878402
-150.0,0.00000000000000000648311551679614183080633773549098474813180058069943461300107681999999999999999999999997052714219503,0.0000000000000000464831155167961418308063377354909847481318005806994346130010768200000000000000000000003724788105088
-140.0,0.0000000000000000007513279413790956681931961739563759466046828471210553259325657399999999999999999999997423570143441148,0.0000000000000001207513279413790956681931961739563759466046828471210553259325657399999999999999999999991622942204069
-130.0,0.00000000000000003373269830709467744464242856748258106809500785403956056066592850999999999999999999999993355698771648,0.00000000000000008626730169290532255535757143251741893190499214596043943933407149000000000000000000000127229801722484
-120.0,0.0000000000000000351526375236996743943035794367952467295271596518186414045486130200000000000000000000000148512581914,0.00000000000000004484736247630032560569642056320475327047284034818135859545138697999999999999999999999900313427955759
-110.0,0.000000000000000005275797821239103215606501284832644027192257594435443503730080569999999999999999999999331233600136854,0.00000000000000003472420217876089678439349871516735597280774240556455649626991943000000000000000000000107071806817692
-100.0,0.00000000000000001335252515672594671720137700654165435746722569463127384130666074999999999999999999999940018252260694,0.00000000000000004664747484327405328279862299345834564253277430536872615869333925000000000000000000000030978608042444
-90.0,0.00000000000000001905225299903945541277767890333252118945184006221075098600658288000000000000000000000155814043513876,0.00000000000000003905225299903945541277767890333252118945184006221075098600658288000000000000000000000086615736985637
-80.0,0.000000000000000009255457865724525738452908853764148543518340857239848321547448640000000000000000000000009879699737027,0.0000000000000001407445421342754742615470911462358514564816591427601516784525513499999999999999999999994538158571698
-70.0,0.000000000000000006418548180915175464245968534732993651424193713782462906323657420000000000000000000000173925695658034,0.00000000000000005358145181908482453575403146526700634857580628621753709367634257999999999999999999999953604290737335
-60.0,0.000000000000000005254196497613081060564900354436426691883787392186608412387033239999999999999999999999854817361925963,0.000000000000000104745803502386918939435099645563573308116212607813391587612966759999999999999999999999911111376778
-50.0,0.00000000000000002292780280144336996552041217260276603502305615946110424696492431999999999999999999999955113908314364,0.00000000000000005292780280144336996552041217260276603502305615946110424696492431999999999999999999999851316448522006
-40.0,0.000000000000000006851164419603719857076056720035748399156387613821358179826793589999999999999999999999105224280075287,0.00000000000000008685116441960371985707605672003574839915638761382135817982679358999999999999999999999990912761670283
-30.0,0.000000000000000004774664110350101972405326365767131428353670995075788285651623970000000000000000000000383573180428569,0.0000000000000000252253358896498980275946736342328685716463290049242117143483760300000000000000000000003643700205264
-20.0,0.000000000000000004065762938370582446239832403868484877633728592660789161290028859999999999999999999999496285740744722,0.0000000000000000359342370616294175537601675961315151223662714073392108387099711399999999999999999999991197481286905
-10.0,0.000000000000000006180049463483405870723164314044579014135717504815733535353999990000000000000000000000080210553559691,0.000000000000000006180049463483405870723164314044579014135717504815733535353999990000000000000000000000080210553559691
0.0,0.00000000000000001352315214089190387004151421612358460309948464460039664455887439999999999999999999999958848306193832,0.00000000000000003647684785910809612995848578387641539690051535539960335544112560000000000000000000000046747707373425
10.0,0.00000000000000004719176256412005551916814143200965730247508892480498170892639306000000000000000000000052892875717706,0.00000000000000004719176256412005551916814143200965730247508892480498170892639306000000000000000000000052892875717706
20.0,0.0000000000000000190538536915992846858187206069445259301746990851473051299541860600000000000000000000002239265988174,0.00000000000000006905385369159928468581872060694452593017469908514730512995418606000000000000000000000027988673448998
30.0,0.000000000000000008075238890095532956801154735753233031717621419937883835965550789999999999999999999999231141997816169,0.0000000000000001180752388900955329568011547357532330317176214199378838359655507899999999999999999999989970707365201
40.0,0.00000000000000004220517009728239566952800567657635920184721619863275709533206463000000000000000000000006995033177754,0.00000000000000004779482990271760433047199432342364079815278380136724290466793536999999999999999999999860204367333026
50.0,0.00000000000000004017743296287037748945967599451502362834611382784515210458713550000000000000000000000012611876515551,0.00000000000000004982256703712962251054032400548497637165388617215484789541286450000000000000000000000033179303883084
