voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50.0,0.00000000008959293911068897558626136352097599053341306309139912527886917580999999999999999999999899145191148424,0.0000000002095929391106889755862613635209759905334130630913991252788691758099999999999999999999992487416804004,0.00000001824040706088931102441373863647902400946658693690860087472113082418999999999999999999999957897600464
-40.0,0.000000001194418690916431792228461693085942632827932765393146837192115659759999999999999999999999303637471659,0.00000000009441869091643179222846169308594263282793276539314683719211565975999999999999999999999944204197909675,0.000000005675581309083568207771538306914057367172067234606853162807884340239999999999999999999999976669828307
-30.0,0.000000004150455838067270449629647227030012375059950335503103514739911703181999999999999999999999700462884942,0.0000000007704558380672704496296472270300123750599503355031035147399117031819999999999999999999996320381376644,0.00000004055954416193272955037035277296998762494004966449689648526008829681900000000000000000000033294533163
-20.0,0.000000007845080600576593579051955841801422616509600668118397154640190302035999999999999999999999881840699665,0.000000000585080600576593579051955841801422616509600668118397154640190302036999999999999999999999755179524647,0.00000003115491939942340642094804415819857738349039933188160284535980969796099999999999999999999996581382732
-10.0,0.000000005336565843451621791732992553761278416480858760428989050931319426428000000000000000000000076476373935,0.0000000001784341565483782082670074462387215835191412395710109490686805735719999999999999999999999659137631944,0.00000000211343415654837820826700744623872158351914123957101094906868057357299999999999999999999989104044167
0.0,0.000000003608874976634979199999999999999999999999999999999999999999999999998894570424947911087950546961561549,0.00000000005093170329928398,0.000000002328306436538696299999999999999999999999999999999999999999999999998894570424947911087950546961561549
10.0,0.000000002543379386345083087583281487165340372134460978279966456009821741128999999999999999999999939190383496,0.00000000004662061365491691241671851283465962786553902172003354399017825887000000000000000000000016218684121128,0.0000000008316206136549169124167185128346596278655390217200335439901782588690000000000000000000000608102696468
20.0,0.0000000004280600056418533018175770063813743877617158060442896767832553758490000000000000000000001596055876588,0.0000000001079399943581466981824229936186256122382841939557103232167446241509999999999999999999999908644244991,0.000000001712060005641853301817577006381374387761715806044289676783255375849000000000000000000000009966775153
30.0,0.000000001605825401498657957865634628163949342677403036720506967580062931037999999999999999999999287380300744,0.00000000008417459850134204213436537183605065732259696327949303241993706896200000000000000000000074683207289483,0.0000000006758254014986579578656346281639493426774030367205069675800629310379999999999999999999996342227689896
40.0,0.0000000008130579014940126035512844894739912880784384063074228780350331363399999999999999999999999788436859189,0.00000000004305790149401260355128448947399128807843840630742287803503313634000000000000000000000035662742240681,0.000000001216942098505987396448715510526008711921561593692577121964966863659999999999999999999999535909338398
50.0,0.000000001447543619605684980401946287112601858527688901268447013386997141660000000000000000000000259128240652,0.00000000001245638039431501959805371288739814147231109873155298661300285833999999999999999999999943800128772002,0.0000000001075436196056849804019462871126018585276889012684470133869971416600000000000000000000008192884811961
60.0,0.000000001921016541326530774366385418865045779762312602799650995333920402860000000000000000000000895242310966,0.000000000001016541326530774366385418865045779762312602799650995333920402860000000000000000000000523947092061621,0.000000000528983458673469225633614581134954220237687397200349004666079597140000000000000000000000456360175495
