voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-40.0,0.00000000000009623518523094290912818107813447744558002315365668359488692013659051160041679119210188536491373230252,0.0000000000000003282778538525669213215687487257933582316121378425128631934348957390575692565584683119526220839627678,0.000000001526724934620536491193002166279696609715598994133450241695044980826295351539475578002618518711629061
-30.0,0.000000000003076087097516474668912733084632171581446819175774300535757337275028048451294684251654867514152043459,0.0000000000000008665372327253709564679288638122409847752492353341536220388527777724229061652415245406939527684460673,0.000000001890863169711942724663002805994153332234702087027378010036705863093651549634108799931552563850834404
-20.0,0.0000000000008624242268980726343330219788250733257397884312142291456471836272489048934516967349445915858527163507,0.00000000000000006993118565125906558125085494999045976575012635363975624117860233940467830248042788936386644939889106,0.0000000001387774484068741375806991828763865584496166975394305226971900429634346393549032951107713288683175108
-10.0,0.000000000000202853204637653118538629886161405617648610795755964341407075459917482768925343197242123386825375987,0.0000000000000001126825255850269779602068678440403897091739084241635370183676327056615064678520998298421871053591512,0.00000000007883457788593435686872900766150117582609126653147692492272583714327851568618470775675388760249842034
0.0,0.000000000007180620138632955025744768828613052590459907330338992178646672838605977153086365067457059674761495257,0.0000000000000001113332311088173227957068273606045589800139516503768039195266475431449627861570713579442544835536686,0.00000000007302224687864822491595199484678434681622387964943006297027704806724490288664680721056467932782076461
10.0,0.000000000006021075485058198093727159376072590706912235713401242171207343782379192782705556069723124586499503261,0.0000000000000001844200082063883321036279878398269178285170049037209713287564689550047895648292437934610451108042756,0.000000000005739210814061929589717946732537463881697197738414062050876198588596757022192738823671717532218770616
20.0,0.000000000006053810307785623453314111699850965990249800904703611001054749976678758161138428992784476809849218158,0.0000000000000001042848006013430455628916202314148720659040323845438133241258171193958218461181928063306557735064,0.0000000000003031237731005972264691595870595953263565337210184786782069660180741000262355582745654104859686822378
30.0,0.00000000001948545259583896265086776699578073507358936581555633098512543667704474193700125192436998266554346044,0.0000000000000001112350661460549661892954661957602783559594470157170832159611996506244138916578902040713200057127487,0.0000000000006266237044353871016940592894998977481461375220703860801215851466157664040551533679918468018234711792
40.0,0.000000000153614396194556476259312810528674123165477290235155589534763911462719710351150889675815826651667909,0.0000000000000006755063546125907350808882864911876540560079110452949682443451488563455417840416346770566201469922357,0.0000000000005934135943605353648966292740300234760745562191139325295153811370610225725820474806389089300060234098
50.0,0.0000000001157090223856057624152694840170197149711583395945003486312103407123231301372296690761005299708232312,0.000000000000000394908087361431806600710274816019766222363293782526238747256244697787722029021172815068374796662688,0.00000000000003952110910687092464721006236253559927959005684873261940265566191092382224725800546304106889416238753
