voltage,largest element,smallest element,element difference,element ratio difference,condition number
-30,2954029192.7718253,1.7941155031903111,2954029190.9777107,1646510042.1455286,35402191042034400.0
-20,2879457082.6673889,1.8601246047177449,2879457080.8072643,1547991503.0231633,2.3829323513273306e+17
-10,2806776133.9925303,1.9378157063522576,2806776132.0547147,1448422636.2660682,21562094154424060.0
0,2735938988.4240212,2.0282513902056958,2735938986.3957701,1348915130.3609138,18669344804602208.0
10,2666899515.2763162,2.1326135747095409,2666899513.143702,1250531060.5272427,17051853522471004.0
20,2599612782.6034465,2.2522159205936365,2599612780.3512306,1154246694.925344,40091461654921952.0
30,2534035029.1794162,2.3885175620147594,2534035026.7908983,1060923758.5181957,30846129774304424.0
40,2470123637.3451748,2.5431383030191186,2470123634.8020358,971289541.90683842,4.8621373047421882e+17
50,2407837106.7112927,2.7178754344035916,2407837103.9934177,885926218.77818573,14995315043780838.0
60,2347135028.7064729,2.9147223424987727,2347135025.79175,805268822.51648319,24082061958621320.0
70,2287978061.9631066,3.1358890996003006,2287978058.8272176,729610642.88106716,1.0487314910984899e+17
80,2230327908.5322137,3.2488120873400015,2230327905.283401,686505666.86308944,2.1919845338469891e+17
90,2174147290.921174,3.6612449951035368,2174147287.2599287,593827316.61738765,1.0608323479527699e+17
100,2119399929.948884,3.9711551203165225,2119399925.9777288,533698600.46664631,2.4489422436526928e+17
-150,1342009953777.3672,0.36106855569148272,1342009953777.0061,3716773262648.9248,1.5507147447432707e+27
-140,1230065322270.8208,0.34456105341163362,1230065322270.4763,3569948809046.9409,2.832599217166261e+27
-130,1132652511858.6436,0.32880971197374043,1132652511858.3147,3444705161108.8057,7.7606998292907409e+26
-120,1048830832125.5244,0.31378162638447232,1048830832125.2106,3342550181190.043,1.1791499369074033e+27
-110,977837563722.98523,0.29944737120819914,977837563722.68579,3265473861993.3198,8.0591877349394007e+26
-100,919082460026.06982,0.28578318015501963,919082460025.78381,3216013131100.0327,3.9505903586134977e+26
-90,872144868788.9375,0.27277579522499773,872144868788.66455,3197295669396.0078,5.5491085935270988e+27
-80,836773513893.39099,0.26043314235106224,836773513893.13062,3213007017230.647,3.1173870902308407e+26
-70,812889024532.34436,0.24880772877755866,812889024532.0957,3267137353514.813,2.5722938492937744e+27
-60,800589349298.97583,0.23804782218066256,800589349298.73792,3363145026764.3345,1.4482132777746512e+27
-50,800158246674.9248,0.22850930413266571,800158246674.69617,3501644056516.7388,1.4080881253937774e+26
-40,812077102439.54224,0.2210000385271865,812077102439.32141,3674556384023.6338,3.8131265780000967e+26
-30,837040389792.98291,0.21731366160761076,837040389792.7655,3851761475099.4009,3.2669527844153477e+25
-20,875975160887.4967,0.22139549222553601,875975160887.27515,3956607933079.0488,8.2344244263797199e+25
-10,930065040567.19238,0.2418890476625542,930065040566.95044,3845006830837.061,4.5412103068618803e+25
0,1000779286222.3264,0.29769792568092063,1000779286222.0288,3361727442115.2144,1.8311678361458192e+25
10,1089907583830.6188,0.43013351997402688,1089907583830.1886,2533881999934.4189,9.0156741050486802e+24
20,1199601371861.0071,0.72944679650698929,1199601371860.2778,1644535801110.3601,1.627941638588483e+25
30,1332422624504.1233,1.392776174047321,1332422624502.7305,956666727455.70166,9.0957349914528183e+23
40,1491401186859.999,2.8507110517585343,1491401186857.1482,523168135872.62372,2.8833021956295511e+23
50,1680101940971.0986,6.0437181932052653,1680101940965.0547,277991442893.54468,6.487091572800686e+23
60,1902703297268.8003,13.025882314617355,1902703297255.7749,146070972492.48358,2.3278162613400512e+23
70,2164088756164.2952,28.283530876373511,2164088756136.012,76514094567.027847,7.1802094400051089e+23
80,2469953575082.2725,61.615231458296776,2469953575020.6567,40086736941.887802,4.5034405617994398e+23
90,2826928914147.9521,134.42196988336633,2826928914013.5303,21030259537.193127,3.8935808398818535e+24
100,3242726227139.7798,293.44547547873293,3242726226846.3345,11050523855.750477,6.6981265742071777e+23
-150,1895709289.5089176,149.37612952975678,1895709140.1327879,12690844.885837525,3.417212036148684e+19
-140,1763752843.4012239,98.613274003813515,1763752744.78795,17885552.033623964,4.8918314320845177e+19
-130,1652691024.0708988,65.303805861859459,1652690958.7670927,25307729.040584888,3.4402712952098943e+19
-120,1564210247.3284028,43.466203226139221,1564210203.8621993,35986815.760980368,1.7410413142908938e+20
-110,1501070807.9482925,29.170720969237305,1501070778.7775714,51458131.923831537,2.6985182151255038e+20
-100,1467445489.3903475,19.835764705355352,1467445469.5545828,73979779.009687454,4.9022790656458378e+20
-90,1469381099.005363,13.765579092969167,1469381085.239784,106743137.2905958,9.9180562784668647e+19
-80,1515426037.4494085,9.8464912727160385,1515426027.6029172,153905182.61551213,1.328216064246484e+21
-70,1617482254.901819,7.347332818646426,1617482247.5544865,220145499.71071032,1.5624342256432031e+20
-60,1791960570.6818464,5.788312250998727,1791960564.8935344,309582567.93638903,3.2999767273263759e+20
-50,2061346236.789077,4.8548632112650605,2061346231.9342136,424594091.96246737,1.1106142812891998e+21
-40,2456319380.3420358,4.3410442331521404,2456319376.0009913,565836063.49443722,1.5029969800951706e+21
