voltage,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_6 transport over barrier 0,solute_6 transport over barrier 1
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-150.0,30.84968808934505895399980607891930322501803436814324388775344684863629326114425172836741708391011877,30.84968808925589367793411228056598266838119607243738994665349458290270608389004080961964412406408319,3.863939716047169442664281181457923492968811018423240558468668340687716683679865026738720609532122008,3.863939716047167747221210549887308786994250550759832700074591493373245568251202892953543223551957293,0.6888006261780634795651725764472455736671688233028527472342875854675465770233245006540369848826475158,0.6888006261780634786474460266072890470252288581754280001693391397844901016684152126469922066206079482,0.03422189927277756910333919257892456766444094884153106493353364965928558878175974053554020773192349713,0.03422192474323660183409389504442091001993657952661271364027158957455073491211315848791460272462269722,6.383044981443034586456675916898273033620704593045334972957632701774548463151250258570333275555554441,6.383044981443034322287760927185914919214415915734116006061229744241054623811674509365443095879189768,0.7767795103406291742009531807876677247370797337797855402961584682340741738932354737982601792334554625,0.7767795103406289767984372229669245714601041829246298963758420360105745205625543448450472677305836671
-140.0,23.04240582562129425970071960910636835668868047496567957802925290980296374813424932967609255555214609,23.04240582581240321950819784724531544567566264107514089014770827929701597485789996848592714635702711,3.096256481311248870257251406720463156319012258073036868419186470586954621614306107759222074587875775,3.096256481311248625663936951918085714874958952565168864409942992268330921215611090720298127863238903,0.6526430942064917596684960113622418461602719535405629166043535244352726445216748662251383328382984458,0.6526430942064917595475135297714616119362610970894864194098165945259550488150234468743516144641478766,0.03200228260235822520015637876644300696532754179405213846813372079590809680272738963160041073406990666,0.03200228413841873139883749255142293903769427679905593775947663448696770119711099916369711718750062009,4.818837092266507553447314175862982549173248939095414703587701977328885310999329293255036978157410526,4.8188370922665074172654787682021127813574382217446523221423702702424184888271147557336597705712993,0.7318804833649365139597469705386404745704852621514988358480771709543158483840282656084863229152152459,0.7318804833649367100856253057320100213134925981288495055553859618229989220937588341845353986046869087
-130.0,17.16643300256719569645321253230901638800259090659386819019095489694285175627986836763573684181859991,17.16643300260278966870105777043532867269826726796240115275753927329609206648576883765720450561577043,2.540093167600786285476447298086674632386528500736048109822689835053718083732995128498907205852655767,2.540093167600786503990720284600844131487241124698805337335742001635912419351950472516163662757353486,0.6330892636962818896329387960440059163055982377609772956153072332224538555064004391914074990113621521,0.6330892636962818900337733250019953031344929144967956391407267311029138232460627129239930311639079271,0.03054857958264313490601242625168952323936044614494815247782280780166547326899133542848841094242609182,0.03054857260850346390017926266304603466041243240747480993596724820359480718164679254798685680512930814,3.637479963431233722823907854498838406910270303001553592321658628636956539325651193973318866754818514,3.63747996343123381923717899997818272060463471184843607954650541636188854112073888787462525908089684,0.7059701220728773546671896915186833283628090942714529996014444679521905881697549699595496972566714127,0.7059701220728774185528910727927997723062398252976230254694310509793725033560816408734207554060230647
-120.0,12.80765936457196582318625494020224061960424225074445316218926958316602484075091130396578743048806876,12.80765936467471297698437133972752742646390484815358406014249955488107068693546087097452853605456479,2.126249678081196962102454180162052902875565132289779642019047858542926131811678527316186570681876025,2.126249678081196610688897270942636372067336529305567965663578140816773253427204831638443478318872748,0.6266237776579203289623580421237566207082097436444554587807595480646087762198275295154153686840480791,0.626623777657920328471062716415888475321164561610424385699147413289558652946312715866651961675620462,0.02963443070158419142371949081703805361999536062748661464811967403330279075335992883718502552109652354,0.02963443915327873247450796662026052396213559635944271521808445972728722879903460907962527137276025942,2.745425807284020737468235717405785954753327339612671307576245016548946214996069803189426810830179327,2.745425807284020663725620408674441565205220577209034513013310936527319331890239519631043192182903224,0.6948333336858309245632585128453375969032515390901948864357964829559062668042059815587521216948841985,0.6948333336858309930265987868406463065950624533156838580226793964885639658845246890118084553408935112
-110.0,9.613959046335646696499393961709205389197880245867479511622564195937326790748195676303151944129547759,9.613959046347783074387437300327869517075561104032336278067885917496473072770948329682703153025766856,1.80963972605415893307783755248778957732965221650303872689147250662435054153950959075502114520524632,1.809639726054159005390683216312703403405800616852947765232199703570327983926690226207460213067081948,0.6306129024998398889666414182423775466827504082314325761252919156380389946270668012979985069191570105,0.6306129024998398890042634805625480704141491840555305704609789656746440556504842333651882065815092366,0.02906695289419904670099015485452540953639585422056535846057502389762363532243896936036688054491905381,0.02906694655491811449518285081244067085624231119685960412542308988238792888949623290334820436724624016,2.071967951808129974866017605985058606588211276337360510912479474456854287240846341024133318978483669,2.071967951808130090128206681303777150781599493923207422134260892234548933041120700936656835809620803,0.6953166584068202725325036294753104992371509094237510347874327410150543203850639642899312872665930078,0.6953166584068203082083331913124740351931234517360501906345432302789315106335894651432009310905850159
-100.0,7.280299129003126111224264958939600459631193117436404443846623174316282245964190135356209037293937666,7.280299128989192000179221288110866733028963701974668875804623101454425308257196442652625560284347274,1.560713046547639896490674135727981276919592040383923447419534261161296635307800416374417876359841606,1.56071304654764000305440142816185766521153775738605291540678156963371339331211912582589708978886669,0.6430914096916920480114965692859669482192199861093521951368772805629998580983706244423760112648062761,0.6430914096916920481656399117947020056793302038165972502973866822245701682908813183742518602776547422,0.02867087052669685566565808113186513927631604994433445165150273846294170889769893163069335199882315129,0.02867086591292196460127943389297903292450564977579324280210203071366807328253607496459251886905654484,1.563635231126371936964053918164734239167746914908401459721337037669316472905053801581568906772306535,1.563635231126372000689202232234110911935166007783090212869723802610830638126156140028388793002844713,0.705065593274703078920532125921458190565929290059239927903245491926316899623263984728188393325037596,0.7050655932747030829847106239230549653096087102577613998380315046267535619412264995015851633520750433
-90.0,5.556449314863994704211706770509647456829551281237663824272331065011422625735485695856960767822045323,5.556449314863104170836577229993243808921168295887888521973160109197986324732360913893166228439554577,1.359934348014000749278456899026885305455719637821516604879059261001557009825605078194130378075588617,1.359934348014000974386391049279684615927362144640503713962436518953926788586497261391893929462750056,0.662593641695506364090791487504376826847025295899936392764459891015090488430642631291207956743748466,0.6625936416955063643069720316904579372343437092572496992246140966407486274548407726411852829221662912,0.02827481499577665445297486220284165290319779071225838058819503670315002068644434005279518287341631827,0.02827480432075583312505995620094951130850602099334759805417208168426727545648263381751258057673530517,1.179979302944429959462729450926419006396915959352907475076146833720392382738830059611048596783555577,1.179979302944430180360669357270435480961784648107081665591285803190465080069034932366683360875980862,0.7223181314826745611873140440313454371320239759286793140733145152384607283657536182158669981883260543,0.7223181314826745977946529565103149665620014739153892643622001632488334708539226498065887808096813308
-80.0,4.257785660147267918790597383588868535090592253728473912836084362552180706099051081166938887023081223,4.257785660163771143997187952309618148731307555417159012203737405146208067482098545205967951044420351,1.194247591306307443415234042931200221238495538004602496875639953557935290634218313689885652266891178,1.194247591306307346198430652855233302492743867615268703911758261825900616905990929832141485501997396,0.6880247608966310457494817371767025940413648646576133423886103904634024267753793580944328248800367647,0.6880247608966310456380069150099513650808510278673963618136879454620733715856526258613010320736247534,0.02769941850865936967133839375983572819368931479708855884393589524858432680503684547541951922787303861,0.02769942254266347479136961134564251829898311427781568881031642723543474382948206778678822328222674573,0.8904195240084061849486137855413138004588499894862566149862703987035489111668797431972075438332025981,0.890419524008406169887150179787671604780513682507435197299568553929540504554923519381317524012716326,0.7457480116532879793541378038791118570338591576696146007484145798670977020775443178415504935790958688,0.7457480116532879775736536599997068380363248617135535754408737098886096990498796444687701959165145307
-70.0,3.261210688809721373159453687336828429191242137159754728773888273755231883254016813469030229449688878,3.261210688818626706910749092500864908275071990657507751765597831889594893285264539117889016949774878,1.054817082014114065875374431018132183208438033660269507990330440627140838708529493088741900959574282,1.054817082014113995428981945813564105886417247427500013747316607818552814091111394349776780500040525,0.7185679718800356998179172197222546125222275147717665996336097897847536174448572857288144766838557861,0.7185679718800356997141501168098265492689389041409920611033922349875778738472483602414703006559356603,0.0267454878475612187462384165284417757052850214526734294167495896445761853806557523512378455496255705,0.02674548805833580742569190753344644133322974450943082761733355227971675618137632275489234137360389349,0.6718618334676687010212693767893007654436861807799217980481521934226177463257615184994254056670794705,0.6718618334676686138677000924921946122952595704224056448769682013830733090384290100207660245213129796,0.7743511265157041102136621564976277881951802777402815380866499797546050657887218164621974685623896919,0.7743511265157041239056885765698376280480636777900848583163404718902945929985429795809155453434510822
-60.0,2.488290684218370443162569219646986005514079408864712494286978456587928381731853985865942133104501859,2.488290684207914387327319190019468984234478736743914992375427630704693332467790654545368198719432428,0.9355754925654971640705745032802461300982686596016785224405755739283000811783616089541313165422865438,0.9355754925654972097889053733079298240573578881201987164780204645920508195848738302428958669414649568,0.7536177578867200659344723923979472595384993192492029530764058984240359886984206513204588490052129941,0.7536177578867200660474269199802848842078500905743272219521742679058185449674364753930398404481836195,0.02517679186202359617653850975103059534578301756409782128744465244152281942307336470971372420708327431,0.02517678942172174473179520601324417879644278784510770100484712103245245755247508548206873415691746061,0.506882568110235633701253660278550651038695113056714790313246593022840165630971143546349144949094851,0.5068825681102356659190840978334410497998853772146324523394120508478874739741496379724379792080737327,0.80736253506669554982217640963796865376425034568311447954744570581398817690441311972134574048116146,0.8073625350666955489265351247051620588304338021232496523046903558663565751988647871246802930021006805
