voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50,0.009433413304734111,60006.29700213671,-560.5351904125746,-50,5656083319.5664721,1837.6416348555817,5656081481.9248371,3077903.3366921823,1.4603163296828691e+17,4.0486338548362255e-07,4.08353230341163e-07,1.0230184754878024e-13,5.9901489281547443e-07,-34056.926710919106,6.6228375157731143e-07,1.3332290222933807e-06,-50,0.00943341330480009,0.009433413304734111,0.009433413304697788,60006.297001731844,60006.29700213671,60006.29700188129,-560.5351900042214,-560.5351904125746,-560.5351903982337
-40,0.012111012108042139,76142.00367927551,-271.3385810792679,-40,6458696277.1223526,1762.7639957808269,6458694514.3583565,3663959.7204056997,2.4277597277370189e+17,2.2626772988587618e-07,2.480300054230611e-08,3.0857261190675445e-14,-2.8321351550699988e-07,-28001.548933364786,2.6934662359483566e-07,4.1608447531871207e-07,-40,0.012111012108044694,0.012111012108042139,0.012111012108072996,76142.00367925449,76142.00367927551,76142.00367948075,-271.3385810607804,-271.3385810792679,-271.3385810855834
-30,0.015018478095368685,93522.51958346367,112.89156709677627,-30,7375318484.8219166,1690.9373655246934,7375316793.884551,4361674.5570782125,4.3144410755582254e+18,3.7264544516801834e-07,2.354260004722164e-07,1.1749108630443317e-13,-4.977451115164098e-07,-24086.343444784474,5.6856359109018731e-07,1.0977120155075681e-06,-30,0.015018478095251194,0.015018478095368685,0.015018478095307998,93522.51958320111,93522.51958346367,93522.51958309102,112.89156686135027,112.89156709677627,112.89156709368308
-20,0.018185476798534616,112254.17522412539,631.5790500303738,-20,8422141066.1121731,1622.0374258671304,8422139444.0747471,5192322.2804860696,3.742698830593465e+17,4.386820364743471e-07,4.403379989526002e-07,8.127526429646537e-14,7.0844255253324562e-07,-22134.615347271865,6.1641520110853448e-07,1.0713050642152666e-06,-20,0.018185476798605424,0.018185476798534616,0.01818547679852415,112254.1752236867,112254.17522412539,112254.17522404226,631.5790504707118,631.5790500303738,631.5790500392568
-10,0.021726149769514782,133005.41693800688,1306.7477404684178,-10,9617654653.4206371,1555.944924132227,9617653097.4757137,6181230.777679706,54843711002584040.0,6.409827619791031e-07,2.6777661332744174e-07,1.431667284723659e-13,-3.4693721339349531e-07,-22021.562293811341,8.4219261422699504e-07,1.3987518059366266e-06,-10,0.02172614976965795,0.021726149769514782,0.02172614976961766,133005.416938365,133005.41693800688,133005.41693864786,1306.7477407361944,1306.7477404684178,1306.7477404690253
0,0.025828114823784047,156950.433000803,2136.8772067896716,0,10982975967.405767,1492.5454667845352,10982974474.8603,7358553.7002547318,86581071878008240.0,3.543973434716463e-07,2.023202796408441e-07,4.527281327604271e-14,1.5563889727857027e-07,-23705.800805129027,4.45685583211486e-07,8.3100508163624909e-07,0,0.025828114823776376,0.025828114823784047,0.02582811482382165,156950.4330011574,156950.433000803,156950.43300103536,2136.877206588519,2136.8772067896716,2136.8772067908394
10,0.030692922497159346,185363.4147131443,3113.9308992310616,10,12542220777.52519,1431.7293214356425,12542219345.79587,8760189.92538945,3.394529729881175e+17,8.614442776888609e-07,5.682327355316374e-07,1.148039996401451e-13,-8.0369763500349997e-07,-27254.717907901431,1.1563581441922069e-06,2.1626303805533098e-06,10,0.03069292249711529,0.030692922497159346,0.030692922497230095,185363.41471400575,185363.4147131443,185363.41471359623,3113.930898662829,3113.9308992310616,3113.9308992259125
20,0.03649382202714187,219311.6771453023,4244.979239901499,20,14322929831.068747,1373.391226918304,14322928457.677519,10428878.203341505,2.4107281429731331e+17,4.92902472615242e-07,2.522474460420199e-07,5.109107581446892e-14,5.8842808433979406e-08,-32867.765736163521,6.132612931934365e-07,1.0646847385942237e-06,20,0.036493822027140355,0.03649382202714187,0.036493822027191446,219311.6771457952,219311.6771453023,219311.67714560963,4244.979239650335,4244.979239901499,4244.979239902583
30,0.04338205242692433,259682.03153204918,5558.648487796665,30,16356555273.320343,1317.4302110994036,16356553955.890131,12415500.369974587,53743602944844560.0,6.346963346004486e-07,4.6105924411676824e-08,1.0178663467641513e-13,2.2461356266946901e-07,-40902.922263325163,8.5551762249416705e-07,1.3297351415531011e-06,30,0.04338205242683027,0.04338205242692433,0.04338205242682254,259682.03153155424,259682.03153204918,259682.03153141448,5558.648487750559,5558.648487796665,5558.648487796318
40,0.05151316798897764,307356.2645199299,7099.545608254903,40,18679016149.893211,1263.7494161164191,18679014886.143795,14780632.862561468,1.0346396280480378e+17,5.781184881925583e-07,1.8576156435301527e-07,1.3013895516778007e-13,1.5503257298901197e-07,-51911.652037322317,6.9754418001833472e-07,1.1847421319544083e-06,40,0.05151316798910778,0.05151316798897764,0.051513167989070144,307356.26452037145,307356.2645199299,307356.264520508,7099.545608440318,7099.545608254903,7099.545608254556
