voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_3 transport over barrier 4,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-50,-0.014224785859259539,-18385.961935215222,-15250.071480468003,-18385.9619352235,-50,138567075.22478348,62274.660413945494,138504800.56436953,2225.0956376753429,51193821591349296.0,3.882450982928276e-08,2.2439053282141685e-08,2.371962182223797e-08,1.6322013185465778e-14,23126.686256033183,1.1378269493317254e-07,2.0005562672615215e-08,2.3627812195670117e-07,-50,-0.014224785859258324,-0.014224785859259539,-0.01422478585926577,-0.014224785859270547,-0.014224785859274646,-18385.9619352156,-18385.961935215222,-18385.961935231986,-18385.96193525238,-18385.961935254047,-15250.071480468236,-15250.071480468003,-15250.071480463957,-15250.071480449613,-15250.071480445797,-18385.96193521921,-18385.9619352235,-18385.961935228202,-18385.96193522989,-18385.96193524293
-40,-0.010771239689878306,-13642.560912665645,-12665.959157568162,-13642.560912664834,-40,134878395.56885934,67461.334270276828,134810934.23458907,1999.3437281937393,3.5737281799841728e+17,1.9936123862862587e-08,1.949956640601158e-08,1.531225279904902e-08,5.731526364627371e-15,21479.079317627755,1.1058097857377017e-07,2.2913252730787055e-08,2.7022139859056438e-07,-40,-0.010771239689878968,-0.010771239689878306,-0.010771239689884037,-0.010771239689881772,-0.010771239689881609,-13642.56091265977,-13642.560912665645,-13642.560912679706,-13642.560912661324,-13642.56091267051,-12665.959157583478,-12665.959157568162,-12665.959157564066,-12665.959157567831,-12665.959157563979,-13642.560912665125,-13642.560912664834,-13642.560912670713,-13642.560912680146,-13642.560912672372
-30,-0.007640845639096287,-9467.499018168575,-9825.669589610041,-9467.499018163382,-30,132033488.17987081,73079.990983088384,131960408.18888773,1806.6982002012699,29480317127843536.0,8.498318493366241e-09,1.0244548320770264e-08,1.3737007975578308e-08,4.9855952699573436e-15,20424.669250340292,1.0810985390951223e-07,1.8557015901529284e-08,2.1352680468211815e-07,-30,-0.0076408456390962606,-0.007640845639096287,-0.007640845639093081,-0.007640845639094832,-0.007640845639098066,-9467.499018163391,-9467.499018168575,-9467.499018162081,-9467.499018166127,-9467.49901817058,-9825.669589604222,-9825.669589610041,-9825.669589614467,-9825.66958960989,-9825.669589606812,-9467.499018171395,-9467.499018163382,-9467.499018157658,-9467.499018161365,-9467.499018168543
-20,-0.004844594883254918,-5878.60174857013,-6726.509879975634,-5878.601748567267,-20,130014246.38879053,79166.60913778223,129935079.77965274,1642.2864109603665,3.7049497345791181e+17,1.8451828509569168e-08,1.5425030142068863e-08,9.837094694375992e-09,4.532832442727397e-15,19875.223111929183,1.0635296782111889e-07,2.0667015342480988e-08,2.4935148701388243e-07,-20,-0.004844594883255194,-0.004844594883254918,-0.004844594883253925,-0.004844594883252531,-0.004844594883250661,-5878.6017485841,-5878.60174857013,-5878.601748565648,-5878.601748568266,-5878.601748566667,-6726.509879962774,-6726.509879975634,-6726.509879978199,-6726.509879977641,-6726.509879975463,-5878.601748560584,-5878.601748567267,-5878.601748567366,-5878.601748560675,-5878.6017485575285
-10,-0.002336748922839347,-2791.5373207539924,-3420.2984250647623,-2791.5373207690172,-10,128807818.9218716,85760.163870637698,128722058.75800097,1501.9539738306451,41490395627808616.0,1.2605596566572785e-08,2.0925654098391533e-08,3.6176061257719994e-08,7.92161475304809e-15,19668.599484314098,1.0530102848589001e-07,1.6662096069325674e-08,2.0196894889856765e-07,-10,-0.0023367489228420107,-0.002336748922839347,-0.00233674892283982,-0.002336748922835685,-0.002336748922834089,-2791.5373207572266,-2791.5373207539924,-2791.537320766598,-2791.537320764104,-2791.537320758216,-3420.298425055138,-3420.2984250647623,-3420.298425063578,-3420.298425068191,-3420.2984250760637,-2791.537320778909,-2791.5373207690172,-2791.537320758478,-2791.5373207457615,-2791.537320742733
0,1.7478298104833811e-15,3.879904397763312e-09,-4.6966306399554014e-09,3.9235601434484124e-09,0,128406527.73466575,92902.876442747045,128313624.85822301,1382.1587947688404,6.2506117765346496e+17,9.98261384665966e-09,1.0633812053129077e-08,1.0260919225402176e-08,1.5426827303599564e-15,19626.837030065046,1.0290464059883068e-07,1.5391843002843608e-08,1.8250311617507009e-07,0,2.051470801234246e-16,1.7478298104833811e-15,1.1003343388438225e-15,8.500199328409506e-16,6.154412403702735e-16,-2.153683453798294e-09,3.879904397763312e-09,-1.7462298274040222e-09,7.828930392861366e-09,3.3760443329811096e-09,-3.958120942115784e-09,-4.6966306399554014e-09,9.313225746154785e-10,6.239133654162288e-10,5.9371814131736755e-09,4.773028194904327e-09,3.9235601434484124e-09,4.71482053399086e-09,-5.487891030497849e-09,-4.423782229423523e-09
10,0.0023367489228346885,2791.5373207662014,3420.298425057528,2791.537320745885,10,128807818.92187163,85760.163870637698,128722058.758001,1501.9539738306453,1.4978674121702976e+17,1.750231604091823e-08,1.586158759891987e-08,2.0683728507719934e-08,4.789571517171964e-15,19668.599484326121,1.0530110112342752e-07,1.5439504901652056e-08,1.8278166957763631e-07,10,0.002336748922835227,0.0023367489228346885,0.0023367489228346768,0.0023367489228394663,0.0023367489228374836,2791.537320765492,2791.5373207662014,2791.5373207518423,2791.5373207568136,2791.537320748699,3420.2984250574373,3420.298425057528,3420.2984250650043,3420.298425073299,3420.298425068613,2791.537320748321,2791.537320745885,2791.53732075647,2791.5373207622997,2791.537320766569
20,0.00484459488325476,5878.601748566929,6726.509879973806,5878.601748570887,20,130014246.38879055,79166.609137782245,129935079.77965276,1642.2864109603663,43696491080527616.0,1.2718373909592628e-08,1.0273652151226997e-08,1.3853423297405243e-08,1.93421667571414e-15,19875.223111939053,1.0635677703330227e-07,1.7773340353520965e-08,2.1882418743679466e-07,20,0.004844594883253851,0.00484459488325476,0.004844594883253147,0.004844594883255081,0.004844594883253701,5878.601748562418,5878.601748566929,5878.601748563786,5878.60174856485,5878.601748554211,6726.509879968362,6726.509879973806,6726.509879978636,6726.509879969246,6726.509879973542,5878.601748575282,5878.601748570887,5878.60174856658,5878.601748576248,5878.601748580433
30,0.0076408456390968955,9467.499018176011,9825.669589607001,9467.499018159364,30,132033488.17987081,73079.990983088399,131960408.18888773,1806.6982002012694,58371419770733744.0,1.453918230254203e-08,1.6227204469032586e-08,1.2631062418222427e-08,2.3678975447083417e-15,20424.669250347044,1.0811391321014125e-07,1.8292969952193875e-08,2.2201165750246332e-07,30,0.007640845639097003,0.0076408456390968955,0.007640845639099263,0.007640845639098259,0.007640845639098998,9467.499018170929,9467.499018176011,9467.499018179165,9467.499018164626,9467.499018171977,9825.6695895968,9825.669589607001,9825.669589610276,9825.669589613028,9825.669589608791,9467.499018169881,9467.499018159364,9467.499018161965,9467.499018171995,9467.499018169066
40,0.010771239689875776,13642.560912653236,12665.959157565529,13642.560912670666,40,134878395.56885934,67461.334270276857,134810934.23458907,1999.3437281937383,17052086343571814.0,2.0976585801690817e-08,1.6123522073030472e-08,1.335865817964077e-08,3.427813588530171e-15,21479.079317631909,1.1057865107922312e-07,2.1390933049086007e-08,2.5919288937359397e-07,40,0.010771239689873934,0.010771239689875776,0.010771239689874711,0.010771239689877362,0.010771239689875776,13642.560912643617,13642.560912653236,13642.560912654473,13642.560912664594,13642.560912660381,12665.959157572768,12665.959157565529,12665.95915756133,12665.959157570407,12665.959157577454,13642.560912670917,13642.560912670666,13642.56091266821,13642.560912661818,13642.560912657558
