voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.05369506546949669,-6.396757540533439,-0.006990598999197446,-111720.7919032435,-50,5524701776.4788694,1.6934234921100968,5524701774.7854462,3262445455.7405448,1.4865797258956253e+21,3.8179415184913523e-10,1.6479873021779667e-17,4.3655745685100555e-10,8.326672684688674e-17,1.693471684969964,5.2578323465890531e-10,6.0542221416367036e-10,9.1013598220446301e-10,-50,-0.05369506546949661,-0.05369506546949669,-6.3967575409152335,-6.396757540533439,-0.0069905989991974294,-0.006990598999197446,-111720.79190324307,-111720.7919032435
-40,-0.05167803849406853,-7.447425209078707,-0.006618709465472657,-107523.1984146479,-40,3599645272.2597179,1.7388339484190354,3599645270.520884,2070148949.8364983,6.9893331006943764e+19,4.954312515792481e-10,0.0,5.529727786779404e-10,1.0408340855860843e-16,1.7388818401359298,4.185672381612493e-10,7.2103736145428697e-10,1.0210889911377308e-09,-40,-0.05167803849406843,-0.05167803849406853,-7.4474252095741384,-7.447425209078707,-0.006618709465472657,-0.006618709465472657,-107523.19841464734,-107523.1984146479
-30,-0.049736414909136696,-8.70856057313081,-0.006264321377821039,-103482.35887577239,-30,2345368223.8320827,1.7941155031903113,2345368222.0379672,1307255981.9373553,1.9809500257285988e+19,1.0016165674642252e-10,1.5612511283791264e-17,2.9103830456733704e-11,2.0816681711721685e-17,1.7941632931625946,8.5925971199385387e-11,1.1585156149853994e-10,1.5923086807423381e-10,-30,-0.04973641490913672,-0.049736414909136696,-8.708560573230972,-8.70856057313081,-0.006264321377821023,-0.006264321377821039,-103482.35887577236,-103482.35887577239
-20,-0.04786707733832141,-10.22880453640782,-0.0059275453343898155,-99591.75443314534,-20,1528139485.3329093,1.8601246047177447,1528139483.4727848,821525333.01111257,1.6794978815967881e+20,4.148663634850891e-10,8.673617379884035e-19,3.92901711165905e-10,5.551115123125783e-17,1.8601725062871945,5.4959099771156872e-10,5.6160554306286087e-10,8.049685362720993e-10,-20,-0.04786707733832135,-0.04786707733832141,-10.228804536822686,-10.22880453640782,-0.005927545334389816,-0.0059275453343898155,-99591.75443314495,-99591.75443314534
-10,-0.046066891815807365,-12.068380583351692,-0.0056082188892222044,-95844.82399367138,-10,995671117.89380777,1.9378157063522576,995671115.9559921,513811047.47471476,1.1139817358635344e+19,3.7902125882283144e-11,8.673617379884035e-18,4.3655745685100555e-11,6.938893903907228e-18,1.9378639494430914,1.3673578068418291e-10,5.0265838382419717e-11,8.259349454364795e-11,-10,-0.04606689181580737,-0.046066891815807365,-12.06838058331379,-12.068380583351692,-0.005608218889222213,-0.0056082188892222044,-95844.82399367142,-95844.82399367138
0,-0.044332607999759056,-14.30091903894485,-0.005305607350947214,-92234.75537957571,0,648739705.74659276,2.0282513902056962,648739703.71834135,319851724.92883164,2.3245371901053579e+19,2.5765345412764873e-10,3.469446951953614e-18,2.764863893389702e-10,4.85722573273506e-17,2.0283002266795154,2.9509568053032176e-10,3.6755096780071506e-10,5.2952487186730401e-10,0,-0.04433260799975901,-0.044332607999759056,-14.300919039202503,-14.30091903894485,-0.005305607350947211,-0.005305607350947214,-92234.75537957544,-92234.75537957571
10,-0.04266066550069407,-17.01374623481406,-0.0050175223584433305,-88754.08215767622,10,422696226.43772101,2.1326135747095409,422696224.30510741,198205728.14992592,3.3393446624489359e+18,4.582894064242282e-10,1.5612511283791264e-17,4.94765117764473e-10,9.020562075079397e-17,2.1326632915988477,4.6808844127166349e-10,6.3330322198887187e-10,9.1632658752449636e-10,10,-0.04266066550069398,-0.04266066550069407,-17.01374623527235,-17.01374623481406,-0.005017522358443315,-0.0050175223584433305,-88754.08215767573,-88754.08215767622
20,-0.041046780356766836,-20.30281696282705,-0.004737595031631745,-85393.82658619179,20,275418853.48591864,2.252215920593637,275418851.23370272,122287943.60592389,6.7716975176181422e+18,1.70281566624908e-10,6.938893903907228e-18,1.4551915228366852e-10,2.0816681711721685e-17,2.2522668766922638,9.304641605811792e-11,2.1124079545772133e-10,3.3223202487719927e-10,20,-0.041046780356766815,-0.041046780356766836,-20.30281696299733,-20.30281696282705,-0.004737595031631738,-0.004737595031631745,-85393.82658619164,-85393.82658619179
30,-0.03948497241664507,-24.25159689826691,-0.004446732509645434,-82141.48994569127,30,179463718.96178573,2.388517562014759,179463716.57326818,75136026.55297403,3.2801720029622395e+18,1.1116085829598887e-10,1.3877787807814457e-17,4.3655745685100555e-11,1.3877787807814457e-17,2.3885702948712324,1.9699876452339282e-10,1.4597059815364452e-10,2.3489834036216628e-10,30,-0.03948497241664509,-0.03948497241664507,-24.25159689837807,-24.25159689826691,-0.0044467325096454475,-0.004446732509645434,-82141.48994569122,-82141.48994569127
40,-0.03796507929259549,-28.86436603408223,-0.004086278083915654,-78975.92423190371,40,116950969.18841845,2.5431383030191186,116950966.64528014,45986869.47130584,8.5282544265161175e+18,1.9909052184630127e-10,5.204170427930421e-18,1.4551915228366852e-10,6.938893903907228e-18,2.5431938525160152,-2.8480776070871627e-10,2.8699853380041211e-10,4.3782222985955244e-10,40,-0.037965079292595495,-0.03796507929259549,-28.86436603388314,-28.86436603408223,-0.004086278083915649,-0.004086278083915654,-78975.92423190386,-78975.92423190371
