"{'distance': [0.278, 0.569, 0.709, 0.759, 0.849, 0.913, 0.919], 'solute_2': [8.65, -5.1, 19.78, -6.33, 13.6, -10.51, 15.14], 'solute_1': [15.75, -0.22, 16.34, -7.47, 16.86, -19.6, 12.79]}","{'solute_1i': '136.0 M', 'solute_2e': '418.0 M', 'solute_1e': '7.0 M', 'solute_2i': '117.0 uM'}"
voltage,current,solute_2,solute_1
-150,-8.08716194236316e-11,-0.0003633153242004238,-7.075063822323258e-05
-140,-1.5783185344087803e-10,-0.0008800277814162497,-5.2594890318335974e-05
-130,-1.0071869629405879e-10,-0.0005139615328757004,-5.737221825022343e-05
-120,-1.2181887311738847e-10,-0.0007399551674359284,-1.0231133876881238e-05
-110,-2.6463761309835218e-11,-9.310695757062427e-05,-3.604253029657056e-05
-100,-2.9005723395029693e-11,-0.0001854620138805052,2.2012834851037333e-06
-90,-5.501323789914799e-11,-0.00032278431973390906,-1.0309581391310108e-05
-80,-3.975993109969922e-11,-0.0002544249492260932,3.117808259428534e-06
-70,-3.946410809534835e-11,-0.00024289882312313743,-1.7219620194186547e-06
-60,-3.204236255783227e-11,-0.00016191043366533403,-1.9052156943338838e-05
-50,-6.960367202741064e-11,-0.0003877382584231287,-2.337079596761993e-05
-40,-1.4247228901737922e-11,-0.00013019542804634798,2.0630707463442644e-05
-30,-2.4814886888800042e-11,-0.0001536125454883186,-6.4343664660238e-07
-20,-1.2515568462662794e-11,-7.696863484357719e-05,-5.780061196059005e-07
-10,-1.390106492212127e-11,-8.800662356983624e-05,6.167171465870647e-07
0,-1.9058526732503966e-12,-2.3343686290977494e-05,5.723488984282765e-06
10,-6.10524908540338e-12,-5.1462470331331556e-05,6.6761506294504835e-06
20,-1.2320026471987876e-11,-9.068071471451944e-05,6.8883396544261455e-06
30,-1.4550012895788631e-11,-9.798378485292858e-05,3.5798671587095043e-06
40,-8.386448534787544e-12,-6.313851185879571e-05,5.3943229244429736e-06
50,-3.6565360712276766e-13,-2.5207555329531672e-05,1.1462536693720993e-05
60,3.9722458199375514e-13,-2.7009662972421467e-05,1.4744608583569518e-05
70,-8.374184433368682e-12,-9.652007827920528e-05,2.2123383604744085e-05
80,1.3320852014796497e-11,1.382620738654694e-05,3.466258923680299e-05
90,7.616493688232227e-12,-4.7985159626451335e-05,4.776440780396296e-05
100,2.1463001480262983e-11,1.7207587705847516e-06,6.612776505997287e-05
"{'distance': [0.278, 0.569, 0.709, 0.759, 0.849, 0.913, 0.919], 'solute_2': [8.65, -5.1, 19.78, -6.33, 13.6, -10.51, 15.14], 'solute_1': [15.75, -0.22, 16.34, -7.47, 16.86, -19.6, 12.79]}","{'solute_1i': '136.0 M', 'solute_2e': '418.0 M', 'solute_1e': '7.0 M', 'solute_2i': '117.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-40,698479682242.38867,0.0007277957495832846,698479682242.38794,959719375446089.75,1.5110575175290978e+21,1.3956891635767037e-05,3.420048825847344e-05,1.147277567727194e-11,-1.8289922515119542e-05,-60.583963111084053,3.9232149545261184e-05,9.624379718252051e-05
-30,625277489501.18213,0.00076602931946502821,625277489501.1814,816257907644915.0,3.0913755095701828e+20,4.0030101765309404e-05,3.221057272537079e-05,1.135782289468669e-11,5.8969514019925225e-06,-78.457126461922925,5.5442252406003029e-05,0.00010548013112323082
-20,559799971173.12097,0.00080627142796044075,559799971173.12012,694307092822576.37,6.900270043352489e+20,2.395496070401998e-05,7.672668537600513e-06,4.200470714439056e-12,-4.119945377541672e-05,-88.903243854896829,2.8333899631078472e-05,6.5276531955086198e-05
-10,501235502157.67657,0.00084862759038956896,501235502157.67572,590642477140745.12,1.1576221710601914e+20,1.4921080140279668e-05,1.792303941177663e-06,2.9646112212261247e-12,1.1617375645961078e-05,-92.13152399807926,2.213617056540502e-05,4.3264724605881981e-05
0,448857976394.99799,0.00089320886514874815,448857976394.99707,502522975206083.12,3.9407460528556894e+20,5.111255418095882e-05,5.042126529053448e-05,2.3177236944903663e-11,-6.7642451842551331e-05,-91.200184724763687,9.8421388650629554e-05,0.00019318612129224597
10,402017810761.08313,0.00094013214490712969,402017810761.08221,427618407623745.5,1.5483787529888504e+20,1.174506258867093e-05,1.0851184682358905e-05,5.155579372726516e-12,-1.1699318723679316e-05,-88.30641969088903,2.2039333202342616e-05,4.7719683780310404e-05
20,360133896574.19067,0.00098952046310074528,360133896574.1897,363947902043057.25,3.9824002019018613e+19,4.35158570703877e-05,2.4530931308053283e-05,1.2162110892579975e-11,5.5957984105902881e-05,-84.590090368163374,6.159243084730029e-05,0.00011670216689882096
30,322686398924.44073,0.00104150331652774,322686398924.4397,309827528922560.19,6.7511732381806404e+19,5.470865764347245e-05,1.3643974593691155e-05,1.3135856414302932e-11,5.5098394636359961e-05,-80.606297136580295,8.5367370929998073e-05,0.00015153375992224907
40,289210314559.84442,0.0010962170048906237,289210314559.84332,263825787475994.03,3.2002655884333056e+19,3.0961354292802294e-05,1.66563257324448e-05,7.727203619914146e-12,2.8929830179436067e-05,-76.624392086071126,3.7147581582490542e-05,8.2594662738082745e-05
50,259289708472.6308,0.0011538049881758229,259289708472.62964,224725764864797.81,1.5550873293411836e+19,9.490065945190496e-06,1.4881789251575128e-05,5.569131697838239e-12,-1.7449250381125608e-05,-72.776717503305051,2.4183338165638655e-05,4.803717264913355e-05
60,232552557747.28494,0.0012144182628075902,232552557747.28372,191492968171979.84,1.2986035389304175e+19,4.499804048243376e-06,3.6231412335469004e-06,8.712512691517946e-13,9.7782269814348965e-07,-69.129586902941554,6.1489121741753274e-06,1.5538318006432943e-05
