"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
50,0.016901939707295997,0.01690193970729721,0.01690193970729572,0.016901939707296015,26530.550706352573,26530.55070635373,26530.550706353122,26530.55070635381,39487.3454561121,39487.345456115305,39487.34545611096,39487.345456111536
60,0.02075296606085866,0.02075296606085845,0.020752966060858073,0.02075296606085841,31360.247217425407,31360.24721742698,31360.247217428263,31360.24721742804,49091.930264129565,49091.930264128125,49091.930264126306,49091.930264127455
70,0.024772594627481756,0.0247725946274798,0.024772594627481742,0.024772594627480618,36134.73712435615,36134.73712435574,36134.73712435534,36134.737124355175,59250.342509862356,59250.34250985646,59250.34250986273,59250.3425098593
80,0.02897178942272191,0.02897178942272045,0.028971789422720735,0.028971789422721078,40908.5288245127,40908.52882451085,40908.52882451042,40908.52882450947,69969.54776852365,69969.54776852002,69969.54776852112,69969.54776852267
90,0.033372833842254146,0.03337283384225413,0.03337283384225535,0.03337283384225503,45723.6700112338,45723.670011232556,45723.670011235095,45723.670011235896,81298.07086908394,81298.0708690845,81298.07086908705,81298.07086908564
100,0.038009155235157334,0.03800915523515785,0.03800915523515646,0.03800915523515762,50609.1165768012,50609.11657680388,50609.1165768051,50609.116576807224,93325.76391870719,93325.76391870745,93325.7639187025,93325.76391870505
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
-150,-0.06654708707211814,-76476.39504533811,-169461.82455010916
-140,-0.05991116931075993,-71098.51561184022,-151439.4104548787
-130,-0.053810818132476464,-65824.63038031383,-135036.55538561233
-120,-0.048171297392180616,-60653.099788147585,-120020.82024381829
-110,-0.042924386123979634,-55582.53013911342,-106179.97751464939
-100,-0.03800915523515608,-50609.11657680501,-93325.76391870137
-90,-0.03337283384225454,-45723.67001123514,-81298.0708690845
-80,-0.028971789422721154,-40908.528824509915,-69969.54776852268
-70,-0.024772594627481357,-36134.73712435569,-59250.34250986136
-60,-0.020752966060858122,-31360.247217427805,-49091.930264126684
-50,-0.016901939707295987,-26530.550706353402,-39487.34545611165
-40,-0.013217966072153312,-21583.955378267496,-30462.59806665063
-30,-0.009703011937660613,-16464.009909685756,-22052.05227880448
-20,-0.006351433352040588,-11139.599082461616,-14253.650371505108
-10,-0.0031360667682644684,-5627.029396892809,-6974.458985275407
0,-3.426888724789023e-16,1.1641532182693481e-10,-1.127773430198431e-09
10,0.003136066768264517,5627.0293968932165,6974.458985275356
20,0.006351433352040709,11139.599082461464,14253.650371505566
30,0.009703011937660837,16464.009909685457,22052.052278805328
40,0.013217966072153179,21583.95537826776,30462.598066650073
50,0.01690193970729588,26530.55070635334,39487.34545611135
60,0.020752966060858212,31360.247217427448,49091.930264127135
70,0.02477259462748172,36134.73712435512,59250.34250986277
80,0.028971789422720974,40908.52882451086,69969.54776852165
90,0.033372833842255076,45723.6700112349,81298.07086908628
100,0.038009155235155974,50609.116576805354,93325.76391870086
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,286685067.63369465,20729.433698919936,286664338.19999576,13829.855257870926,1.2245074822305907e+17,9.604264050722122e-09,7.246853783726692e-09,1.0547118733938987e-15,150937.57144786778,2.060386184514364e-07,7.2989222024012397e-09,2.6297648503259552e-08
-140,262199849.52186611,22909.567272223612,262176939.9545939,11444.99354380066,1.9080749551067494e+17,2.648448571562767e-09,4.743924364447594e-09,1.096345236817342e-15,143651.97836368138,1.8770808068087341e-07,5.1606139857768734e-09,1.4314533558490439e-08
-130,240307877.52858543,25318.987494959183,240282558.54109049,9491.2119837504906,1.4935517637143572e+18,8.294591680169106e-10,2.3865140974521637e-09,7.147060721024445e-16,136448.05041325759,1.7130541961242184e-07,2.7620800420863524e-09,1.154332096575672e-08
-120,220791558.30912921,27981.808654549885,220763576.50047466,7890.5392083448533,4.013091593632944e+17,2.4811015464365482e-09,2.0372681319713593e-10,3.7470027081099033e-16,129260.38178921882,1.5668226094010852e-07,3.5774904031786449e-09,1.3767966322575376e-08
-110,203457001.26180288,30924.681160165994,203426076.58064273,6579.1139513469052,7.677213922042848e+17,8.440110832452774e-10,3.2159732654690742e-09,1.1171619185290638e-15,122029.55911357646,1.4370639677122989e-07,3.9948406640471886e-09,1.2599649323874473e-08
-100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,3.7882982756749786e+17,2.7794158086180687e-09,2.2264430299401283e-09,6.314393452555578e-16,114716.77557517331,1.3225792909950922e-07,2.6570229208781322e-09,1.0209824097273668e-08
-90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,5.7142459506573434e+17,2.2118911147117615e-09,3.041350282728672e-09,6.938893903907228e-16,107322.00549764722,1.2222738913298553e-07,4.1902033964521447e-09,1.2156334605606389e-08
-80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.2331065152656026e+18,7.930793799459934e-10,8.003553375601768e-10,3.8163916471489756e-16,99900.012407406015,1.1351676088850717e-07,2.2056083346114054e-09,7.5223596240903134e-09
-70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,2.2012396268840689e+18,4.511093720793724e-10,1.2150849215686321e-09,4.128641872824801e-16,92567.457642257039,1.0603885414999298e-07,1.6916833027798222e-09,5.3129980415178579e-09
-60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,4.2481134210988678e+17,4.94765117764473e-10,1.862645149230957e-09,6.765421556309548e-16,85498.156372409576,9.9715608251083527e-08,1.2882769353812977e-09,4.9576556193642318e-09
-50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,3.9192184673963994e+17,5.311449058353901e-10,8.440110832452774e-10,2.185751579730777e-16,78909.320978557022,9.4478571841575846e-08,8.0396726388370475e-10,3.2187301712838234e-09
-40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,2.7315270911769487e+18,4.838511813431978e-10,7.057678885757923e-10,2.0122792321330962e-16,73043.692939810819,9.0269148745377923e-08,1.0112458929432934e-09,4.1112002691079397e-09
-30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,6.5959913600059558e+17,8.149072527885437e-10,7.494236342608929e-10,3.5908775952719907e-16,68149.689182352478,8.7038664202596465e-08,1.2556730950411492e-09,4.9646473598841112e-09
-20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.0940177086042724e+18,7.275957614183426e-10,7.748894859105349e-10,1.6479873021779667e-16,64458.836571123415,8.4749742185723268e-08,7.7675713847887678e-10,3.4891627365141176e-09
-10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,9.297458507128215e+17,5.020410753786564e-10,5.748006515204906e-10,1.0408340855860843e-16,62160.856376163705,8.3377660339780389e-08,7.5361467433782081e-10,3.2202365218836349e-09
0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,2.8194432489799907e+17,1.5243131201714277e-09,1.949956640601158e-09,4.242814611643552e-16,61380.387731260606,8.2437718853747321e-08,3.3993133681287771e-09,1.1778297448472586e-08
10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,1.3746242416403919e+18,1.04046193882823e-09,9.604264050722122e-10,1.444157293750692e-16,62160.856376163734,8.3377660339780416e-08,8.3742311348579854e-10,3.6415599424799439e-09
20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.2104025712223514e+18,5.602487362921238e-10,7.8580342233181e-10,1.97758476261356e-16,64458.836571123851,8.4749742185723228e-08,8.5308114575415819e-10,3.4123104342143051e-09
30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,4.5120829292214682e+17,1.418811734765768e-10,8.512870408594608e-10,2.498001805406602e-16,68149.689182352464,8.7038664202596465e-08,1.0397417184643053e-09,3.8871803553774953e-09
40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,4.071025953193808e+17,5.165929906070232e-10,1.1896190699189901e-09,2.96637714392034e-16,73043.692939811895,9.0269148745377909e-08,8.8031961642928978e-10,3.3305411761830328e-09
50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,1.2037599578433388e+18,7.275957614183426e-10,1.3242242857813835e-09,4.753142324176451e-16,78909.320978557094,9.4478571841575832e-08,1.7134185502423701e-09,7.3199544203816913e-09
60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,5.7216777640399686e+17,5.784386303275824e-10,8.294591680169106e-10,2.706168622523819e-16,85498.156372409736,9.9715608251083527e-08,1.1100106040943769e-09,4.2408885292388732e-09
70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,1.5675494312663288e+18,1.076841726899147e-09,1.5934347175061703e-09,5.342948306008566e-16,92567.457642257417,1.0603885414999301e-07,1.6656110768094612e-09,6.2231464426076855e-09
80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.6328031098688328e+18,1.367880031466484e-09,1.2514647096395493e-09,2.1510571102112408e-16,99900.012407407994,1.1351676088850715e-07,1.2995725642469571e-09,5.2571920150512597e-09
90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,3.9831655597233172e+18,8.731149137020111e-10,1.2660166248679161e-09,3.469446951953614e-16,107322.00549764563,1.2222738913298542e-07,1.5785021189787897e-09,5.620989895760431e-09
100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,1.8042666605547597e+18,1.1350493878126144e-09,2.663000486791134e-09,6.800116025829084e-16,114716.77557517517,1.3225792909950911e-07,1.4505764215263792e-09,5.6293032457688241e-09
