"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
-150,-0.06654708707211993916303392777128403155896217550524915984660277826041098048298106,-76476.395045336780996621030846586619412336527769706437819462401100103649580116466,-169461.82455011545009554964048823153138283762044105169519669431249764407255170125
-60,144157298.53041928174795175740862069022110431748399317433376994061632396970249385,50986.179618385186952521824527921212518039588717708981739610584860585135065006106,144106312.35080089656099923558409276900858627789527546535203033003146338456742884,2827.379882340456315054507605645321066781328127148836486446031204223632026237197,288314597.0608385634959035148172413804422086349679863486675398812326479394049877,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,437996.31216472484479384735784129586124238120361395004807757024057053654610329983,-2.2636805576330922639116582096803232440452592584689473351242770362073106517152197e-76,2.3171508851301501182743599646128327646106320004197852248060913310879031503544125e-76,9.0885357590990983843235087456548763338312722795572582397390609902760643738839122e-76
-50,136950963.80441567814014392162191057949952859155092799216741074613922485484916464,56348.442938020628877087339346046324194339598710356508460551753707813087875053107,136894615.36147765751126683428256453317533425195221763565895019438551704176128959,2430.4303129556254197688726261734239844589331977066785591131907556882526216599399,273901927.60883135628028784324382115899905718310185598433482149227844970969832928,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,467039.83717942041021991955037170908190881846494300924988179015158537575394972551,-2.835256935467518716071022687068446939224108931392577087592405447049958069740048e-77,1.4824038608233837378701114239766200796419131886086361546498002328364433713848599e-76,5.6749370892783260396767535717179358989739133776593952795066575220516012043473155e-76
-40,131095553.3489837312764753354732823168632149453809225612980810769314732266181358,62274.660413945500006351999126613858535828169054738586977325707815071888812592171,131033278.68856978577646898347415570300467911721186782271110375122365815472932321,2105.1187188750498295616818138668979688701563564900817399980732483462155613002701,262191106.6979674625529506709465646337264298907618451225961621538629464532362716,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,502183.44856064680871941233513767561543252596453695439336554082638351462818507539,-3.166232696480162320480864699714453672210305589518925181176325272896017009813096e-76,2.7017919926948940547792899791101930741483725474063389603321680905571872767360522e-76,9.0607576368249728999757410316930299412595811943820161859783945468006960916214071e-76
-30,126533426.34564913975009580282808358230357569583937100292106460801147871613033921,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,126464602.2020266104094132386535914718051836346836673185639472984166921956011236,1838.5034623842216454396660976314817825308460181699255008070126059985985444794119,253066852.69129827950019160565616716460715139167874200584212921602295743226067842,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,543915.55120821187086396875710752105993436193895672477281200921007658509660631384,3.968062863593891766734962113584216255057212878296094263853367538629019251004799e-77,2.1206915008196568368462551748743134125577130677656782141325948896204878073267906e-76,6.4477573825488246035601973027575919837163112148680861739560474470916256728291997e-76
-20,123219838.66936818401169992618936515141202933629456191612835823820593457461482536,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,123143776.2273751030334700232887236527830328970273752336445785801814618837782988,1619.9826805531286971515755248251650884647977982788672530076946273722832896655279,246439677.33873636802339985237873030282405867258912383225671647641186914922965072,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,1.0706919786093500149729020520821113054705429528968015480547728072375459045516162e-82,591930.35114466257316991538561836087148580912376311012856751645353706038571099917,3.0342031559462950110529404810961788512645551360319374921354237176702834318848811e-76,1.8154745911038748749730164166145143291792723887919437843196481353037368815111819e-76,5.8942645439983420855139997589518606276281522367043828976071036979015804913362462e-76
-10,121122497.3627004207093539967927336733025933997725761720666584679371896674926356,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,121038435.36385185171145452427598193987184618399457694112779311959913454460908711,1440.8710121310934084968258193803446223361892060289580990465990642424680995304993,242244994.72540084141870799358546734660518679954515234413331693587437933498527119,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.0597013574637308959245558253101725847507480629729361758480775997023115000521371e-83,644544.33041605088050716021504727347782822608610935591606562709614339520987330988,-3.0523228359858876054348475574828475422212998159343333035024246875374043525906855e-76,2.3730360520836020788858857667687154621141779255575394003394403738777102984471414e-76,7.3134063423955444697509388134460217920408608370390068286300400858179169635098518e-76
0,120221239.61384443625916274524009692238467616209692302312709201999649089181216489,92902.876442747033460433438324456334359266544372428101542758556697575101967615413,120128336.73740168922570231180177246605031689555255059502554926143979331671019727,1294.0529315896134330339158012905684887327070252371135621484708527104504056371416,240442479.22768887251832549048019384476935232419384604625418403999298178362432977,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.7708981792334463476033846837804505811793623958625987382640515858928841108793835e-82,698613.58760449449706531079364962936354925457094216974745713866160113429587254622,-5.0290441524014471818007927081849232040617455401019922485391407256204508254910166e-76,2.7783358444341811553119216666607383986206782766983197342548054495362775324478817e-76,8.4165168085063060862395442070743899701369183754044178868788045602438604665929217e-76
10,121122497.3627004207093539967927336733025933997725761720666584679371896674926356,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,121038435.36385185171145452427598193987184618399457694112779311959913454460908711,1440.8710121310934084968258193803446223361892060289580990465990642424680995304993,242244994.72540084141870799358546734660518679954515234413331693587437933498527119,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,5.7652645002041923883156264342882916448413851309827775664487766543560164091240873e-83,750484.23466415406167365890836795610977387183151167718557192048614134520263156651,-1.9225456664006876746359796136890467997812129319716698138801937384348743325803304e-76,1.9255030664547793850996856686342143076111038242851755964209086612678900507238615e-76,5.6124885895693518394779781318922591160125264058432074875169938248893362229101282e-76
20,123219838.66936818401169992618936515141202933629456191612835823820593457461482536,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,123143776.2273751030334700232887236527830328970273752336445785801814618837782988,1619.9826805531286971515755248251650884647977982788672530076946273722832896655279,246439677.33873636802339985237873030282405867258912383225671647641186914922965072,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,7.4124829288339616421200911297992321147960665969778568711484271270291639545881122e-83,797504.18092150122491499648946672432462503578167021314118946546935361184456745777,-7.671022792219821653534874834841695194935814388604358010091642437132620986570539e-77,1.5463515094719845718509901376070599438849713919552463292078304656441379372410681e-76,5.1627765210301309663882699026444239513109158450969519981151497433458398504263514e-76
30,126533426.34564913975009580282808358230357569583937100292106460801147871613033921,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,126464602.2020266104094132386535914718051836346836673185639472984166921956011236,1838.5034623842216454396660976314817825308460181699255008070126059985985444794119,253066852.69129827950019160565616716460715139167874200584212921602295743226067842,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.8362543908528889902163570431682237598249602040843175756132739432944114097709592e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,838774.03748256868816044724097551767457182384072455681010042460551846403461140806,9.9171590058906491778217702111460884618607391149962296510990345942814594265165859e-77,1.0495577998344402779194082864426325611637433422119907428493182419454250465517863e-76,3.7919310971949266924603661511704009250234936913722313441728207698079332285310309e-76
