voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-6.960367202741064e-11,-0.0003877382584231287,-2.337079596761993e-05,-50,780313748805.677,0.00069147046940894164,780313748805.67627,1128484560552061.2,7.4359435532971114e+19,0.000241261650956375,9.434996519155914e-05,6.712491438041257e-11,0.00026649424956298165,-41.201900321867392,0.00033973564030150499,0.00059189788005727844,-50,-6.826852492686158e-11,-6.960367202741064e-11,-2.4906766693011156e-11,-2.4787576469980736e-12,-0.0003954842686653137,-0.0003877382584231287,-0.00015422261770893872,-0.00015743123262389636,-1.5330665064539062e-05,-2.337079596761993e-05,-6.251664670386236e-07,7.097916922393921e-05
-40,-1.4247228901737922e-11,-0.00013019542804634798,2.0630707463442644e-05,-40,698479682242.38867,0.0007277957495832846,698479682242.38794,959719375446089.75,1.5110575175290978e+21,1.3956891635767037e-05,3.420048825847344e-05,1.147277567727194e-11,-1.8289922515119542e-05,-60.583963111084053,3.9232149545261184e-05,9.624379718252051e-05,-40,-1.504162931164501e-11,-1.4247228901737922e-11,-2.1925022219117544e-11,-2.572000457900986e-11,-0.00012264400720596313,-0.00013019542804634798,-0.00013660089884173017,-0.00013340978035132332,1.4375595014826104e-05,2.0630707463442644e-05,-1.2970731795372307e-07,-1.3569780795030795e-05
-30,-2.4814886888800042e-11,-0.0001536125454883186,-6.4343664660238e-07,-30,625277489501.18213,0.00076602931946502821,625277489501.1814,816257907644915.0,3.0913755095701828e+20,4.0030101765309404e-05,3.221057272537079e-05,1.135782289468669e-11,5.8969514019925225e-06,-78.457126461922925,5.5442252406003029e-05,0.00010548013112323082,-30,-2.528688306406366e-11,-2.4814886888800042e-11,-1.809930509035966e-11,-2.945712798504635e-11,-0.00015070289373397827,-0.0001536125454883186,-0.0001135824437230092,-0.00012005906915046171,-3.5714091382033075e-06,-6.4343664660238e-07,3.0150559945821494e-07,-3.190906712591257e-05
-20,-1.2515568462662794e-11,-7.696863484357719e-05,-5.780061196059005e-07,-20,559799971173.12097,0.00080627142796044075,559799971173.12012,694307092822576.37,6.900270043352489e+20,2.395496070401998e-05,7.672668537600513e-06,4.200470714439056e-12,-4.119945377541672e-05,-88.903243854896829,2.8333899631078472e-05,6.5276531955086198e-05,-20,-1.1589395888995568e-11,-1.2515568462662794e-11,-1.5789866603434624e-11,-1.389483016799959e-11,-8.185207843780518e-05,-7.696863484357719e-05,-0.00010004428698999604,-0.00010092359554759717,4.754391625283461e-06,-5.780061196059005e-07,7.404125229798443e-07,7.094662417994613e-06
-10,-1.390106492212127e-11,-8.800662356983624e-05,6.167171465870647e-07,-10,501235502157.67657,0.00084862759038956896,501235502157.67572,590642477140745.12,1.1576221710601914e+20,1.4921080140279668e-05,1.792303941177663e-06,2.9646112212261247e-12,1.1617375645961078e-05,-92.13152399807926,2.213617056540502e-05,4.3264724605881981e-05,-10,-1.3789148179921539e-11,-1.390106492212127e-11,-1.212949737881137e-11,-1.5094108600037494e-11,-8.800625801086426e-05,-8.800662356983624e-05,-7.822388491317559e-05,-9.314496505345525e-05,9.65837557487248e-07,6.167171465870647e-07,1.2545848448169738e-06,-5.377190963606893e-07
0,-1.9058526732503966e-12,-2.3343686290977494e-05,5.723488984282765e-06,0,448857976394.99799,0.00089320886514874815,448857976394.99707,502522975206083.12,3.9407460528556894e+20,5.111255418095882e-05,5.042126529053448e-05,2.3177236944903663e-11,-6.7642451842551331e-05,-91.200184724763687,9.8421388650629554e-05,0.00019318612129224597,0,2.3368875044980094e-13,-1.9058526732503966e-12,-1.0943003309283808e-11,-2.2943548194453864e-11,-3.0621886253356934e-05,-2.3343686290977494e-05,-7.21379072571169e-05,-7.445624047193632e-05,1.604030876478646e-05,5.723488984282765e-06,1.914761027797501e-06,-3.438095652574802e-05
10,-6.10524908540338e-12,-5.1462470331331556e-05,6.6761506294504835e-06,10,402017810761.08313,0.00094013214490712969,402017810761.08221,427618407623745.5,1.5483787529888504e+20,1.174506258867093e-05,1.0851184682358905e-05,5.155579372726516e-12,-1.1699318723679316e-05,-88.30641969088903,2.2039333202342616e-05,4.7719683780310404e-05,10,-5.591654951467717e-12,-6.10524908540338e-12,-9.098120765478382e-12,-1.0747234324194233e-11,-5.272775888442993e-05,-5.1462470331331556e-05,-6.241233286877916e-05,-6.320753292000249e-05,8.911772852115973e-06,6.6761506294504835e-06,2.810034207553175e-06,-1.939411830242932e-06
20,-1.2320026471987876e-11,-9.068071471451944e-05,6.8883396544261455e-06,20,360133896574.19067,0.00098952046310074528,360133896574.1897,363947902043057.25,3.9824002019018613e+19,4.35158570703877e-05,2.4530931308053283e-05,1.2162110892579975e-11,5.5957984105902881e-05,-84.590090368163374,6.159243084730029e-05,0.00011670216689882096,20,-1.2395915898787279e-11,-1.2320026471987876e-11,-6.256598066933055e-12,-2.338050062073036e-13,-8.430331945419312e-05,-9.068071471451944e-05,-4.7164857644131736e-05,-5.7446886860686856e-05,3.462783638497058e-06,6.8883396544261455e-06,4.054969187443349e-06,2.799371494655034e-05
30,-1.4550012895788631e-11,-9.798378485292858e-05,3.5798671587095043e-06,30,322686398924.44073,0.00104150331652774,322686398924.4397,309827528922560.19,6.7511732381806404e+19,5.470865764347245e-05,1.3643974593691155e-05,1.3135856414302932e-11,5.5098394636359961e-05,-80.606297136580295,8.5367370929998073e-05,0.00015153375992224907,30,-1.485677875220972e-11,-1.4550012895788631e-11,-5.772540905804822e-12,-1.7209223379067883e-12,-9.857118129730225e-05,-9.798378485292858e-05,-4.764664681708889e-05,-4.38625236538298e-05,2.916118887696939e-06,3.5798671587095043e-06,5.806653914771591e-06,1.6560093481388094e-05
40,-8.386448534787544e-12,-6.313851185879571e-05,5.3943229244429736e-06,40,289210314559.84442,0.0010962170048906237,289210314559.84332,263825787475994.03,3.2002655884333056e+19,3.0961354292802294e-05,1.66563257324448e-05,7.727203619914146e-12,2.8929830179436067e-05,-76.624392086071126,3.7147581582490542e-05,8.2594662738082745e-05,40,-9.464048608197117e-12,-8.386448534787544e-12,-2.5007876471963526e-12,-1.7368449882829718e-12,-5.631148815155029e-05,-6.313851185879571e-05,-3.2177157565993416e-05,-4.1389410403492663e-05,-1.382485038448067e-06,5.3943229244429736e-06,8.283373891622324e-06,1.5273840693996732e-05
