"{'distance': [0.319, 0.324, 0.478, 0.529, 0.68, 0.696, 0.848], 'solute_2': [15.01, -12.32, 13.62, -0.1, 12.99, -9.76, 13.91], 'solute_1': [16.4, -10.74, 4.21, -7.11, 17.16, -0.91, 18.56]}","{'solute_1i': '291.0 nM', 'solute_2e': '357.0 mM', 'solute_1e': '126.0 M', 'solute_2i': '447.0 M'}"
voltage,current,solute_2,solute_1
-150,-0.0012513616526986825,-5.475532708209166,-3902.885369409574
-140,-0.0008768363601854997,-4.155368368364265,-2734.615075445967
-130,-0.0005991224867265044,-3.015740789041946,-1868.412500162609
-120,-0.00039702027317292383,-2.024051493248912,-1238.1274036320392
-110,-0.0002535310062121341,-1.1118518325664468,-790.7393494024873
-100,-0.00015487214622657075,-0.14212166112077407,-483.30018207384273
-90,-8.971643409800962e-05,1.1326060634517945,-280.58014228893444
-80,-4.87004743412196e-05,3.1017340642093467,-153.5498506189324
-70,-2.4191916431163546e-05,6.274744313154924,-78.64272930752486
-60,-1.0217975548603129e-05,11.155377024132846,-37.46899796463549
-50,-2.4165506051174785e-06,18.012964790415793,-16.548775170231238
-40,2.1005516117832833e-06,26.669507176002107,-6.778724837116897
-30,5.015575672128274e-06,36.485918510717674,-2.5888529128860682
-20,7.166959664031946e-06,46.59869501714097,-0.9305595434270799
-10,8.907093424027152e-06,56.23693300536586,-0.3185494489152916
0,1.0365188761720242e-05,64.91178133819332,-0.10511425923323259
10,1.159202892544907e-05,72.42733708464671,-0.03380298224510625
20,1.261916470176421e-05,78.79270275040389,-0.010693754215026274
30,1.3475441330832111e-05,84.123072533779,-0.0033548348292242736
40,1.4188543774980504e-05,88.56979038310719,-0.0010507003535167314
50,1.478354017973104e-05,92.28243460377884,-0.0003303489211248234
60,1.5281906237066497e-05,95.39288308399185,-0.00010497187577129807
70,1.5701399270352197e-05,98.01129913555609,-3.386755270184949e-05
80,1.6056429891031695e-05,100.22742504063922,-1.123744914366398e-05
90,1.635861031671277e-05,102.11368009504355,-3.853037469525589e-06
100,1.661729903607071e-05,103.7284611676593,-1.3826102076563984e-06
"{'distance': [0.319, 0.324, 0.478, 0.529, 0.68, 0.696, 0.848], 'solute_2': [15.01, -12.32, 13.62, -0.1, 12.99, -9.76, 13.91], 'solute_1': [16.4, -10.74, 4.21, -7.11, 17.16, -0.91, 18.56]}","{'solute_1i': '291.0 nM', 'solute_2e': '357.0 mM', 'solute_1e': '126.0 M', 'solute_2i': '447.0 M'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-30,3271479256493.5581,0.010722266883655143,3271479256493.5474,305110784127239.94,7.0682871944887001e+19,1.126702173337435e-06,1.7971779016079381e-06,4.511918885857498e-13,1.4164350884585827e-06,-94.808330805144109,1.6866335754148355e-06,3.7109965841607228e-06
-20,3407442556829.4204,0.012108680551148597,3407442556829.4082,281404942713283.44,5.5028143071179932e+19,1.414422037271379e-06,8.908430939591483e-07,5.883571743274833e-14,1.3192447562862003e-06,-108.4232918300745,1.1288623202456095e-06,2.5183709663715229e-06
-10,3549102866849.8799,0.013674360681440392,3549102866849.8662,259544336260408.94,3.2929863839681033e+20,4.2422125545726885e-07,1.0086353623428579e-06,2.948181199088082e-13,2.6904360422210139e-07,-125.61541237463751,1.4160646116122419e-06,2.516601358291153e-06
0,3696692595469.5195,0.015442486838781602,3696692595469.5039,239384539165402.03,5.1345471401302709e+21,1.6305372696479026e-07,1.1831350554825093e-06,3.7135649813742084e-13,-1.2960394483483714e-07,-146.2776823167049,1.7966401443373684e-06,3.333535395453676e-06
10,3850454570631.3442,0.017439235758173938,3850454570631.3267,220792620962567.06,1.2765043415090311e+21,4.117216718668715e-07,1.4102147360972594e-07,6.658964083806375e-14,2.6544009831189914e-07,-170.14147253950043,3.1939535585770096e-07,7.6006879343649717e-07
20,4010642346286.5464,0.01969416888641284,4010642346286.5269,203646184280135.81,4.1198110199772807e+20,5.6235592182929395e-08,3.7436368996619784e-07,1.2253379192382619e-13,-3.1487222511613625e-08,-196.83339779892623,5.2851390759619573e-07,9.1906096588811424e-07
30,4177520546172.272,0.022240670033075147,4177520546172.2495,187832495152335.09,4.7486592314775825e+21,4.812417842003924e-08,2.7807807618813324e-07,9.659134454190373e-14,1.6569853688603354e-08,-225.93170121460727,4.3309436279774417e-07,7.5068175150138003e-07
40,4351365241034.1655,0.025116439610781846,4351365241034.1406,173247693879598.91,1.1886428651229332e+21,1.5712714684923412e-07,2.1785972137422505e-07,5.4385483407872436e-14,-9.790448541637727e-08,-257.00708719894197,2.6896084798608484e-07,4.8033743708074823e-07
50,4532464356841.3662,0.028364052781858919,4532464356841.3379,159796076805365.41,4.6310818254789634e+20,1.624783109832606e-06,3.888788171479973e-07,3.1249249912159664e-13,9.394745215986728e-07,-289.64420215684294,1.3677338971092199e-06,2.6609351073626777e-06
60,4721118112252.4863,0.032031589774639831,4721118112252.4541,147389441032062.28,3.3459203130853769e+22,1.0574545683539327e-07,2.483316023926818e-07,8.62471342445454e-14,-1.0775264990409285e-08,-323.44855711519085,2.5178993491967114e-07,5.9495496165703976e-07
