voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.01814612700543138,-56635.85207687697,-50,791540337121.09009,115459.99960057455,791540221661.09045,6855537.3277270589,7.6925068786816424e+22,7.275957614183426e-12,3.469446951953614e-18,0.0,-791540452581.08972,2.0579515874459978e-11,2.9103830456733704e-11,-50,-0.018146127005431383,-0.01814612700543138,-56635.852076876974,-56635.85207687697
-40,-0.014566938464593011,-45464.85163730653,-40,804341282293.23389,116820.99330747043,804341165472.2406,6885246.0462840302,3.9084558023615679e+22,7.275957614183426e-12,1.734723475976807e-18,0.0,-804341399114.22717,0.0,0.0,-40,-0.014566938464593013,-0.014566938464593011,-45464.851637306536,-45464.85163730653
-30,-0.010371911756238389,-32371.75953882144,-30,829974340312.4762,121493.99300838527,829974218818.48315,6831402.275626854,4.0330119783941377e+22,7.275957614183426e-12,1.734723475976807e-18,0.0,-829974461806.46924,0.0,0.0,-30,-0.01037191175623839,-0.010371911756238389,-32371.759538821447,-32371.75953882144
-20,-0.004997758546278365,-15598.497335450578,-20,869376196279.59399,131669.16774996216,869376064610.42627,6602731.7642846107,inf,1.4551915228366852e-11,5.204170427930421e-18,0.0,-869376327948.76172,0.0,0.0,-20,-0.00499775854627836,-0.004997758546278365,-15598.497335450564,-15598.497335450578
-10,0.0025877795717909225,8076.715267761931,-10,923733676708.00098,151035.63837608794,923733525672.36255,6115998.0958126439,inf,1.4551915228366852e-11,4.7704895589362195e-18,0.0,-923733827743.6394,4.1159031748919956e-11,5.8207660913467407e-11,-10,0.0025877795717909177,0.0025877795717909225,8076.715267761916,8076.715267761931
0,0.014209320254813071,44348.68993387351,0,994512506679.78662,185805.75288549409,994512320874.03369,5352431.1881380314,inf,7.275957614183426e-11,2.2551405187698492e-17,0.0,-994512692485.53955,8.2318063497839911e-11,1.1641532182693481e-10,0,0.014209320254813048,0.014209320254813071,44348.68993387344,44348.68993387351
10,0.03302556114064178,103076.03352260232,10,1083491549417.1543,246439.32686408274,1083491302977.8274,4396585.4119327562,inf,4.3655745685100555e-11,1.3877787807814457e-17,0.0,-1083491795856.4812,4.1159031748919956e-11,5.8207660913467407e-11,10,0.033025561140641764,0.03302556114064178,103076.03352260227,103076.03352260232
20,0.064442425530465,201131.16582542137,20,1192803284244.7041,350546.18672695762,1192802933698.5173,3402699.3571999264,inf,2.9103830456733704e-11,1.3877787807814457e-17,0.0,-1192803634790.8909,0.0,0.0,20,0.06444242553046499,0.064442425530465,201131.16582542134,201131.16582542137
30,0.11765577545611748,367215.2792013654,30,1324981406337.1895,527772.23698766029,1324980878564.9524,2510517.4419551147,inf,0.0,0.0,0.0,-1324981934109.4265,0.0,0.0,30,0.11765577545611748,0.11765577545611748,367215.2792013654,367215.2792013654
40,0.20825782784351674,649993.2204853831,40,1483016577975.1069,828024.53986552032,1483015749950.5671,1791029.7419638843,1.8015688355138297e+22,1.1641532182693481e-10,2.7755575615628914e-17,0.0,-1483017405999.6467,1.6463612699567982e-10,2.3283064365386963e-10,40,0.20825782784351676,0.20825782784351674,649993.2204853832,649993.2204853831
50,0.36263741075163725,1131827.1246930002,50,1670421529305.4475,1335317.2007556262,1670420193988.2468,1250954.8505480145,inf,2.3283064365386963e-10,5.551115123125783e-17,-2.3283064365386963e-10,-1670422864622.6484,0.0,0.0,50,0.3626374107516372,0.36263741075163725,1131827.124693,1131827.1246930002
60,0.6254027664533898,1951943.71552244,60,1891306900330.2744,2191079.1710227127,1891304709251.1033,863185.10318706743,inf,4.656612873077393e-10,1.1102230246251565e-16,0.0,-1891309091409.4456,6.5854450798271929e-10,9.3132257461547852e-10,60,0.6254027664533899,0.6254027664533898,1951943.7155224404,1951943.71552244
70,1.0718954812773436,3345491.5145984506,70,2150469439062.1609,3633389.9945567604,2150465805672.1663,591863.09267208131,3.2654883808168211e+21,9.313225746154785e-10,4.440892098500626e-16,9.3132257461547852e-10,-2150473072452.1553,1.975633523948158e-09,2.7939677238464355e-09,70,1.0718954812773431,1.0718954812773436,3345491.5145984497,3345491.5145984506
80,1.8292786013455882,5709358.930541786,80,2453494428155.8765,6063028.2376535675,2453488365127.6387,404664.85260926234,3.7256319025216755e+21,9.313225746154785e-10,2.220446049250313e-16,0.0,-2453500491184.1143,1.3170890159654386e-09,1.862645149230957e-09,80,1.829278601345588,1.8292786013455882,5709358.930541785,5709358.930541786
