voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-30,-0.05009698472886446,-104238.42015993437,-30,2345246726.5167866,172905.28022655426,2345073821.2365599,13563.765799655497,inf,2.9103830456733704e-11,1.3877787807814457e-17,2345246732.8905797,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-30,-0.05009698472886447,-0.05009698472886446,-104238.4201599344,-104238.42015993437
-20,-0.048207710571818954,-100307.34617523711,-20,1528047433.7950647,176259.78917351429,1527871174.0058911,8669.2911693592159,7.425089411471265e+19,0.0,0.0,1528047443.9608202,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-20,-0.048207710571818954,-0.048207710571818954,-100307.34617523711,-100307.34617523711
-10,-0.04638853414048603,-96522.12680084484,-10,995600793.87610614,180534.50369636444,995420259.37240982,5514.739695136489,4.8378243331195666e+19,2.9103830456733704e-11,1.3877787807814457e-17,995600810.24446726,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-10,-0.04638853414048604,-0.04638853414048603,-96522.12680084487,-96522.12680084484
0,-0.04463619678908725,-92875.98166684821,0,648685102.64345825,185805.75288549409,648499296.89057279,3491.2003130668472,3.1520914283006517e+19,0.0,0.0,648685129.25404096,0.0,0.0,0.0,0,-0.04463619678908725,-0.04463619678908725,-92875.98166684821,-92875.98166684821
10,-0.04294715267823745,-89361.53283029015,10,422652514.22871512,192158.76199124078,422460355.46672386,2199.4964468389999,inf,1.4551915228366852e-11,6.938893903907228e-18,422652557.91115707,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,10,-0.04294715267823744,-0.04294715267823745,-89361.53283029013,-89361.53283029015
20,-0.04131721973603444,-85970.07851859018,20,275381919.66061616,199688.56573266856,275182231.0948835,1379.0570263761695,1.3381367479260299e+19,1.4551915228366852e-11,6.938893903907228e-18,275381992.06100845,-2.9103830456733704e-11,0.0,0.0,20,-0.04131721973603443,-0.04131721973603444,-85970.07851859016,-85970.07851859018
30,-0.039740783118933094,-82689.93574476299,30,179429736.4694621,208501.01960451558,179221235.44985759,860.57006728218482,8.7188629628837212e+18,0.0,0.0,179429857.61064351,0.0,0.0,0.0,30,-0.039740783118933094,-0.039740783118933094,-82689.93574476299,-82689.93574476299
40,-0.03820878320936173,-79502.25386883423,40,116915938.91243197,218713.91953272006,116697224.99289925,534.56103371116762,1.8937333733928845e+18,0.0,0.0,116916143.48563726,0.0,0.0,0.0,40,-0.03820878320936173,-0.03820878320936173,-79502.25386883423,-79502.25386883423
50,-0.036703224595151025,-76369.5892533313,50,76192403.05261156,230458.2413282643,75961944.81128329,330.61262037526029,3.7023757303945907e+18,2.9103830456733704e-11,1.3877787807814457e-17,76192751.583944038,0.0,8.2318063497839911e-11,1.1641532182693481e-10,50,-0.03670322459515104,-0.036703224595151025,-76369.58925333133,-76369.5892533313
60,-0.03518142167058396,-73203.12457466492,60,49672834.335692883,243879.51260493428,49428954.823087946,203.67776614413276,inf,2.9103830456733704e-11,1.3877787807814457e-17,49673433.021665193,-2.9103830456733704e-11,0.0,0.0,60,-0.03518142167058395,-0.03518142167058396,-73203.1245746649,-73203.12457466492
