voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-3.325645376855057e-05,0.011390659182294594,-3.874374436107195e-05,-82.62416514228477,-42.37056781964214,0.0014055783082967833,-50,9695346473.7895355,0.0086739723143276059,9695346473.7808609,1117751604737.6392,37504827887150136.0,7.755283676011415e-08,1.4607215246411302e-07,1.1215845177048323e-06,5.938492151358332e-07,1.501821167528613e-07,4.0781914385215265e-13,0.0094934394887257068,3.6013362698207219e-07,1.9750247001707542e-06,3.5859731666623064e-06,-50,-3.325645417636971e-05,-3.325645376855057e-05,0.011390581629457833,0.011390659182294594,-3.859767220860784e-05,-3.874374436107195e-05,-82.62416626386928,-82.62416514228477,-42.370568413491355,-42.37056781964214,0.0014057284904135361,0.0014055783082967833
-40,-1.8343893436957074e-05,0.01394225535092812,-2.352794042095763e-05,-44.40292673870712,-25.731649796043744,0.0017205306258175797,-40,8534034195.0348816,0.0083158707873448087,8534034195.0265656,1026234583637.6001,52077981225870528.0,4.2100026168348514e-08,9.2341104998673e-08,6.739273814559965e-07,3.493036260238114e-08,9.14076087135153e-08,1.9093098751880345e-13,0.0091035641673855739,2.2717979055079393e-07,8.9206446935956778e-07,1.5019155491878934e-06,-40,-1.834389362788806e-05,-1.8343893436957074e-05,0.013942213250901952,0.01394225535092812,-2.3435599315958956e-05,-2.352794042095763e-05,-44.402927412634504,-44.40292673870712,-25.731649830974106,-25.731649796043744,0.0017206220334262932,0.0017205306258175797
-30,-9.941889870090596e-06,0.01705314700759903,-1.4460385763999671e-05,-23.132111775367953,-15.833314880814658,0.0021044784530870747,-30,7623257848.5366001,0.0080409972902624541,7623257848.5285587,948048802076.86035,1.2442827058098846e+17,2.889026176795817e-07,3.4494267400523665e-08,5.767351254348796e-07,4.750200233161195e-08,2.560447272042729e-08,2.7123049865915207e-13,0.0088041490721737659,8.4746135493875381e-08,1.0713864790868829e-06,1.8262794957144338e-06,-30,-9.941890141321094e-06,-9.941889870090596e-06,0.01705285810498135,0.01705314700759903,-1.4425891496599148e-05,-1.4460385763999671e-05,-23.13211235210308,-23.132111775367953,-15.83331492831666,-15.833314880814658,0.002104504057559795,0.0021044784530870747
-20,-5.156135053354661e-06,0.020847053486515554,-9.151806120891379e-06,-11.152626244700192,-9.92718964516987,0.002572555511094119,-20,6935216391.7555294,0.0078466007967335702,6935216391.7476826,883849780486.16443,23567735678579932.0,6.226320995589285e-07,1.6599788334929672e-07,1.589854647932043e-07,5.5793512032664694e-08,1.771929157776131e-07,7.412503143705345e-14,0.0085923919288113659,4.0746260633778673e-07,7.1139053036428212e-07,1.3568512326622542e-06,-20,-5.156135127479692e-06,-5.156135053354661e-06,0.020846430854415995,0.020847053486515554,-8.985808237542082e-06,-9.151806120891379e-06,-11.152626085714727,-11.152626244700192,-9.927189700963382,-9.92718964516987,0.0025727327040098967,0.002572555511094119
-10,-2.366384045819397e-06,0.025478469062556512,-5.811349196489565e-06,-4.225812770353638,-6.377050140445942,0.003144281497648389,-10,6450215089.5292759,0.0077307357213119987,6450215089.5215454,834359797314.94385,5.3394341686267219e+17,1.9220149907392403e-07,6.852456683110261e-09,4.551623558057827e-07,2.1214611223285829e-07,4.714986557435852e-09,1.1563002066459333e-13,0.0084663115495342226,1.6809930196675227e-08,7.0997058596752455e-07,1.3346169300554892e-06,-10,-2.3663839301893765e-06,-2.366384045819397e-06,0.025478276861057438,0.025478469062556512,-5.818201653172675e-06,-5.811349196489565e-06,-4.225812315191282,-4.225812770353638,-6.377049928299829,-6.377050140445942,0.0031442767826618317,0.003144281497648389
0,-6.637451580531239e-07,0.031131408464522677,-3.853504333560057e-06,-6.697675303257711e-08,-4.213170852096315,0.003841910023154007,0,6155954349.052866,0.0076922424473793265,6155954349.0451736,800280853231.57495,1.5212143585983882e+17,1.0709275442832844e-07,2.317984431767652e-08,1.3395350606515422e-07,2.3341074761873415e-07,8.776502101459638e-09,5.252398885172393e-14,0.0084247446577326301,5.6840854082633066e-08,4.1219463860234051e-07,7.9864119522107041e-07,0,-6.63745105529135e-07,-6.637451580531239e-07,0.031131301371768248,0.031131408464522677,-3.830324489242381e-06,-3.853504333560057e-06,6.697675303257711e-08,-6.697675303257711e-08,-4.2131706186855675,-4.213170852096315,0.0038419187996561084,0.003841910023154007
10,4.625367441388981e-07,0.03803486388400343,-2.576079021194428e-06,2.834558853098967,-2.8673270864989933,0.004693911243921218,10,6047107805.8867731,0.0077307357213119987,6047107805.8790426,782216340576.25061,40993957281353368.0,6.911274479798335e-08,8.571278520188859e-08,4.0916148336123115e-07,3.497395262286318e-07,8.153415222231924e-08,2.0483461846065732e-13,0.00846734222182958,2.1012332293802709e-07,1.0212792328092048e-06,1.8522958984126509e-06,10,4.6253653930427965e-07,4.625367441388981e-07,0.038034932996748226,0.03803486388400343,-2.6617918063963168e-06,-2.576079021194428e-06,2.8345584439374836,2.834558853098967,-2.8673274362385195,-2.8673270864989933,0.004693829709768995,0.004693911243921218
20,1.303135193705198e-06,0.04646378047868902,-1.8108646069945239e-06,5.018636493562378,-2.0072400409402396,0.005734115360725586,20,6125173445.8187351,0.0078466007967335702,6125173445.8108883,780614893568.76147,74605799683992368.0,3.3099340033398983e-07,4.859427548230303e-08,1.2860806108960787e-07,2.610339056019484e-07,5.370800793252223e-08,8.044582761165733e-14,0.0085945773314620305,1.1910765114571102e-07,4.5688983395823497e-07,9.1920292110582441e-07,20,1.3031352741510257e-06,1.303135193705198e-06,0.046464111472089356,0.04646378047868902,-1.859458882476827e-06,-1.8108646069945239e-06,5.0186366221704395,5.018636493562378,-2.007240301974145,-2.0072400409402396,0.005734061652717654,0.005734115360725586
30,2.027623484531868e-06,0.05675878136953119,-1.2800284870022482e-06,6.984622946451651,-1.4399456573843559,0.007004613955987983,30,6398592436.9935026,0.0080409972902624541,6398592436.9854612,795746125265.09827,41513235292661408.0,1.3550002592871424e-07,9.32204822927441e-08,8.005107545727697e-07,3.116192368590731e-07,8.638609018830207e-08,3.056028639952205e-13,0.0088077551987445751,2.2845827242182238e-07,1.4523497585574829e-06,2.5834731281942969e-06,30,2.027623178929004e-06,2.027623484531868e-06,0.05675891686955712,0.05675878136953119,-1.3732489692949923e-06,-1.2800284870022482e-06,6.984622145940897,6.984622946451651,-1.4399459690035927,-1.4399456573843559,0.007004527569897795,0.007004613955987983
40,2.7401978998335708e-06,0.06933583235246524,-8.44060556700995e-07,9.001098694479749,-1.0531259880392692,0.008556791319979367,40,6883141029.0775938,0.0083158707873448087,6883141029.0692778,827711397290.15991,11359157990825834.0,4.4763131631930797e-07,3.7502124174417496e-07,5.2891481416850183e-08,4.096679337983744e-07,3.604770586092265e-07,1.1472941245990872e-13,0.0091090314051497732,9.1896138036507405e-07,1.0975989880124241e-06,2.3961154287440086e-06,40,2.7401977851041583e-06,2.7401978998335708e-06,0.06933627998378156,0.06933583235246524,-1.21908179844517e-06,-8.44060556700995e-07,9.001098641588268,9.001098694479749,-1.053126397707203,-1.0531259880392692,0.008556430842920758,0.008556791319979367
